Date,Open,High,Low,Close,Volume
2014-04-07,528.02,530.9,521.89,523.47,10351790.0
2014-04-04,539.81,540.0,530.58,531.82,9830355.0
2014-04-03,541.39,542.5,537.64,538.79,5806873.0
2014-04-02,542.38,543.48,540.26,542.55,6443553.0
2014-04-01,537.76,541.87,536.77,541.65,7169955.0
2014-03-31,539.23,540.81,535.93,536.74,6023884.0
2014-03-28,538.32,538.94,534.25,536.86,7163009.0
2014-03-27,540.02,541.5,535.12,537.46,7929668.0
2014-03-26,546.52,549.0,538.86,539.78,10706032.0
2014-03-25,541.5,545.75,539.59,544.99,10081908.0
2014-03-24,538.42,540.5,535.06,539.19,12703553.0
2014-03-21,531.93,533.75,526.33,532.87,13373167.0
2014-03-20,529.89,532.67,527.35,528.7,7442791.0
2014-03-19,532.26,536.24,529.0,531.26,8026994.0
2014-03-18,525.9,531.97,525.2,531.4,7487409.0
2014-03-17,527.7,529.97,525.85,526.74,7126582.0
2014-03-14,528.79,530.89,523.0,524.69,8471356.0
2014-03-13,537.44,539.66,529.16,530.65,9205087.0
2014-03-12,534.51,537.35,532.0,536.61,7170780.0
2014-03-11,535.45,538.74,532.59,536.09,10028407.0
2014-03-10,528.36,533.33,528.34,530.92,6384490.0
2014-03-07,531.09,531.98,526.05,530.44,7916463.0
2014-03-06,532.79,534.44,528.1,530.75,6631873.0
2014-03-05,530.92,534.75,529.13,532.36,7152217.0
2014-03-04,531.0,532.64,527.77,531.24,9269262.0
2014-03-03,523.42,530.65,522.81,527.76,8540642.0
2014-02-28,529.08,532.75,522.12,526.24,13296379.0
2014-02-27,517.14,528.78,516.05,527.67,10793903.0
2014-02-26,523.61,525.0,515.6,517.35,9875898.0
2014-02-25,529.38,529.56,521.0,522.06,8321050.0
2014-02-24,523.15,529.92,522.42,527.55,10337850.0
2014-02-21,532.79,534.57,524.6,525.25,9965321.0
2014-02-20,532.99,537.0,529.0,531.15,10932729.0
2014-02-19,544.75,546.89,534.35,537.37,11222060.0
2014-02-18,546.0,551.19,545.61,545.99,9329464.0
2014-02-14,542.47,545.98,541.21,543.99,9781148.0
2014-02-13,534.66,544.85,534.2,544.43,10994308.0
2014-02-12,536.95,539.56,533.24,535.92,11018152.0
2014-02-11,530.61,537.75,529.5,535.96,10096036.0
2014-02-10,518.66,531.99,518.0,528.99,12350146.0
2014-02-07,521.38,522.93,517.38,519.68,13376943.0
2014-02-06,510.06,513.5,507.81,512.51,9213889.0
2014-02-05,506.56,515.28,506.25,512.59,11760308.0
2014-02-04,505.85,509.46,502.76,508.79,13467649.0
2014-02-03,502.61,507.73,499.3,501.53,14374396.0
2014-01-31,495.18,501.53,493.55,500.6,16619492.0
2014-01-30,502.54,506.5,496.7,499.78,24251827.0
2014-01-29,503.95,507.37,498.62,500.75,17991828.0
2014-01-28,508.76,515.0,502.07,506.5,38119083.0
