Date,Open,High,Low,Close,Volume
2014-04-04,35.78,36.04,35.1,35.73,190326.0
2014-04-03,35.88,35.9,35.23,35.62,247493.0
2014-04-02,35.7,35.99,35.11,35.86,212924.0
2014-04-01,35.37,35.7,35.08,35.67,280679.0
2014-03-31,34.53,35.32,34.07,35.27,276212.0
2014-03-28,34.19,34.76,33.84,34.38,184854.0
2014-03-27,34.16,34.39,33.8,34.27,314435.0
2014-03-26,35.25,35.25,33.9,34.2,360733.0
2014-03-25,33.9,35.11,33.9,34.99,466344.0
2014-03-24,34.16,34.24,33.53,33.79,165796.0
2014-03-21,32.75,34.01,32.54,34.0,443641.0
2014-03-20,32.63,32.91,32.23,32.59,116876.0
2014-03-19,32.17,32.89,32.15,32.57,174444.0
2014-03-18,32.04,32.43,31.92,32.16,151184.0
2014-03-17,32.08,32.32,31.84,32.02,174127.0
2014-03-14,31.97,32.46,31.67,31.85,145403.0
2014-03-13,32.3,32.3,31.88,31.97,193004.0
2014-03-12,31.93,32.39,31.76,32.3,147892.0
2014-03-11,32.66,32.74,31.73,32.01,241622.0
2014-03-10,31.9,32.53,31.71,32.52,212065.0
2014-03-07,32.66,32.66,31.44,31.98,839732.0
2014-03-06,31.47,32.45,31.31,32.42,272191.0
2014-03-05,30.93,31.59,30.8,31.36,189539.0
2014-03-04,30.41,31.25,30.41,30.95,365256.0
2014-03-03,29.84,30.33,29.81,30.15,318317.0
2014-02-28,31.4,31.61,30.0,30.13,697346.0
2014-02-27,31.36,32.04,31.11,31.31,584663.0
2014-02-26,31.45,31.97,30.91,31.43,341400.0
2014-02-25,31.98,32.0,31.46,31.56,380027.0
2014-02-24,32.23,32.73,31.98,31.98,368907.0
2014-02-21,32.79,32.79,31.84,32.07,1475834.0
2014-02-20,32.26,32.94,32.26,32.62,245375.0
2014-02-19,32.18,32.75,32.01,32.07,305515.0
2014-02-18,32.9,33.13,32.24,32.33,222100.0
2014-02-14,32.49,33.27,32.23,32.94,527729.0
2014-02-13,31.43,32.77,31.33,32.49,719044.0
2014-02-12,34.1,34.1,31.29,31.43,1265480.0
2014-02-11,33.68,34.02,32.88,33.76,663522.0
2014-02-10,34.1,34.77,34.0,34.76,237367.0

