Date,Open,High,Low,Close,Volume
2014-04-07,15.34,15.36,14.88,15.07,2788958.0
2014-04-04,15.42,15.68,15.33,15.36,2506041.0
2014-04-03,15.45,15.55,15.25,15.34,2347222.0
2014-04-02,15.64,15.64,15.32,15.47,4210900.0
2014-04-01,15.69,15.88,15.58,15.63,3729980.0
2014-03-31,14.5,16.0,14.5,15.8,13085549.0
2014-03-28,14.35,14.36,14.15,14.21,1939328.0
2014-03-27,14.43,14.55,14.24,14.29,1740917.0
2014-03-26,14.59,14.68,14.42,14.43,2247868.0
2014-03-25,14.67,14.7,14.5,14.52,1369991.0
2014-03-24,14.77,14.89,14.58,14.59,2127976.0
2014-03-21,14.85,14.88,14.63,14.77,5336653.0
2014-03-20,14.69,14.84,14.53,14.75,1691088.0
2014-03-19,14.76,14.88,14.56,14.73,2090186.0
2014-03-18,14.88,14.91,14.77,14.77,1332899.0
2014-03-17,14.96,15.09,14.81,14.85,1830839.0
2014-03-14,15.0,15.1,14.88,14.89,2713298.0
2014-03-13,15.25,15.28,15.0,15.02,2503001.0
2014-03-12,15.14,15.32,15.02,15.19,1779169.0
2014-03-11,15.45,15.49,15.2,15.23,1697027.0
2014-03-10,15.46,15.64,15.37,15.48,3436232.0
2014-03-07,15.5,15.67,15.46,15.49,2733372.0
2014-03-06,15.65,15.87,15.59,15.7,2296657.0
2014-03-05,15.55,15.64,15.5,15.63,2658002.0
2014-03-04,15.47,15.59,15.42,15.56,3134081.0
2014-03-03,15.45,15.45,15.1,15.31,3182329.0
2014-02-28,15.35,15.6,15.35,15.56,2787670.0
2014-02-27,15.49,15.56,15.25,15.38,2698523.0
2014-02-26,15.24,15.49,15.21,15.49,3571637.0
2014-02-25,14.75,15.58,14.75,15.25,4937745.0
2014-02-24,15.75,15.89,15.52,15.52,3413715.0
2014-02-21,15.79,16.24,15.75,15.76,8190120.0
2014-02-20,15.29,15.81,15.27,15.79,7321275.0
2014-02-19,15.03,15.5,15.03,15.34,9455883.0
2014-02-18,14.78,15.11,14.73,15.08,3627943.0
2014-02-14,14.86,15.0,14.81,14.82,2485124.0
2014-02-13,14.6,14.91,14.57,14.86,2747602.0
2014-02-12,14.57,14.95,14.57,14.75,4554959.0
2014-02-11,14.55,15.17,14.01,14.92,8369524.0
2014-02-10,15.7,15.96,15.7,15.94,1772153.0
2014-02-07,15.58,15.85,15.58,15.8,1578109.0
2014-02-06,15.34,15.6,15.2,15.52,1576773.0
2014-02-05,15.15,15.34,15.12,15.28,1821258.0
2014-02-04,15.4,15.45,15.18,15.23,2307222.0
2014-02-03,15.6,15.76,15.26,15.36,3237311.0
2014-01-31,15.74,15.83,15.59,15.61,1594947.0
2014-01-30,15.79,16.01,15.74,15.94,2474992.0
2014-01-29,15.72,15.92,15.61,15.71,2037603.0
2014-01-28,15.71,15.92,15.64,15.91,1692823.0
2014-01-27,15.75,15.94,15.37,15.68,1918471.0
2014-01-24,15.99,16.02,15.68,15.71,2581219.0
2014-01-23,16.25,16.26,16.06,16.12,1067821.0
2014-01-22,16.22,16.31,16.15,16.28,1102095.0
2014-01-21,15.98,16.37,15.97,16.17,1491589.0
2014-01-17,16.09,16.14,15.92,15.96,2237388.0
2014-01-16,16.17,16.32,16.09,16.12,1081294.0
2014-01-15,15.97,16.17,15.85,16.15,2342039.0
2014-01-14,15.85,15.97,15.83,15.95,1164152.0
2014-01-13,15.94,16.11,15.77,15.84,2460407.0
2014-01-10,16.09,16.13,15.95,16.02,3738642.0
2014-01-09,15.94,16.07,15.79,16.04,2853799.0
2014-01-08,15.68,15.84,15.61,15.82,2075492.0
2014-01-07,15.56,15.78,15.56,15.66,3847993.0
2014-01-06,15.72,15.73,15.52,15.6,1963946.0
2014-01-03,15.46,15.7,15.44,15.63,2082662.0
2014-01-02,15.63,15.7,15.34,15.44,1878348.0
2013-12-31,15.5,15.67,15.46,15.64,2024254.0
2013-12-30,15.41,15.57,15.37,15.47,1341034.0
2013-12-27,15.47,15.52,15.44,15.48,913040.0
2013-12-26,15.51,15.55,15.44,15.47,1191083.0
2013-12-24,15.4,15.58,15.38,15.52,1193774.0
2013-12-23,15.25,15.41,15.14,15.4,3525601.0
2013-12-20,14.6,15.25,14.58,15.21,5464862.0
2013-12-19,14.87,14.99,14.56,14.59,3850455.0
2013-12-18,14.61,15.02,14.41,14.95,3264511.0
2013-12-17,14.59,14.71,14.44,14.6,2379767.0
2013-12-16,14.71,14.79,14.46,14.64,2009097.0
2013-12-13,14.75,14.8,14.53,14.66,2384121.0
2013-12-12,14.86,14.9,14.68,14.79,2188183.0
2013-12-11,15.03,15.08,14.81,14.84,1955871.0
2013-12-10,15.11,15.15,15.02,15.05,1079363.0
2013-12-09,15.13,15.23,15.02,15.16,1403045.0
2013-12-06,15.04,15.08,14.96,15.07,1832435.0
2013-12-05,14.94,15.02,14.94,14.94,1447843.0
2013-12-04,15.06,15.09,14.85,15.01,1689431.0
2013-12-03,15.23,15.28,14.86,15.08,2770783.0
2013-12-02,15.28,15.36,15.26,15.31,1997296.0
2013-11-29,15.32,15.38,15.27,15.3,1086130.0
