Date,Open,High,Low,Close,Volume
2014-04-07,56.65,57.0,55.78,55.93,824435.0
2014-04-04,57.36,57.65,56.67,56.78,524047.0
2014-04-03,57.27,57.51,57.03,57.16,534957.0
2014-04-02,57.42,57.47,57.07,57.1,523813.0
2014-04-01,57.65,57.65,56.76,57.21,391134.0
2014-03-31,57.36,57.8,57.03,57.54,686105.0
2014-03-28,57.01,57.24,56.8,56.93,218750.0
2014-03-27,57.24,57.24,56.58,56.72,285456.0
2014-03-26,57.54,57.76,57.06,57.08,379206.0
2014-03-25,57.81,57.98,57.44,57.45,277471.0
2014-03-24,57.23,57.84,57.22,57.48,706470.0
2014-03-21,58.46,58.74,57.03,57.03,3196821.0
2014-03-20,57.68,58.53,57.68,58.12,591685.0
2014-03-19,58.49,58.66,57.92,58.02,480748.0
2014-03-18,57.9,58.65,57.9,58.33,445765.0
2014-03-17,57.85,58.23,57.59,57.92,476246.0
2014-03-14,57.0,57.84,56.99,57.54,322489.0
2014-03-13,57.61,57.74,57.1,57.21,394303.0
2014-03-12,56.79,57.36,56.76,57.36,285665.0
2014-03-11,57.26,57.42,56.89,57.22,406613.0
2014-03-10,56.73,57.24,56.5,57.23,527596.0
2014-03-07,57.01,57.4,56.43,56.69,363065.0
2014-03-06,56.19,56.99,55.91,56.79,725108.0
2014-03-05,56.2,56.2,55.71,55.94,425112.0
2014-03-04,56.03,56.44,56.03,56.22,494233.0
2014-03-03,55.87,55.91,55.18,55.64,548390.0
2014-02-28,56.0,56.39,55.82,56.12,410931.0
2014-02-27,55.84,56.09,55.68,55.89,285580.0
2014-02-26,55.94,55.94,55.5,55.72,572349.0
2014-02-25,55.37,55.94,55.08,55.78,690605.0
2014-02-24,55.83,56.0,55.23,55.23,349906.0
2014-02-21,55.74,55.97,55.43,55.86,378194.0
2014-02-20,55.29,55.71,55.08,55.69,217379.0
2014-02-19,55.86,56.14,55.21,55.22,311808.0
2014-02-18,55.41,55.95,55.14,55.93,469111.0
2014-02-14,54.94,55.47,54.77,55.26,241643.0
2014-02-13,54.12,55.08,53.89,54.98,374352.0
2014-02-12,55.0,55.09,53.59,54.26,594410.0
2014-02-11,53.36,54.71,53.07,54.24,819001.0
2014-02-10,52.83,53.43,52.5,53.41,674451.0
2014-02-07,52.81,52.99,52.23,52.75,503060.0
2014-02-06,52.81,53.01,52.26,52.58,331511.0
2014-02-05,53.0,53.23,52.77,52.83,233671.0
2014-02-04,53.06,53.17,52.68,53.04,321949.0
2014-02-03,53.77,53.88,52.86,52.87,494033.0
2014-01-31,53.83,54.25,53.37,53.81,401491.0
2014-01-30,54.01,54.44,53.82,54.3,198479.0
2014-01-29,53.74,54.22,53.59,53.61,400002.0
2014-01-28,53.63,54.61,53.63,54.17,418080.0
2014-01-27,53.37,54.01,53.2,53.61,298497.0
2014-01-24,54.12,54.15,53.6,53.61,457709.0
2014-01-23,54.69,54.88,54.05,54.22,713873.0
2014-01-22,55.0,55.16,54.68,55.12,604626.0
2014-01-21,54.95,55.09,54.29,54.64,404741.0
2014-01-17,54.7,54.95,54.52,54.64,207945.0
2014-01-16,54.85,54.98,54.57,54.96,508151.0
2014-01-15,55.47,55.48,54.83,54.9,496144.0
2014-01-14,55.2,55.6,55.19,55.47,258564.0
2014-01-13,55.41,55.57,54.54,55.14,390582.0
2014-01-10,56.0,56.03,55.49,55.61,456697.0
2014-01-09,55.64,56.22,55.48,55.93,759806.0
2014-01-08,56.0,56.0,54.92,55.43,639164.0
2014-01-07,55.92,56.18,55.44,55.76,818571.0
2014-01-06,56.5,56.5,55.26,55.74,1074933.0
2014-01-03,57.27,57.48,56.01,56.27,1206792.0
2014-01-02,59.26,59.55,57.3,57.37,864272.0
2013-12-31,58.92,59.78,58.92,59.69,540595.0
2013-12-30,58.5,59.05,58.48,59.04,251699.0
2013-12-27,58.71,58.71,57.98,58.45,193874.0
2013-12-26,58.85,58.86,58.4,58.63,130581.0
2013-12-24,58.02,58.62,57.96,58.61,52368.0
2013-12-23,58.86,58.86,58.05,58.1,299611.0
2013-12-20,57.82,58.63,57.76,58.49,877352.0
2013-12-19,57.52,58.1,57.39,57.83,328231.0
2013-12-18,57.11,57.7,56.87,57.62,345275.0
2013-12-17,57.06,57.26,56.79,56.87,344931.0
2013-12-16,57.1,57.36,56.84,57.07,435426.0
2013-12-13,57.62,57.79,57.0,57.02,232559.0
2013-12-12,57.46,57.54,57.17,57.38,307641.0
2013-12-11,58.0,58.07,57.32,57.38,231331.0
2013-12-10,58.39,58.55,57.95,57.96,213896.0
2013-12-09,58.43,58.76,58.29,58.63,271011.0
2013-12-06,58.09,58.65,58.09,58.6,216486.0
2013-12-05,58.07,58.21,57.68,57.72,285188.0
2013-12-04,58.4,58.72,57.66,58.31,256881.0
2013-12-03,58.51,59.63,58.1,58.66,391700.0
2013-12-02,59.05,59.05,58.36,58.54,462851.0
2013-11-29,59.0,59.15,58.77,58.83,139363.0
2013-11-27,58.66,59.08,58.62,58.94,206809.0
2013-11-26,58.75,59.17,58.64,58.67,568059.0
2013-11-25,59.18,59.31,58.85,58.86,224559.0
2013-11-22,58.05,59.06,58.05,58.96,305831.0
2013-11-21,57.98,58.32,57.97,58.22,261862.0
2013-11-20,58.4,58.46,57.77,57.85,282397.0
2013-11-19,58.36,58.53,58.02,58.22,158542.0
2013-11-18,58.49,58.68,58.22,58.39,193175.0
2013-11-15,58.67,58.81,58.14,58.54,318654.0
2013-11-14,58.49,58.78,58.35,58.72,121364.0
2013-11-13,57.81,58.45,57.81,58.45,271688.0
2013-11-12,58.53,58.66,57.83,58.13,279834.0
2013-11-11,58.51,58.76,58.29,58.54,165868.0
2013-11-08,58.05,58.54,57.98,58.47,297466.0
2013-11-07,58.44,58.5,57.91,57.92,227391.0
2013-11-06,57.83,58.42,57.72,58.3,338804.0
2013-11-05,57.57,57.89,57.46,57.63,250233.0
2013-11-04,57.76,57.9,57.5,57.69,249818.0
2013-11-01,57.89,58.03,57.66,57.74,294352.0
2013-10-31,57.87,58.21,57.68,57.96,725640.0
2013-10-30,58.0,58.21,57.59,57.9,405296.0
2013-10-29,58.71,59.3,57.53,57.98,641464.0
2013-10-28,57.36,57.71,57.0,57.58,337109.0
2013-10-25,57.64,57.65,57.32,57.49,284578.0
2013-10-24,57.17,57.64,57.17,57.47,291353.0
2013-10-23,57.22,57.61,57.0,57.24,173815.0
2013-10-22,57.13,58.06,57.13,57.55,346571.0
2013-10-21,57.07,57.26,56.6,56.95,305365.0
2013-10-18,57.04,57.13,56.65,56.94,307466.0
2013-10-17,56.45,56.9,56.34,56.84,295095.0
2013-10-16,55.89,56.53,55.76,56.51,252769.0
2013-10-15,56.0,56.26,55.66,55.68,234744.0
2013-10-14,55.86,56.21,55.76,56.1,174272.0
2013-10-11,55.57,56.06,55.27,55.99,169032.0
2013-10-10,54.64,55.76,54.64,55.76,252999.0
2013-10-09,55.0,55.24,54.36,54.42,524946.0
2013-10-08,55.1,55.3,54.85,55.02,606894.0
2013-10-07,54.57,55.12,54.5,54.95,266572.0
2013-10-04,54.5,54.99,54.19,54.97,219730.0
2013-10-03,55.1,55.1,54.54,54.56,287324.0
2013-10-02,54.59,55.12,54.36,55.12,368654.0
2013-10-01,54.05,54.92,53.85,54.9,415859.0
2013-09-30,53.81,54.19,53.55,54.13,681806.0
2013-09-27,54.24,54.41,54.01,54.16,288257.0
2013-09-26,54.21,54.37,54.0,54.17,417198.0
2013-09-25,53.75,54.12,53.43,54.01,516871.0
2013-09-24,53.76,53.96,53.52,53.7,486158.0
2013-09-23,53.94,54.12,53.72,53.81,588652.0
2013-09-20,53.98,54.46,53.82,54.12,1300710.0
2013-09-19,54.13,54.41,53.95,54.05,403760.0
2013-09-18,53.62,54.25,53.49,54.13,515076.0
2013-09-17,53.28,53.65,53.15,53.63,277869.0
2013-09-16,53.28,53.81,53.07,53.29,364204.0
2013-09-13,52.81,53.28,52.78,53.0,245623.0
2013-09-12,53.16,53.8,52.8,52.96,395818.0
2013-09-11,53.6,53.86,53.6,53.85,522138.0
2013-09-10,54.07,54.35,53.5,53.71,355261.0
2013-09-09,53.03,53.78,53.03,53.62,167341.0
2013-09-06,53.21,53.6,52.56,53.27,268898.0
2013-09-05,53.39,53.6,53.11,53.22,225414.0
2013-09-04,53.41,53.79,53.15,53.29,244182.0
2013-09-03,53.62,53.87,53.25,53.44,224942.0
2013-08-30,53.45,53.45,52.95,53.31,337908.0
2013-08-29,53.0,53.7,52.82,53.45,202614.0
2013-08-28,53.06,53.34,52.88,53.17,217971.0
2013-08-27,53.01,53.46,52.92,53.07,316735.0
2013-08-26,53.4,53.73,53.13,53.24,169432.0
2013-08-23,53.71,53.89,53.21,53.46,185165.0
2013-08-22,53.1,53.83,52.91,53.69,190029.0
2013-08-21,53.35,53.46,52.9,52.9,140052.0
2013-08-20,53.29,53.58,53.0,53.46,146972.0
2013-08-19,53.26,53.62,53.09,53.21,268468.0
2013-08-16,53.69,54.0,53.41,53.42,143768.0
2013-08-15,53.97,54.07,53.56,53.77,252785.0
2013-08-14,53.9,54.3,53.63,54.19,287371.0
2013-08-13,53.5,53.88,53.07,53.85,374461.0
2013-08-12,52.88,53.9,52.79,53.55,267795.0
2013-08-09,53.72,54.13,53.49,53.96,259805.0
2013-08-08,53.88,54.08,53.63,53.67,155318.0
2013-08-07,53.78,54.04,53.66,53.75,345100.0
2013-08-06,54.14,54.27,53.81,53.83,381656.0
2013-08-05,54.1,54.35,54.05,54.12,161943.0
2013-08-02,54.4,54.64,54.06,54.34,318429.0
2013-08-01,54.57,54.91,54.38,54.4,652262.0
