Date,Open,High,Low,Close,Volume
2014-04-07,36.19,38.33,35.55,37.43,849988.0
2014-04-04,38.18,38.25,35.72,36.28,606590.0
2014-04-03,38.45,38.45,37.19,37.74,381887.0
2014-04-02,39.08,39.37,37.75,38.47,293586.0
2014-04-01,38.17,39.48,38.17,38.89,444152.0
2014-03-31,36.9,38.08,36.02,37.91,328146.0
2014-03-28,38.15,38.68,36.38,36.62,274569.0
2014-03-27,37.3,38.57,36.54,38.19,339927.0
2014-03-26,39.42,39.62,37.3,37.33,648390.0
2014-03-25,38.07,39.25,37.38,39.08,479243.0
2014-03-24,38.6,38.6,36.66,37.8,522490.0
2014-03-21,39.5,39.8,38.02,38.39,789263.0
2014-03-20,39.31,39.51,38.82,39.41,287344.0
2014-03-19,39.27,39.94,38.76,39.43,473114.0
2014-03-18,37.74,39.16,37.71,39.16,430156.0
2014-03-17,37.66,38.24,37.35,37.66,292477.0
2014-03-14,36.72,37.93,36.64,37.29,252630.0
2014-03-13,38.09,38.38,36.65,36.95,388904.0
2014-03-12,37.04,37.94,37.0,37.87,202245.0
2014-03-11,37.94,38.44,37.12,37.37,313297.0
2014-03-10,37.83,38.02,37.04,37.74,333889.0
2014-03-07,38.2,38.26,37.02,37.88,386995.0
2014-03-06,39.42,39.42,37.61,37.87,623257.0
2014-03-05,39.0,39.92,38.69,39.38,591342.0
2014-03-04,36.98,39.63,36.5,39.09,1090534.0
2014-03-03,36.32,37.05,35.88,36.36,471707.0
2014-02-28,36.99,38.5,36.44,36.64,864028.0
2014-02-27,36.5,37.31,35.85,37.17,459873.0
2014-02-26,37.46,37.82,36.29,36.55,645006.0
2014-02-25,36.69,37.45,36.34,37.32,704789.0
2014-02-24,35.79,36.9,35.79,36.49,628222.0
2014-02-21,35.72,36.69,35.41,35.6,563004.0
2014-02-20,34.92,35.79,34.51,35.48,470094.0
2014-02-19,34.74,35.93,34.66,34.77,865539.0
2014-02-18,33.54,34.69,33.51,34.68,675740.0
2014-02-14,33.97,34.04,32.48,33.27,1065138.0
2014-02-13,30.96,34.09,30.92,34.06,944577.0
2014-02-12,30.74,31.26,30.7,30.96,436771.0
2014-02-11,30.49,31.13,30.41,30.85,413761.0
2014-02-10,30.25,30.58,29.87,30.41,455825.0
2014-02-07,29.2,30.33,29.17,30.2,392091.0
2014-02-06,28.75,29.18,28.64,28.99,320525.0
2014-02-05,28.66,28.86,28.34,28.59,419896.0
2014-02-04,28.84,29.49,28.58,28.77,313399.0
2014-02-03,29.4,29.5,28.35,28.55,471435.0
2014-01-31,29.5,29.89,29.33,29.35,359034.0
2014-01-30,30.37,30.78,29.53,29.98,533263.0
2014-01-29,30.57,30.94,29.94,30.1,310337.0
2014-01-28,29.94,31.08,29.94,30.85,385069.0
2014-01-27,31.19,31.22,29.43,29.82,502735.0
2014-01-24,31.21,31.21,30.31,30.75,457607.0
2014-01-23,31.37,31.48,30.56,31.4,454790.0
2014-01-22,31.59,31.76,31.0,31.41,603798.0
2014-01-21,30.53,31.71,30.46,31.59,829606.0
2014-01-17,30.72,30.98,30.37,30.5,325594.0
2014-01-16,30.03,30.83,30.0,30.67,361904.0
2014-01-15,30.6,30.6,29.7,30.22,437197.0
2014-01-14,29.87,30.43,29.65,30.35,514846.0
2014-01-13,29.5,30.36,29.31,29.77,493938.0
2014-01-10,28.68,29.12,27.97,29.1,267033.0
2014-01-09,28.57,29.22,28.0,28.68,268928.0
2014-01-08,27.93,28.47,27.8,28.32,367988.0
2014-01-07,28.09,28.38,27.51,27.88,410785.0
2014-01-06,28.5,28.78,27.62,27.95,566865.0
2014-01-03,29.05,29.45,28.83,29.23,398678.0
2014-01-02,29.19,29.25,28.5,28.96,468325.0
2013-12-31,28.85,29.33,28.8,29.2,615365.0
2013-12-30,29.41,29.45,28.75,28.89,620065.0
2013-12-27,30.3,30.46,29.4,29.45,317262.0
2013-12-26,29.44,30.24,29.18,30.14,356791.0
2013-12-24,30.13,30.18,29.25,29.48,202513.0
2013-12-23,30.14,30.25,29.64,30.0,545314.0
2013-12-20,29.0,30.01,28.97,29.83,1620477.0
2013-12-19,29.7,30.25,28.67,28.93,732811.0
2013-12-18,29.53,30.15,29.31,29.69,498966.0
2013-12-17,29.8,30.1,29.44,29.53,430387.0
2013-12-16,29.88,30.48,29.64,30.0,329642.0
2013-12-13,30.01,30.16,29.57,29.77,375796.0
2013-12-12,29.69,30.24,29.52,29.9,503758.0
2013-12-11,30.92,30.92,29.52,29.65,398859.0
2013-12-10,31.28,31.71,30.91,30.95,345589.0
2013-12-09,31.46,31.87,31.21,31.44,550775.0
2013-12-06,32.0,32.13,31.09,31.58,294341.0
2013-12-05,31.98,32.36,31.52,31.58,338494.0
2013-12-04,33.66,34.0,32.04,32.07,478893.0
2013-12-03,33.38,34.19,32.87,33.71,407438.0
2013-12-02,33.15,33.98,33.0,33.59,542757.0
2013-11-29,35.16,35.25,34.77,34.81,84230.0
2013-11-27,34.49,35.07,34.15,34.92,182929.0
2013-11-26,35.13,35.26,34.24,34.52,249041.0
2013-11-25,34.24,35.1,33.77,34.99,476073.0
2013-11-22,33.35,34.24,33.26,34.22,354402.0
2013-11-21,33.36,33.55,33.11,33.23,509219.0
2013-11-20,33.4,33.9,32.81,33.09,267580.0
2013-11-19,32.93,33.53,32.75,33.27,237703.0
2013-11-18,33.95,34.15,32.87,33.01,429010.0
2013-11-15,33.5,34.14,33.5,33.92,192698.0
2013-11-14,33.5,33.87,33.2,33.56,289933.0
2013-11-13,32.66,33.5,32.55,33.49,313037.0
2013-11-12,31.85,32.76,31.58,32.74,333628.0
2013-11-11,31.89,32.37,31.59,32.05,180732.0
2013-11-08,31.88,32.29,31.5,31.8,479730.0
2013-11-07,32.86,33.28,31.6,31.75,424270.0
2013-11-06,33.29,34.25,32.5,32.55,756908.0
2013-11-05,32.12,32.8,31.78,32.6,520309.0
2013-11-04,31.0,32.46,30.92,32.33,486795.0
2013-11-01,31.02,31.32,30.5,30.89,863219.0
2013-10-31,33.57,33.57,30.24,30.61,700338.0
2013-10-30,33.24,33.48,31.7,32.0,384085.0
2013-10-29,33.03,33.44,32.4,33.28,311144.0
2013-10-28,33.24,33.48,32.56,32.85,434581.0
2013-10-25,33.19,33.26,32.84,33.12,229802.0
2013-10-24,33.35,33.97,32.98,33.03,218690.0
2013-10-23,32.55,33.28,32.35,33.23,272215.0
2013-10-22,32.74,33.08,32.37,32.71,301000.0
2013-10-21,32.93,33.21,32.43,32.51,229133.0
2013-10-18,33.53,33.93,32.29,32.8,309491.0
2013-10-17,32.75,33.29,32.47,33.12,305964.0
2013-10-16,32.47,33.35,32.11,32.99,561095.0
2013-10-15,32.38,33.05,31.91,32.16,619061.0
2013-10-14,35.32,35.77,32.09,32.5,1002640.0
2013-10-11,35.15,35.67,34.8,35.34,322984.0
2013-10-10,34.64,35.55,34.53,35.33,236544.0
2013-10-09,34.93,35.24,33.5,33.98,450309.0
2013-10-08,36.0,36.03,34.52,34.68,289241.0
2013-10-07,36.23,36.35,35.75,35.91,321594.0
2013-10-04,36.03,36.75,35.77,36.54,189613.0
2013-10-03,35.99,36.27,35.38,36.06,316853.0
2013-10-02,35.3,36.41,35.3,36.08,324440.0
2013-10-01,34.21,35.5,34.2,35.43,369646.0
2013-09-30,34.35,34.56,34.02,34.2,257202.0
2013-09-27,34.97,35.37,34.73,34.74,125604.0
2013-09-26,34.93,35.52,34.69,35.24,123039.0
2013-09-25,35.26,35.42,34.6,34.76,86458.0
2013-09-24,35.47,35.57,34.58,35.11,165056.0
2013-09-23,35.12,35.42,34.54,35.35,153251.0
2013-09-20,35.76,35.88,34.95,35.01,545518.0
2013-09-19,35.94,36.17,35.26,35.56,183748.0
2013-09-18,35.72,36.13,35.16,35.82,252946.0
2013-09-17,35.93,36.18,35.38,35.62,220709.0
2013-09-16,36.27,36.8,35.62,35.98,159029.0
2013-09-13,37.14,37.16,35.68,35.83,291046.0
2013-09-12,37.19,37.37,36.51,37.15,184262.0
2013-09-11,36.8,37.17,36.31,37.11,199552.0
2013-09-10,37.31,37.31,36.33,36.92,201926.0
2013-09-09,35.84,37.17,35.53,37.04,258292.0
2013-09-06,35.61,36.02,34.38,35.69,243950.0
2013-09-05,35.9,36.25,35.34,35.91,140456.0
2013-09-04,35.07,35.96,34.68,35.88,257747.0
2013-09-03,34.26,35.38,34.26,34.93,392914.0
2013-08-30,34.46,34.64,33.72,33.79,178853.0
2013-08-29,34.12,34.83,33.98,34.51,175306.0
2013-08-28,33.45,34.23,33.19,34.05,184812.0
2013-08-27,34.23,34.33,33.22,33.48,243366.0
2013-08-26,34.36,35.51,33.89,34.66,241041.0
2013-08-23,34.52,35.38,34.26,34.36,148651.0
2013-08-22,33.79,35.36,33.79,34.54,194090.0
2013-08-21,34.92,35.03,33.5,33.76,327149.0
2013-08-20,34.05,34.95,33.76,34.91,478596.0
2013-08-19,34.12,34.54,33.52,33.97,343600.0
2013-08-16,34.27,34.64,33.67,34.05,408545.0
2013-08-15,34.21,34.79,33.67,34.49,256250.0
2013-08-14,34.3,34.82,34.16,34.42,261752.0
2013-08-13,35.58,35.58,34.22,34.39,259831.0
2013-08-12,34.48,35.54,34.2,35.45,293159.0
2013-08-09,35.2,35.66,34.48,34.49,160941.0
2013-08-08,35.24,35.4,34.49,35.39,300655.0
2013-08-07,36.05,36.43,34.73,34.95,589104.0
2013-08-06,36.66,36.92,36.27,36.38,256939.0
2013-08-05,36.34,37.01,36.26,36.73,485952.0
2013-08-02,37.78,38.43,37.4,37.48,391359.0
2013-08-01,37.97,38.43,36.0,37.26,533418.0
2013-07-31,37.73,38.19,37.25,37.97,249436.0
2013-07-30,38.28,38.39,37.29,37.72,197919.0
2013-07-29,38.49,38.62,37.48,38.0,155891.0
2013-07-26,37.6,38.5,36.77,38.48,179880.0
2013-07-25,37.02,37.96,36.26,37.95,304375.0
2013-07-24,36.95,37.3,36.44,36.89,308043.0
2013-07-23,37.51,37.57,36.25,36.74,311989.0
2013-07-22,37.37,37.82,37.13,37.29,315553.0
2013-07-19,37.76,38.3,37.5,37.59,462714.0
2013-07-18,38.0,38.15,37.45,37.89,206010.0
2013-07-17,38.19,38.23,37.52,37.86,359035.0
2013-07-16,38.34,38.6,37.81,37.94,318392.0
2013-07-15,37.86,38.61,37.61,38.26,420565.0
2013-07-12,36.42,37.96,36.2,37.73,321158.0
