Date,Open,High,Low,Close,Volume
2014-04-04,62.92,62.92,61.1,61.32,6157470.0
2014-04-03,65.5,65.5,62.17,62.45,6984492.0
2014-04-02,66.07,66.31,65.12,65.48,2587043.0
2014-04-01,65.9,66.22,65.44,65.93,3398428.0
2014-03-31,64.87,65.95,64.62,65.74,3213894.0
2014-03-28,64.71,65.6,64.15,64.88,4019774.0
2014-03-27,63.6,65.16,63.05,64.53,5556655.0
2014-03-26,66.1,66.39,63.88,63.9,4714001.0
2014-03-25,65.75,66.74,65.06,65.81,4245508.0
2014-03-24,67.22,67.48,64.77,65.24,5905655.0
2014-03-21,69.06,69.06,66.91,67.14,5477183.0
2014-03-20,67.55,69.08,67.44,68.49,5280229.0
2014-03-19,69.01,69.01,66.15,67.63,7683089.0
2014-03-18,67.66,70.24,67.52,68.52,11438540.0
2014-03-17,67.89,69.35,67.73,68.17,3933636.0
2014-03-14,67.7,67.7,66.87,67.19,3006693.0
2014-03-13,68.48,68.83,66.62,67.08,2870932.0
2014-03-12,67.06,68.1,66.75,68.06,2433603.0
2014-03-11,68.19,68.6,67.25,67.47,3344977.0
2014-03-10,68.68,68.68,67.31,68.04,3032829.0
2014-03-07,69.21,69.31,67.97,68.52,2500313.0
2014-03-06,69.14,69.42,68.85,68.92,3059167.0
2014-03-05,68.79,69.03,68.52,68.9,3070141.0
2014-03-04,68.6,69.04,68.5,68.6,5427902.0
2014-03-03,68.06,68.15,67.14,67.86,3394960.0
2014-02-28,70.25,71.11,67.83,68.63,5728691.0
2014-02-27,67.9,70.08,67.82,69.92,4724503.0
2014-02-26,67.73,68.95,67.65,67.82,3068166.0
2014-02-25,68.71,68.76,67.63,68.01,3574496.0
2014-02-24,68.54,69.28,68.0,68.76,2811705.0
2014-02-21,67.82,68.44,67.55,68.22,3610158.0
2014-02-20,68.19,68.66,67.7,68.48,3162167.0
2014-02-19,68.45,69.43,67.68,67.99,3996754.0
2014-02-18,68.62,69.1,68.0,68.66,3757939.0
2014-02-14,67.48,68.48,67.0,68.34,6234518.0
2014-02-13,64.84,67.11,64.83,67.04,3606875.0
2014-02-12,64.21,65.15,64.09,65.14,3137832.0
2014-02-11,64.48,64.88,63.66,63.97,4648164.0
2014-02-10,62.73,63.8,62.52,63.78,2833408.0

