Date,Open,High,Low,Close,Volume
2014-04-04,77.77,77.78,75.77,75.82,2023253.0
2014-04-03,77.98,78.0,77.02,77.37,1186584.0
2014-04-02,77.41,77.89,77.26,77.67,1666949.0
2014-04-01,77.05,77.53,76.64,77.5,1767189.0
2014-03-31,77.14,77.62,76.78,77.26,1451642.0
2014-03-28,77.01,77.67,76.57,76.95,1322152.0
2014-03-27,76.05,76.72,75.55,76.67,2164668.0
2014-03-26,77.1,77.25,76.2,76.2,1415252.0
2014-03-25,76.69,77.34,76.29,76.68,1600653.0
2014-03-24,77.86,78.0,76.16,76.45,1960488.0
2014-03-21,79.33,79.39,77.5,77.75,4637467.0
2014-03-20,77.85,78.52,77.66,78.34,1180038.0
2014-03-19,79.08,79.08,77.8,78.29,1384832.0
2014-03-18,78.37,79.04,78.28,78.99,1759882.0
2014-03-17,77.92,78.5,77.71,78.49,2588926.0
2014-03-14,77.54,77.81,76.81,77.55,2310891.0
2014-03-13,77.78,77.96,76.69,76.99,2768729.0
2014-03-12,77.27,77.77,77.0,77.69,1671425.0
2014-03-11,78.34,78.46,77.61,77.9,1365947.0
2014-03-10,78.59,78.72,77.77,78.21,1696567.0
2014-03-07,78.45,78.93,78.14,78.56,1606991.0
2014-03-06,77.88,78.23,77.64,78.03,1342603.0
2014-03-05,78.0,78.18,77.48,77.72,1663632.0
2014-03-04,77.7,78.52,77.56,78.45,2584785.0
2014-03-03,77.05,77.2,76.33,76.67,1752666.0
2014-02-28,77.88,78.47,77.2,77.78,2351364.0
2014-02-27,77.12,77.9,77.1,77.72,2008915.0
2014-02-26,77.45,77.52,76.81,77.42,2294405.0
2014-02-25,76.98,77.23,76.28,77.01,1560856.0
2014-02-24,76.31,77.48,76.2,76.8,1727192.0
2014-02-21,76.78,76.99,76.12,76.2,1955623.0
2014-02-20,76.24,76.89,75.86,76.51,1245236.0
2014-02-19,76.04,76.96,75.91,76.15,1605411.0
2014-02-18,76.45,76.57,75.76,76.49,1792625.0
2014-02-14,75.75,76.49,75.3,76.27,1710591.0
2014-02-13,75.25,76.28,75.2,76.21,2027465.0
2014-02-12,75.57,75.9,74.8,75.58,4027640.0
2014-02-11,74.12,74.9,74.01,74.66,2522108.0
2014-02-10,75.48,75.61,73.83,74.45,2007864.0

