Date,Open,High,Low,Close,Volume
2014-04-07,24.8,24.95,24.52,24.79,660633.0
2014-04-04,26.39,26.46,24.7,24.93,759810.0
2014-04-03,25.51,26.77,25.19,26.11,1428095.0
2014-04-02,24.87,25.47,24.74,25.39,790363.0
2014-04-01,24.5,24.94,24.39,24.8,542348.0
2014-03-31,24.47,24.8,24.22,24.41,664641.0
2014-03-28,24.53,24.89,24.19,24.27,549238.0
2014-03-27,24.81,25.25,24.4,24.54,404402.0
2014-03-26,25.39,25.6,24.68,24.76,883595.0
2014-03-25,25.43,25.64,24.76,25.12,573109.0
2014-03-24,25.22,25.45,24.64,25.29,711251.0
2014-03-21,25.81,25.81,25.1,25.14,1046818.0
2014-03-20,25.48,26.09,25.43,25.67,515911.0
2014-03-19,26.31,26.31,25.4,25.51,677300.0
2014-03-18,25.88,26.62,25.71,26.4,989813.0
2014-03-17,25.92,26.18,25.6,25.81,369563.0
2014-03-14,25.48,26.05,25.33,25.68,504219.0
2014-03-13,26.75,26.97,25.57,25.61,388883.0
2014-03-12,25.9,26.68,25.9,26.68,433826.0
2014-03-11,26.84,26.95,25.79,25.96,264612.0
2014-03-10,26.61,26.86,26.39,26.81,235458.0
2014-03-07,27.2,27.43,26.62,26.74,286860.0
2014-03-06,26.69,27.15,26.52,26.98,409693.0
2014-03-05,26.49,26.95,26.26,26.58,372434.0
2014-03-04,26.08,26.93,26.08,26.56,518116.0
2014-03-03,25.92,26.4,25.46,25.72,401083.0
2014-02-28,26.46,26.6,26.09,26.2,308018.0
2014-02-27,26.57,26.72,26.17,26.39,340509.0
2014-02-26,26.07,26.73,25.9,26.62,328280.0
2014-02-25,26.18,26.27,25.88,26.0,355934.0
2014-02-24,26.35,26.43,26.04,26.11,324919.0
2014-02-21,26.66,26.66,25.89,26.24,526501.0
2014-02-20,26.1,26.67,26.1,26.58,619375.0
2014-02-19,26.17,26.46,25.82,26.03,507380.0
2014-02-18,25.84,26.43,25.68,26.33,277813.0
2014-02-14,25.74,25.91,25.53,25.85,223646.0
2014-02-13,25.44,25.88,25.44,25.74,298773.0
2014-02-12,25.39,25.97,25.35,25.73,642542.0
2014-02-11,25.28,25.45,24.9,25.38,816284.0
2014-02-10,25.14,25.38,24.85,25.28,308124.0
2014-02-07,25.35,25.48,24.92,25.2,369749.0
2014-02-06,24.67,25.23,24.4,25.22,400948.0
2014-02-05,24.52,24.94,24.29,24.59,521720.0
2014-02-04,24.61,24.84,24.4,24.67,646152.0
2014-02-03,25.38,25.54,24.24,24.55,927516.0
2014-01-31,24.85,25.65,24.67,25.39,1125126.0
2014-01-30,25.94,26.02,25.61,25.94,417456.0
2014-01-29,25.1,25.86,25.02,25.63,622504.0
2014-01-28,25.08,25.67,24.92,25.2,936310.0
2014-01-27,25.3,25.79,24.57,25.09,670054.0
2014-01-24,25.92,26.02,25.36,25.66,714805.0
2014-01-23,27.35,27.35,26.1,26.14,841844.0
2014-01-22,27.76,27.98,24.99,27.24,2226816.0
2014-01-21,25.07,26.65,24.91,26.07,1411922.0
