Date,Open,High,Low,Close,Volume
2014-04-04,37.77,38.4,37.03,37.06,401540.0
2014-04-03,37.5,37.91,37.2,37.73,378983.0
2014-04-02,36.98,37.63,36.89,37.41,471388.0
2014-04-01,37.62,37.75,36.77,36.99,391802.0
2014-03-31,37.21,37.85,37.21,37.61,420238.0
2014-03-28,37.26,37.85,37.01,37.13,303326.0
2014-03-27,37.99,38.5,37.53,37.55,317336.0
2014-03-26,39.33,39.33,37.8,38.05,538528.0
2014-03-25,38.61,39.64,38.61,39.17,490836.0
2014-03-24,38.84,39.34,38.45,38.52,568652.0
2014-03-21,38.1,39.16,37.84,38.87,877749.0
2014-03-20,37.66,38.08,37.51,37.85,411668.0
2014-03-19,37.91,38.23,37.4,37.82,455965.0
2014-03-18,37.86,38.25,37.64,37.91,514307.0
2014-03-17,37.58,38.56,37.58,37.79,607435.0
2014-03-14,37.23,37.8,37.0,37.58,431842.0
2014-03-13,37.78,38.0,37.09,37.25,280325.0
2014-03-12,37.51,37.92,37.19,37.74,455624.0
2014-03-11,37.66,38.0,37.15,37.61,673429.0
2014-03-10,37.57,38.02,37.36,37.57,488629.0
2014-03-07,38.0,38.1,37.39,37.63,716957.0
2014-03-06,38.01,38.73,37.68,37.97,376598.0
2014-03-05,38.21,38.95,37.76,38.16,606860.0
2014-03-04,37.25,38.68,37.25,38.37,936585.0
2014-03-03,37.47,37.8,36.46,36.97,531804.0
2014-02-28,37.19,38.73,37.19,37.8,1211983.0
2014-02-27,36.73,37.47,36.72,37.31,632725.0
2014-02-26,36.32,37.84,36.24,36.71,1264343.0
2014-02-25,35.65,36.81,35.3,36.16,720755.0
2014-02-24,35.32,36.1,35.32,35.69,662589.0
2014-02-21,35.11,35.54,34.7,35.32,771368.0
2014-02-20,35.0,35.52,34.82,35.15,636375.0
2014-02-19,34.01,35.4,34.01,35.0,1207923.0
2014-02-18,34.03,34.5,33.75,33.96,806792.0
2014-02-14,34.34,34.9,33.11,33.33,1225539.0
2014-02-13,33.12,36.1,33.06,34.24,3684506.0
2014-02-12,30.79,31.73,30.75,31.0,1205220.0
2014-02-11,30.96,31.0,30.29,30.75,1419903.0
2014-02-10,31.0,31.82,30.68,31.05,1744300.0

