Date,Open,High,Low,Close,Volume
2014-04-07,62.71,63.25,62.35,62.74,45702.0
2014-04-04,62.4,62.75,62.1,62.72,39439.0
2014-04-03,62.16,62.45,61.57,62.45,34229.0
2014-04-02,62.44,62.49,61.55,62.2,42788.0
2014-04-01,62.31,62.49,61.88,62.41,33102.0
2014-03-31,61.5,62.35,60.21,62.12,21055.0
2014-03-28,61.36,61.5,60.05,61.5,11659.0
2014-03-27,61.06,61.53,60.95,61.49,17313.0
2014-03-26,61.57,61.57,60.68,60.95,16387.0
2014-03-25,60.48,61.11,60.29,61.11,13790.0
2014-03-24,60.5,60.5,59.45,59.9,14672.0
2014-03-21,59.45,60.5,59.2,60.26,63336.0
2014-03-20,59.46,60.45,59.18,59.38,26119.0
2014-03-19,60.49,60.49,59.32,59.99,20498.0
2014-03-18,61.54,61.75,60.07,60.11,32620.0
2014-03-17,60.6,61.51,60.6,61.51,32918.0
2014-03-14,60.76,61.46,60.5,60.53,27648.0
2014-03-13,60.52,60.99,60.5,60.95,21483.0
2014-03-12,61.93,61.93,60.51,60.6,18827.0
2014-03-11,60.83,61.94,60.17,61.16,14990.0
2014-03-10,61.31,62.1,60.55,61.0,26251.0
2014-03-07,61.9,62.25,61.54,62.0,12757.0
2014-03-06,61.9,62.23,61.41,61.55,11608.0
2014-03-05,61.8,61.8,61.29,61.4,9772.0
2014-03-04,62.0,62.28,61.5,61.68,25454.0
2014-03-03,62.0,62.24,61.61,61.8,22927.0
2014-02-28,61.34,62.64,61.34,62.2,28491.0
2014-02-27,61.19,61.35,60.95,61.19,32801.0
2014-02-26,61.09,61.5,60.86,61.07,55471.0
2014-02-25,61.5,61.5,60.88,61.1,23226.0
2014-02-24,61.02,61.28,60.62,61.07,26840.0
2014-02-21,60.96,61.81,60.5,61.1,29235.0
2014-02-20,60.87,61.55,60.14,61.0,30998.0
2014-02-19,60.0,60.92,59.89,60.52,27946.0
2014-02-18,60.56,61.14,59.55,59.68,122209.0
2014-02-14,61.34,61.54,60.41,60.89,27207.0
2014-02-13,61.19,62.01,60.5,60.81,34284.0
2014-02-12,61.49,62.44,60.88,61.44,23488.0
2014-02-11,60.45,62.01,60.45,61.65,30899.0
2014-02-10,61.49,61.91,60.39,60.5,37055.0
2014-02-07,62.05,62.48,61.58,62.01,37815.0
2014-02-06,62.25,63.16,61.95,62.05,42809.0
2014-02-05,63.12,63.25,61.95,62.22,41827.0
2014-02-04,63.0,63.53,62.52,63.02,99628.0
2014-02-03,62.6,63.0,61.87,62.94,75296.0
2014-01-31,60.98,62.78,60.98,62.53,30986.0
2014-01-30,59.88,61.9,59.47,61.46,42248.0
2014-01-29,58.49,59.99,57.22,59.32,43252.0
2014-01-28,56.0,59.01,55.7,58.3,56040.0
2014-01-27,56.05,56.05,55.16,55.69,30621.0
2014-01-24,56.22,56.51,54.77,56.25,47307.0
2014-01-23,56.35,56.8,56.1,56.2,11851.0
2014-01-22,56.44,56.68,55.67,56.25,29428.0
2014-01-21,57.07,57.62,56.23,56.42,14219.0
2014-01-17,57.9,57.9,56.61,57.06,21004.0
2014-01-16,56.32,57.39,55.8,56.95,72873.0
2014-01-15,55.57,57.1,55.46,56.06,24839.0
2014-01-14,55.2,56.09,54.84,55.71,31317.0
2014-01-13,55.42,55.6,54.76,54.76,15076.0
2014-01-10,56.61,56.61,54.84,55.42,40183.0
2014-01-09,55.81,56.49,55.51,56.19,18009.0
2014-01-08,55.84,56.19,54.63,55.53,24709.0
2014-01-07,55.11,55.96,54.51,55.96,23820.0
2014-01-06,57.09,57.09,55.0,55.22,44474.0
2014-01-03,57.4,57.43,56.0,56.34,44825.0
2014-01-02,58.45,58.64,56.21,56.51,64151.0
2013-12-31,57.4,58.65,57.36,58.63,20277.0
2013-12-30,56.87,58.09,56.87,57.6,26032.0
2013-12-27,57.44,58.0,56.52,56.95,34798.0
2013-12-26,58.39,58.39,57.12,57.33,21129.0
2013-12-24,57.48,58.68,57.48,58.33,19157.0
2013-12-23,56.15,57.7,55.93,57.25,73249.0
2013-12-20,54.39,56.33,53.79,56.33,107623.0
2013-12-19,54.2,54.91,52.95,53.76,61561.0
2013-12-18,53.95,54.71,51.7,54.34,55053.0
2013-12-17,53.49,54.66,53.19,54.26,31987.0
2013-12-16,55.24,55.24,53.57,54.16,43076.0
2013-12-13,53.89,55.84,53.85,55.36,38940.0
2013-12-12,54.43,54.75,53.6,54.08,100959.0
2013-12-11,55.7,56.03,54.0,54.32,29754.0
2013-12-10,55.77,56.0,54.62,55.68,15032.0
2013-12-09,55.3,56.19,55.0,55.8,15300.0
2013-12-06,54.93,55.89,54.2,55.31,13707.0
2013-12-05,55.9,56.57,54.23,54.75,20347.0
2013-12-04,54.54,55.96,54.44,55.69,12617.0
2013-12-03,54.33,55.29,54.0,54.91,77639.0
2013-12-02,54.55,56.1,54.37,54.46,21944.0
2013-11-29,54.71,54.97,54.07,54.75,3371.0
2013-11-27,55.07,55.48,54.12,54.93,18386.0
2013-11-26,55.89,55.89,54.24,54.75,22458.0
2013-11-25,54.22,56.04,54.11,55.81,36560.0
2013-11-22,54.5,55.88,53.38,55.77,53106.0
2013-11-21,53.94,55.94,53.72,54.53,39432.0
2013-11-20,53.48,54.85,51.8,54.24,63945.0
2013-11-19,55.0,55.13,52.64,53.11,40855.0
2013-11-18,57.09,57.11,54.63,54.84,35200.0
2013-11-15,56.06,57.68,56.03,56.5,24687.0
2013-11-14,57.28,58.6,56.06,56.77,30057.0
2013-11-13,57.03,59.14,56.54,56.73,12144.0
2013-11-12,58.01,59.25,57.05,57.12,31048.0
2013-11-11,56.85,59.45,56.85,57.6,12575.0
2013-11-08,57.7,58.79,55.53,58.5,19877.0
2013-11-07,58.4,58.4,57.5,57.72,16134.0
2013-11-06,60.32,60.32,58.86,59.0,31794.0
2013-11-05,60.05,60.36,59.53,59.76,12821.0
2013-11-04,59.76,60.6,59.76,60.58,8969.0
2013-11-01,59.17,60.19,59.14,60.09,13526.0
2013-10-31,59.57,60.0,59.26,59.64,8743.0
2013-10-30,59.0,59.64,58.71,59.15,12962.0
2013-10-29,58.9,59.96,58.29,58.78,40595.0
2013-10-28,59.2,59.95,57.45,58.64,24030.0
2013-10-25,58.84,59.93,58.5,58.7,18729.0
2013-10-24,59.03,59.8,58.24,59.27,41780.0
2013-10-23,59.48,59.79,57.6,59.3,30577.0
2013-10-22,58.52,60.0,58.1,59.65,30432.0
2013-10-21,59.73,60.5,58.55,58.68,109160.0
2013-10-18,61.35,61.62,59.56,59.89,37987.0
2013-10-17,61.36,61.6,60.65,61.4,11471.0
2013-10-16,60.9,61.6,60.7,61.54,31489.0
2013-10-15,60.9,61.0,59.91,60.63,19458.0
2013-10-14,59.31,61.16,59.31,60.81,34165.0
2013-10-11,59.03,59.89,59.0,59.68,6258.0
2013-10-10,59.75,60.0,58.66,59.15,46562.0
2013-10-09,59.69,60.69,59.23,59.28,28547.0
2013-10-08,60.15,60.99,59.65,59.98,27800.0
2013-10-07,60.91,61.44,60.15,60.96,9922.0
2013-10-04,60.98,62.16,60.66,61.5,43440.0
2013-10-03,62.0,62.0,60.24,60.9,16442.0
2013-10-02,60.3,60.95,59.51,60.55,38441.0
2013-10-01,59.98,60.84,59.65,60.65,21526.0
2013-09-30,60.0,61.34,59.22,59.88,68440.0
2013-09-27,61.54,62.41,59.97,60.42,19631.0
2013-09-26,61.45,62.25,61.14,61.95,46068.0
2013-09-25,60.46,61.56,60.09,61.37,24406.0
2013-09-24,60.83,61.2,60.53,60.6,14849.0
2013-09-23,61.4,61.4,60.0,61.06,125715.0
2013-09-20,61.25,61.54,61.06,61.29,33202.0
2013-09-19,61.03,62.36,60.97,60.97,89299.0
2013-09-18,61.1,61.36,59.96,60.34,40991.0
2013-09-17,60.7,61.85,60.45,61.11,26369.0
2013-09-16,60.93,61.6,60.5,60.67,25101.0
2013-09-13,61.8,61.9,60.5,60.9,29578.0
2013-09-12,61.88,62.32,61.55,61.55,7303.0
2013-09-11,62.15,62.35,61.13,61.48,13158.0
2013-09-10,61.67,62.81,61.67,62.49,19932.0
2013-09-09,60.88,61.98,60.88,61.84,3949.0
2013-09-06,61.31,62.46,60.82,61.04,17290.0
2013-09-05,61.05,61.32,60.52,61.0,21129.0
2013-09-04,61.0,61.0,60.59,61.0,22579.0
2013-09-03,61.51,61.67,60.5,60.75,13313.0
2013-08-30,61.79,61.87,60.94,61.44,6933.0
2013-08-29,62.27,62.59,61.23,61.81,6278.0
2013-08-28,62.67,63.07,61.55,62.76,95137.0
2013-08-27,61.55,62.49,61.31,62.15,12781.0
2013-08-26,62.45,63.4,61.65,62.22,32721.0
2013-08-23,62.51,62.82,61.45,62.66,36635.0
2013-08-22,63.25,63.5,62.12,62.45,8461.0
2013-08-21,63.44,63.83,62.55,62.72,16422.0
2013-08-20,63.64,63.77,62.68,62.96,52529.0
