Date,Open,High,Low,Close,Volume
2014-04-07,54.12,54.6,53.11,53.84,3551889.0
2014-04-04,57.1,57.1,53.47,54.35,4903923.0
2014-04-03,58.25,58.35,56.23,56.44,2937331.0
2014-04-02,59.62,59.76,58.1,58.18,2434357.0
2014-04-01,58.76,59.71,58.59,59.62,1579659.0
2014-03-31,58.55,59.13,58.05,58.21,1726241.0
2014-03-28,58.44,59.23,57.84,58.24,1446109.0
2014-03-27,57.5,58.63,56.52,58.11,2627940.0
2014-03-26,58.65,58.92,57.21,57.75,2679848.0
2014-03-25,60.1,60.53,56.8,57.86,4488399.0
2014-03-24,60.95,61.16,58.55,59.58,2977554.0
2014-03-21,62.68,62.74,60.47,60.72,3392576.0
2014-03-20,59.7,62.92,59.7,61.96,4060902.0
2014-03-19,60.54,60.88,59.89,60.11,1910478.0
2014-03-18,59.84,60.9,59.69,60.61,1742163.0
2014-03-17,59.96,60.71,59.48,59.8,1274073.0
2014-03-14,58.74,59.93,58.54,59.53,1439354.0
2014-03-13,60.64,60.95,58.67,59.03,1473059.0
2014-03-12,59.63,60.48,59.0,60.44,1785376.0
2014-03-11,59.71,60.93,58.88,60.23,2873751.0
2014-03-10,61.19,61.19,59.08,59.39,3222485.0
2014-03-07,61.83,62.01,60.75,61.0,1762832.0
2014-03-06,61.79,62.14,61.19,61.37,2075217.0
2014-03-05,62.67,62.79,61.49,61.51,2026978.0
2014-03-04,61.95,62.65,61.77,62.64,1925494.0
2014-03-03,60.49,61.39,60.01,61.26,2165892.0
2014-02-28,62.93,63.15,60.92,61.13,2614304.0
2014-02-27,61.8,62.74,61.8,62.74,2541263.0
2014-02-26,61.94,62.41,61.42,61.48,2391148.0
2014-02-25,62.75,62.88,61.51,61.67,2315080.0
2014-02-24,61.65,63.14,61.41,62.64,3047186.0
2014-02-21,61.65,62.5,61.27,61.73,2487030.0
2014-02-20,60.7,61.61,60.5,61.55,2139764.0
2014-02-19,60.61,60.81,60.04,60.52,2929785.0
2014-02-18,59.79,60.81,59.72,60.62,2775139.0
2014-02-14,59.66,60.17,58.81,60.03,6328200.0
2014-02-13,58.64,59.94,58.63,59.71,3855339.0
2014-02-12,59.77,61.11,59.07,59.14,4761910.0
2014-02-11,58.12,59.95,57.86,59.79,4894953.0
2014-02-10,56.41,58.05,56.41,58.01,4644639.0
2014-02-07,56.99,57.2,56.25,56.64,4850126.0
2014-02-06,54.99,57.76,54.8,57.18,14584182.0
2014-02-05,46.43,47.79,46.2,47.42,5670383.0
2014-02-04,46.37,46.96,46.09,46.49,3047529.0
2014-02-03,48.88,49.5,45.59,46.01,6602985.0
2014-01-31,47.97,48.07,47.46,47.68,1884425.0
2014-01-30,47.94,48.68,47.68,48.47,1326700.0
2014-01-29,47.98,48.34,47.41,47.55,1379632.0
2014-01-28,47.81,48.49,47.64,48.35,1162790.0
2014-01-27,48.49,48.72,47.37,47.84,1652390.0
2014-01-24,49.35,49.39,48.12,48.34,1987419.0
2014-01-23,48.77,49.71,48.53,49.61,2466271.0
2014-01-22,48.93,49.45,48.68,49.18,1724642.0
2014-01-21,48.82,49.0,48.35,48.95,1227915.0
2014-01-17,48.7,49.06,48.36,48.58,1369029.0
