Date,Open,High,Low,Close,Volume
2014-04-04,44.68,44.79,40.62,41.53,2141443.0
2014-04-03,46.39,46.54,43.62,44.43,2627556.0
2014-04-02,46.32,47.24,45.7,46.8,2345211.0
2014-04-01,44.14,45.75,44.09,45.23,1915791.0
2014-03-31,42.28,44.14,42.21,44.09,1544897.0
2014-03-28,43.27,43.84,41.53,41.97,1460020.0
2014-03-27,43.09,43.7,41.75,43.19,1226429.0
2014-03-26,43.86,45.0,43.25,43.26,931823.0
2014-03-25,44.23,45.03,43.11,43.71,908472.0
2014-03-24,46.32,46.64,43.02,43.9,3298550.0
2014-03-21,47.95,47.95,45.2,46.47,3538133.0
2014-03-20,46.74,47.97,46.57,47.51,1264374.0
2014-03-19,46.72,47.26,46.59,46.88,1168689.0
2014-03-18,45.97,46.73,45.97,46.7,686182.0
2014-03-17,45.91,47.04,45.62,45.84,679456.0
2014-03-14,45.25,46.26,45.15,45.48,847814.0
2014-03-13,46.94,46.94,44.95,45.26,928325.0
2014-03-12,45.79,47.14,45.24,46.82,1111626.0
2014-03-11,45.99,47.56,45.85,46.24,990906.0
2014-03-10,46.27,46.71,45.5,46.0,1299961.0
2014-03-07,46.78,46.78,45.04,46.32,1107019.0
2014-03-06,47.19,48.2,46.46,46.51,1275760.0
2014-03-05,47.97,48.52,47.35,47.36,915753.0
2014-03-04,47.68,48.59,47.5,47.88,1123264.0
2014-03-03,47.89,48.33,46.71,47.16,2252477.0
2014-02-28,51.97,52.41,47.87,48.67,1814320.0
2014-02-27,53.06,54.21,50.79,51.78,1420653.0
2014-02-26,53.44,53.93,52.49,52.71,872361.0
2014-02-25,53.64,54.25,53.13,53.82,627295.0
2014-02-24,53.38,54.23,53.01,53.28,654207.0
2014-02-21,53.02,53.78,52.44,53.15,674477.0
2014-02-20,51.6,53.17,50.84,52.96,1119689.0
2014-02-19,52.33,52.55,51.32,51.6,691908.0
2014-02-18,52.24,52.99,52.1,52.96,1022208.0
2014-02-14,52.23,52.6,50.82,51.32,642199.0
2014-02-13,51.25,52.16,51.13,52.13,867124.0
2014-02-12,52.0,52.62,51.59,51.81,904108.0
2014-02-11,50.69,52.0,50.41,51.99,744515.0
2014-02-10,50.8,52.32,49.79,50.81,805947.0

