Date,Open,High,Low,Close,Volume
2014-04-04,36.56,36.64,34.86,34.9,4029645.0
2014-04-03,36.37,37.16,36.2,36.4,5489022.0
2014-04-02,36.48,36.54,36.01,36.1,2477340.0
2014-04-01,36.52,36.52,36.02,36.43,1751187.0
2014-03-31,35.65,36.24,35.65,36.24,2726202.0
2014-03-28,35.09,36.09,34.96,35.45,2192409.0
2014-03-27,35.8,36.08,35.56,35.63,1247002.0
2014-03-26,36.6,36.77,35.91,35.91,1767218.0
2014-03-25,36.01,36.64,35.96,36.43,2630535.0
2014-03-24,36.32,36.5,35.65,35.76,2967677.0
2014-03-21,37.37,37.56,36.16,36.35,6507396.0
2014-03-20,36.3,37.05,36.25,37.04,3707422.0
2014-03-19,35.94,36.32,35.74,35.99,2044449.0
2014-03-18,35.63,35.97,35.41,35.96,2366379.0
2014-03-17,35.6,35.8,35.43,35.51,1957638.0
2014-03-14,35.53,35.93,35.26,35.29,1841981.0
2014-03-13,36.16,36.32,35.34,35.51,3022741.0
2014-03-12,35.79,36.04,35.62,36.0,2237101.0
2014-03-11,36.53,36.7,35.84,35.97,2817589.0
2014-03-10,36.56,36.71,36.34,36.44,2253485.0
2014-03-07,36.46,36.66,36.2,36.53,2618724.0
2014-03-06,36.48,36.71,36.23,36.29,4304116.0
2014-03-05,36.5,36.5,36.12,36.41,1808868.0
2014-03-04,36.15,36.68,35.83,36.6,2774776.0
2014-03-03,36.06,36.2,35.38,35.82,4594004.0
2014-02-28,36.33,36.69,36.05,36.31,4289673.0
2014-02-27,36.46,36.46,36.03,36.25,2415459.0
2014-02-26,35.85,36.41,35.79,36.14,2303112.0
2014-02-25,36.02,36.18,35.73,35.9,3268932.0
2014-02-24,35.84,36.14,35.7,35.91,2759712.0
2014-02-21,35.78,35.89,35.5,35.7,3245468.0
2014-02-20,35.79,35.82,35.27,35.65,3001592.0
2014-02-19,34.81,35.82,34.8,35.75,5183831.0
2014-02-18,34.61,34.96,34.41,34.89,3347925.0
2014-02-14,34.75,34.97,34.55,34.76,3576668.0
2014-02-13,34.6,35.05,34.37,34.73,2898109.0
2014-02-12,34.4,34.92,34.24,34.72,3902548.0
2014-02-11,33.88,34.54,33.82,34.39,3862504.0
2014-02-10,33.6,34.06,33.53,33.91,3167527.0

