Date,Open,High,Low,Close,Volume
2014-04-04,153.12,153.9,139.52,142.5,2807779.0
2014-04-03,153.09,155.08,148.3,151.46,1864352.0
2014-04-02,156.2,158.52,152.79,154.51,1373704.0
2014-04-01,153.21,161.5,151.86,155.34,1781557.0
2014-03-31,150.54,152.66,148.81,152.13,1708699.0
2014-03-28,152.0,155.76,149.34,149.42,2331361.0
2014-03-27,151.79,153.52,146.1,151.1,2106644.0
2014-03-26,154.74,158.0,150.07,150.55,2290378.0
2014-03-25,149.77,156.68,148.4,153.08,2489265.0
2014-03-24,159.67,159.88,145.64,149.76,4549683.0
2014-03-21,174.85,177.07,157.76,159.79,6734253.0
2014-03-20,175.71,175.74,172.28,173.66,1041477.0
2014-03-19,180.85,181.58,174.75,175.92,1366515.0
2014-03-18,178.51,181.5,177.99,180.94,1079240.0
2014-03-17,177.5,179.18,176.11,177.99,1501755.0
2014-03-14,173.36,177.85,172.26,175.28,1100920.0
2014-03-13,178.73,179.23,173.4,175.17,1467084.0
2014-03-12,174.69,179.1,173.22,177.9,1317454.0
2014-03-11,179.77,180.2,175.06,175.95,1492933.0
2014-03-10,171.98,180.82,170.83,180.0,2597215.0
2014-03-07,169.86,170.1,163.77,168.05,2116411.0
2014-03-06,173.27,173.99,167.24,168.55,2113164.0
2014-03-05,173.05,174.25,170.56,171.0,1890145.0
2014-03-04,176.49,176.78,170.89,173.44,1996646.0
2014-03-03,174.77,177.51,171.47,172.43,1781151.0
2014-02-28,184.45,184.45,173.07,176.8,1802456.0
2014-02-27,182.27,184.84,181.65,183.89,781951.0
2014-02-26,182.22,185.19,181.16,182.57,929199.0
2014-02-25,183.91,185.43,181.0,182.63,1021212.0
2014-02-24,185.06,185.06,181.56,183.55,1294091.0
2014-02-21,178.49,184.22,176.11,181.52,1353957.0
2014-02-20,180.5,180.99,176.0,179.06,2073117.0
2014-02-19,181.62,183.88,178.51,180.41,1174452.0
2014-02-18,182.85,184.73,179.29,181.06,1734482.0
2014-02-14,180.06,183.32,178.08,180.55,1611874.0
2014-02-13,174.23,180.34,173.2,180.0,1608893.0
2014-02-12,174.71,176.0,173.5,175.86,1937567.0
2014-02-11,170.75,174.78,168.21,174.43,2365772.0
2014-02-10,165.0,171.09,164.06,170.11,2359160.0

