Date,Open,High,Low,Close,Volume
2014-04-04,18.8,19.06,17.72,18.07,378870.0
2014-04-03,19.03,19.12,18.43,18.64,300483.0
2014-04-02,19.34,19.49,18.7,18.99,349137.0
2014-04-01,19.38,19.72,19.01,19.22,542989.0
2014-03-31,19.01,19.53,19.01,19.35,402453.0
2014-03-28,18.92,19.2,18.6,18.96,720348.0
2014-03-27,19.2,19.48,18.6,18.9,632109.0
2014-03-26,19.65,20.13,19.22,19.22,726599.0
2014-03-25,20.2,20.4,19.39,19.48,733838.0
2014-03-24,20.85,20.85,19.99,20.0,511037.0
2014-03-21,21.63,21.73,20.58,20.8,1923829.0
2014-03-20,21.44,21.7,21.22,21.6,347351.0
2014-03-19,21.36,21.75,21.12,21.56,474720.0
2014-03-18,20.63,21.47,20.45,21.42,600657.0
2014-03-17,20.6,20.83,20.36,20.57,432356.0
2014-03-14,20.3,20.85,20.1,20.36,328417.0
2014-03-13,21.1,21.1,20.16,20.35,1075831.0
2014-03-12,21.44,22.0,20.89,20.95,652444.0
2014-03-11,22.57,22.74,21.56,21.65,457047.0
2014-03-10,22.42,22.61,22.07,22.57,259317.0
2014-03-07,22.06,22.5,21.34,22.42,358468.0
2014-03-06,22.0,22.39,21.71,21.88,300334.0
2014-03-05,21.34,21.97,21.09,21.93,518908.0
2014-03-04,20.89,21.61,20.83,21.35,509320.0
2014-03-03,20.48,20.75,20.27,20.61,381034.0
2014-02-28,21.11,21.28,20.42,20.73,348909.0
2014-02-27,21.43,21.63,20.68,21.13,1171477.0
2014-02-26,21.58,21.84,21.28,21.65,532819.0
2014-02-25,21.71,21.99,21.37,21.58,1114801.0
2014-02-24,21.35,21.87,21.16,21.76,499332.0
2014-02-21,21.58,21.58,21.13,21.35,384159.0
2014-02-20,20.83,21.64,20.7,21.55,768995.0
2014-02-19,20.56,20.82,20.52,20.73,491954.0
2014-02-18,20.64,21.07,20.64,20.9,500332.0
2014-02-14,19.98,20.48,19.98,20.36,713212.0
2014-02-13,19.34,19.99,19.21,19.97,1610839.0
2014-02-12,20.0,20.01,19.33,19.48,2330529.0
2014-02-11,19.85,20.89,19.62,20.07,1378585.0
2014-02-10,21.06,21.38,20.88,21.17,191213.0

