Date,Open,High,Low,Close,Volume
2014-04-04,20.99,21.03,20.16,20.25,15097599.0
2014-04-03,20.85,21.16,20.73,20.84,19373025.0
2014-04-02,20.66,20.84,20.53,20.79,11896852.0
2014-04-01,20.37,20.64,20.24,20.62,16010163.0
2014-03-31,20.24,20.65,20.18,20.42,13094287.0
2014-03-28,19.75,20.29,19.69,20.18,12615761.0
2014-03-27,19.86,20.02,19.64,19.69,12449639.0
2014-03-26,20.45,20.63,19.86,19.86,16214089.0
2014-03-25,20.25,20.4,20.02,20.36,13018711.0
2014-03-24,20.45,20.46,19.79,20.1,15100303.0
2014-03-21,20.2,20.81,20.12,20.17,25859760.0
2014-03-20,19.46,20.2,19.38,20.19,27535598.0
2014-03-19,19.36,19.76,19.26,19.47,16491666.0
2014-03-18,18.98,19.39,18.89,19.37,10686142.0
2014-03-17,18.88,19.07,18.85,18.98,6796316.0
2014-03-14,18.82,18.97,18.71,18.72,13071728.0
2014-03-13,19.58,19.67,18.77,18.88,19390652.0
2014-03-12,19.1,19.52,18.92,19.51,10189811.0
2014-03-11,19.4,19.5,19.07,19.13,12202644.0
2014-03-10,19.71,19.71,19.27,19.38,11603215.0
2014-03-07,19.49,19.66,19.4,19.64,16734375.0
2014-03-06,19.18,19.38,19.1,19.38,13373449.0
2014-03-05,18.8,19.19,18.7,19.17,17568472.0
2014-03-04,18.96,19.02,18.65,18.84,11369491.0
2014-03-03,18.7,18.89,18.55,18.71,9200300.0
2014-02-28,19.03,19.04,18.79,18.96,14745728.0
2014-02-27,19.0,19.07,18.85,19.01,12154584.0
2014-02-26,19.0,19.41,18.94,19.1,14863933.0
2014-02-25,19.13,19.13,18.75,19.02,12121808.0
2014-02-24,19.25,19.38,19.07,19.07,13389816.0
2014-02-21,19.12,19.24,18.91,19.1,14790468.0
2014-02-20,18.75,19.0,18.72,18.99,16166132.0
2014-02-19,18.84,18.99,18.65,18.75,13031386.0
2014-02-18,18.88,18.96,18.71,18.85,13689635.0
2014-02-14,18.72,19.09,18.49,18.96,22151782.0
2014-02-13,17.79,19.0,17.73,18.87,31649491.0
2014-02-12,17.79,18.09,17.76,17.91,18143691.0
2014-02-11,17.34,17.97,17.2,17.78,23056910.0
2014-02-10,17.2,17.3,17.11,17.25,7728615.0

