Date,Open,High,Low,Close,Volume
2014-04-07,14.65,14.7,14.21,14.5,365517.0
2014-04-04,15.42,15.47,14.61,14.75,246429.0
2014-04-03,15.62,15.66,15.16,15.34,287138.0
2014-04-02,15.49,15.81,15.3,15.7,286544.0
2014-04-01,14.95,15.54,14.95,15.5,409173.0
2014-03-31,14.76,15.11,14.67,14.89,218665.0
2014-03-28,14.72,15.38,14.71,14.73,358568.0
2014-03-27,14.72,14.9,14.4,14.71,249129.0
2014-03-26,15.0,15.28,14.69,14.69,320760.0
2014-03-25,14.93,15.15,14.66,14.9,230134.0
2014-03-24,14.95,15.1,14.74,14.82,394874.0
2014-03-21,14.99,15.16,14.83,14.92,545798.0
2014-03-20,14.82,15.11,14.73,14.9,356033.0
2014-03-19,14.56,14.95,14.47,14.89,376406.0
2014-03-18,14.21,14.58,14.13,14.55,243392.0
2014-03-17,14.49,14.83,14.22,14.22,235912.0
2014-03-14,13.99,14.44,13.85,14.41,530907.0
2014-03-13,15.26,15.42,14.02,14.09,901952.0
2014-03-12,14.52,16.08,14.5,15.42,647323.0
2014-03-11,15.39,16.16,14.47,15.66,475085.0
2014-03-10,15.84,16.24,15.8,16.2,267207.0
2014-03-07,15.91,16.14,15.43,15.87,224478.0
2014-03-06,16.43,16.43,15.77,15.8,371205.0
2014-03-05,16.64,16.73,16.27,16.45,190150.0
2014-03-04,16.96,17.16,16.62,16.67,338743.0
2014-03-03,16.8,17.0,16.42,16.73,190596.0
2014-02-28,17.45,17.61,16.92,16.96,301080.0
2014-02-27,16.93,17.46,16.74,17.42,196534.0
2014-02-26,16.63,17.24,16.49,16.96,202536.0
2014-02-25,16.87,16.87,16.44,16.58,151846.0
2014-02-24,16.54,17.17,16.43,16.95,376837.0
2014-02-21,16.77,17.0,16.39,16.6,212378.0
2014-02-20,16.38,16.81,16.19,16.66,165241.0
2014-02-19,16.53,16.98,16.27,16.31,313691.0
2014-02-18,15.67,17.0,15.62,16.5,533848.0
2014-02-14,15.63,15.77,15.48,15.67,124581.0
2014-02-13,15.19,15.96,15.19,15.69,302269.0
2014-02-12,15.36,15.6,15.17,15.3,176657.0
2014-02-11,15.25,15.42,14.95,15.3,132050.0
2014-02-10,15.23,15.28,14.81,15.23,154465.0
2014-02-07,15.45,15.5,15.0,15.25,183131.0
2014-02-06,15.13,15.5,14.98,15.4,329193.0
2014-02-05,14.8,15.17,14.4,15.08,321625.0
2014-02-04,14.7,15.23,14.66,14.86,271979.0
2014-02-03,15.09,15.34,14.46,14.63,247486.0
2014-01-31,15.01,15.47,15.01,15.09,213662.0
2014-01-30,15.17,15.36,15.14,15.27,161654.0
2014-01-29,15.26,15.54,14.95,15.07,205485.0
2014-01-28,15.17,15.52,14.98,15.41,253018.0
2014-01-27,15.23,15.47,14.89,15.18,302218.0
2014-01-24,15.29,15.63,15.07,15.24,241255.0
2014-01-23,15.39,15.48,15.23,15.36,167644.0
2014-01-22,15.54,15.57,15.32,15.5,177515.0
2014-01-21,15.78,15.9,15.42,15.53,190633.0
2014-01-17,15.29,16.0,15.29,15.64,233945.0
2014-01-16,14.88,16.22,14.88,15.36,536250.0
2014-01-15,14.5,15.03,14.2,14.88,321518.0
2014-01-14,14.62,14.82,14.44,14.58,247107.0
2014-01-13,14.84,15.2,14.49,14.6,282541.0
2014-01-10,14.84,15.14,14.73,14.93,268124.0
2014-01-09,14.9,14.91,14.56,14.88,238264.0
2014-01-08,14.91,15.13,14.81,14.88,248329.0
2014-01-07,14.61,15.16,14.61,14.96,308910.0
2014-01-06,14.61,14.79,14.41,14.56,325748.0
2014-01-03,14.43,14.61,14.25,14.55,206514.0
2014-01-02,14.6,14.6,14.2,14.42,316355.0
2013-12-31,14.61,14.93,14.54,14.63,299414.0
2013-12-30,14.67,14.82,14.39,14.61,359387.0
2013-12-27,14.68,14.88,14.53,14.72,183265.0
2013-12-26,14.96,15.22,14.66,14.68,213179.0
2013-12-24,14.82,15.22,14.65,14.96,160926.0
2013-12-23,14.5,14.87,14.21,14.79,459105.0
2013-12-20,14.64,14.67,14.24,14.4,750549.0
2013-12-19,14.73,14.88,14.48,14.63,340575.0
2013-12-18,14.8,14.89,14.39,14.78,332571.0
2013-12-17,15.12,15.19,14.62,14.74,467781.0
2013-12-16,15.06,15.37,14.87,15.12,439245.0
2013-12-13,15.07,15.26,14.82,15.01,302252.0
2013-12-12,14.76,15.08,14.74,15.01,422644.0
2013-12-11,15.54,15.57,14.61,14.71,542699.0
2013-12-10,15.32,15.52,15.01,15.52,501112.0
2013-12-09,15.52,15.53,15.26,15.35,445298.0
2013-12-06,15.7,15.93,15.45,15.5,408799.0
2013-12-05,15.74,15.78,15.49,15.52,406906.0
2013-12-04,15.77,15.87,15.32,15.78,529073.0
2013-12-03,15.9,16.18,15.76,15.83,786537.0
2013-12-02,16.25,16.76,15.65,15.97,800312.0
2013-11-29,16.61,16.75,16.27,16.28,259880.0
2013-11-27,16.03,16.78,16.01,16.5,532059.0
2013-11-26,15.97,16.12,15.73,16.05,681465.0
2013-11-25,15.62,16.22,15.42,15.92,829958.0
2013-11-22,15.85,15.9,15.41,15.56,626436.0
2013-11-21,14.4,15.7,14.29,15.61,1448260.0
2013-11-20,14.49,14.77,14.2,14.3,703283.0
2013-11-19,14.32,14.62,14.24,14.56,887569.0
2013-11-18,14.36,14.45,14.1,14.32,906162.0
2013-11-15,14.02,14.74,13.88,14.35,1341325.0
2013-11-14,12.89,13.87,12.63,13.77,830984.0
2013-11-13,13.61,13.75,12.6,12.96,2329041.0
2013-11-12,15.61,16.05,13.95,14.32,3359638.0
2013-11-11,17.07,17.43,16.96,17.35,499386.0
2013-11-08,16.41,17.17,16.27,17.1,267032.0
2013-11-07,16.88,17.01,16.31,16.4,300737.0
2013-11-06,16.84,16.99,16.66,16.83,187771.0
2013-11-05,17.02,17.2,16.59,16.79,320323.0
2013-11-04,16.51,17.22,16.51,17.18,374248.0
2013-11-01,16.48,16.86,16.06,16.64,469205.0
2013-10-31,16.23,16.67,15.97,16.28,487175.0
2013-10-30,16.33,16.34,15.89,16.25,402323.0
2013-10-29,16.27,16.45,16.02,16.28,304425.0
2013-10-28,16.72,17.01,16.3,16.45,451369.0
2013-10-25,17.42,17.48,16.77,16.91,262224.0
2013-10-24,17.43,17.75,17.17,17.46,224203.0
2013-10-23,17.41,17.48,16.61,17.28,198968.0
2013-10-22,17.33,17.95,17.2,17.54,332704.0
2013-10-21,17.38,17.87,17.02,17.11,708403.0
2013-10-18,18.29,18.49,17.87,18.1,193619.0
2013-10-17,18.02,18.14,17.72,18.14,196079.0
2013-10-16,18.19,18.24,18.01,18.16,185152.0
2013-10-15,17.76,18.1,17.56,18.0,218503.0
2013-10-14,18.02,18.21,17.63,17.85,309477.0
2013-10-11,17.62,18.5,17.51,18.09,528606.0
2013-10-10,17.65,18.1,17.28,17.32,613769.0
2013-10-09,17.85,18.09,17.34,17.45,291459.0
2013-10-08,17.74,18.14,17.55,17.78,221261.0
2013-10-07,17.69,18.09,17.68,17.76,237544.0
2013-10-04,17.69,17.96,17.55,17.85,195580.0
2013-10-03,17.87,17.97,17.46,17.76,195277.0
2013-10-02,17.6,17.95,17.44,17.91,220873.0
2013-10-01,17.22,17.75,17.19,17.74,238990.0
2013-09-30,16.78,17.33,16.68,17.21,253731.0
2013-09-27,16.76,17.21,16.76,17.0,151323.0
2013-09-26,16.78,17.07,16.62,16.88,422590.0
2013-09-25,17.32,17.48,16.78,16.79,303095.0
2013-09-24,17.22,17.74,17.09,17.35,168608.0
2013-09-23,17.4,17.4,17.02,17.22,271209.0
2013-09-20,17.61,17.7,17.33,17.39,389156.0
2013-09-19,17.02,17.7,17.0,17.59,236725.0
2013-09-18,17.08,17.46,16.75,17.01,219442.0
2013-09-17,16.88,17.15,16.78,17.13,305368.0
2013-09-16,17.36,17.69,16.83,16.91,361388.0
2013-09-13,17.17,17.54,17.03,17.21,200236.0
2013-09-12,17.05,18.05,17.01,17.11,457875.0
2013-09-11,17.2,17.25,16.82,17.06,222129.0
2013-09-10,17.13,17.49,17.12,17.25,316486.0
2013-09-09,16.9,17.25,16.82,17.07,282129.0
2013-09-06,17.09,17.23,16.56,16.88,351181.0
2013-09-05,16.8,17.19,16.8,17.0,309460.0
2013-09-04,16.55,16.96,16.53,16.83,499463.0
2013-09-03,16.58,17.06,16.28,16.52,413759.0
2013-08-30,16.6,16.6,16.04,16.29,391095.0
2013-08-29,16.43,17.04,16.35,16.64,231378.0
2013-08-28,16.46,16.84,16.41,16.43,324722.0
2013-08-27,16.9,17.16,16.24,16.43,345254.0
2013-08-26,17.18,17.44,17.06,17.11,279322.0
2013-08-23,17.13,17.31,17.0,17.18,218603.0
2013-08-22,16.94,17.32,16.76,17.12,152717.0
2013-08-21,17.16,17.2,16.85,16.88,257725.0
2013-08-20,17.17,17.44,17.11,17.21,374221.0
2013-08-19,17.25,17.8,17.06,17.18,464464.0
2013-08-16,17.6,17.92,17.32,17.33,861397.0
2013-08-15,17.4,17.81,17.39,17.58,608305.0
2013-08-14,17.68,17.96,17.34,17.58,666779.0
2013-08-13,17.56,17.98,17.42,17.65,531254.0
2013-08-12,17.75,18.24,17.45,17.54,791507.0
2013-08-09,16.0,18.7,15.85,17.9,3505384.0
2013-08-08,14.58,14.9,14.43,14.62,420490.0
2013-08-07,13.93,14.5,13.74,14.48,467820.0
2013-08-06,14.06,14.07,13.7,14.0,409294.0
2013-08-05,13.68,14.14,13.56,14.14,429805.0
2013-08-02,13.45,13.99,13.44,13.66,421928.0
2013-08-01,12.75,13.84,12.62,13.53,980297.0
2013-07-31,12.0,12.96,11.77,12.51,1445237.0
2013-07-30,11.42,11.64,11.36,11.49,1082700.0
2013-07-29,11.5,11.59,11.34,11.39,479506.0
2013-07-26,11.4,11.58,11.4,11.56,320540.0
2013-07-25,11.5,11.71,11.41,11.5,454633.0
2013-07-24,11.39,11.6,11.35,11.49,387210.0
2013-07-23,11.68,11.81,10.76,11.3,748661.0
2013-07-22,11.6,11.94,11.6,11.67,371411.0
2013-07-19,11.57,11.81,11.49,11.66,239984.0
2013-07-18,11.73,11.95,11.61,11.65,308672.0
2013-07-17,11.68,11.89,11.53,11.66,174790.0
2013-07-16,11.53,11.76,11.42,11.59,273516.0
2013-07-15,11.21,11.5,11.2,11.47,333011.0
2013-07-12,11.05,11.33,11.05,11.27,285354.0
2013-07-11,11.15,11.32,10.99,11.08,552087.0
2013-07-10,10.87,11.08,10.87,11.03,271890.0
2013-07-09,10.61,11.0,10.56,10.92,473052.0
2013-07-08,11.03,11.09,10.55,10.66,824356.0
2013-07-05,10.6,11.03,10.56,11.0,306379.0
2013-07-03,10.92,11.0,10.49,10.52,355805.0
2013-07-02,11.11,11.11,10.8,10.87,526821.0
2013-07-01,11.68,11.68,11.14,11.17,608326.0
2013-06-28,10.17,12.15,9.51,11.6,3127297.0
2013-06-27,13.05,13.3,13.0,13.29,307673.0
2013-06-26,12.67,13.1,12.52,12.97,361776.0
2013-06-25,12.71,12.79,12.49,12.55,225322.0
2013-06-24,12.72,12.98,12.4,12.55,208316.0
2013-06-21,12.72,12.9,12.58,12.76,408193.0
2013-06-20,13.0,13.12,12.6,12.67,329245.0
2013-06-19,13.61,13.61,13.1,13.2,341355.0
2013-06-18,13.45,13.86,13.28,13.6,218075.0
2013-06-17,13.53,13.65,13.3,13.41,165503.0
2013-06-14,13.58,13.81,13.4,13.41,174491.0
2013-06-13,13.72,13.84,13.4,13.58,350766.0
2013-06-12,13.21,14.89,13.17,13.77,891742.0
2013-06-11,12.34,13.29,12.28,13.02,537163.0
2013-06-10,11.76,12.47,11.63,12.43,249318.0
2013-06-07,11.58,11.82,11.53,11.72,148399.0
2013-06-06,11.7,11.86,11.34,11.56,415660.0
2013-06-05,12.1,12.3,11.67,11.71,244382.0
2013-06-04,12.55,12.66,12.0,12.1,266048.0
2013-06-03,12.39,12.67,12.21,12.54,361553.0
2013-05-31,12.47,12.89,12.27,12.32,478728.0
2013-05-30,12.18,12.64,12.09,12.54,271934.0
2013-05-29,12.54,12.91,12.15,12.16,299615.0
2013-05-28,12.55,13.19,12.42,12.86,647071.0
2013-05-24,11.33,12.23,11.33,12.14,455541.0
2013-05-23,10.96,11.43,10.85,11.43,262425.0
2013-05-22,11.11,11.69,11.0,11.08,420161.0
2013-05-21,11.04,11.12,10.95,11.1,233729.0
2013-05-20,11.22,11.25,10.94,11.05,412892.0
2013-05-17,11.16,11.5,11.11,11.27,357042.0
2013-05-16,10.99,11.15,10.95,11.12,132804.0
2013-05-15,11.08,11.1,10.94,11.02,226866.0
2013-05-14,11.09,11.25,11.04,11.14,253523.0
2013-05-13,11.06,11.25,10.99,11.1,288841.0
2013-05-10,11.02,11.23,10.93,11.13,272660.0
2013-05-09,10.63,11.05,10.58,10.98,401457.0
2013-05-08,10.53,10.7,10.42,10.61,393658.0
2013-05-07,10.33,10.59,10.3,10.53,427061.0
2013-05-06,10.0,10.35,9.92,10.34,616508.0
2013-05-03,10.06,10.55,9.77,10.03,719517.0
2013-05-02,9.95,10.0,9.83,9.93,464123.0
2013-05-01,9.89,10.13,9.55,9.91,514841.0
2013-04-30,9.55,10.19,8.81,10.04,1321295.0
2013-04-29,10.27,10.4,10.15,10.2,356556.0
2013-04-26,10.23,10.44,9.99,10.18,393755.0
2013-04-25,10.81,11.03,10.25,10.32,833548.0
2013-04-24,11.05,11.4,11.0,11.26,264656.0
2013-04-23,10.65,11.1,10.65,11.03,221674.0
2013-04-22,10.43,10.68,10.05,10.58,235934.0
2013-04-19,10.19,10.42,10.08,10.41,134694.0
2013-04-18,10.28,10.33,10.08,10.16,226519.0
