Date,Open,High,Low,Close,Volume
2014-04-07,118.19,119.74,116.56,118.82,4813124.0
2014-04-04,125.07,125.38,118.99,119.11,5020559.0
2014-04-03,126.16,127.25,123.13,124.13,3036339.0
2014-04-02,126.02,127.09,125.02,125.98,2892876.0
2014-04-01,123.67,126.23,123.51,126.07,3163815.0
2014-03-31,122.5,124.53,122.19,123.34,4761382.0
2014-03-28,122.27,124.12,120.38,120.55,3245971.0
2014-03-27,121.31,123.98,120.5,122.29,4553405.0
2014-03-26,121.23,122.89,120.05,120.11,3843835.0
2014-03-25,121.74,123.95,119.66,120.63,3863785.0
2014-03-24,123.27,123.5,118.56,121.28,4448092.0
2014-03-21,127.05,128.96,122.47,122.93,7101208.0
2014-03-20,126.16,127.1,125.24,127.05,2311155.0
2014-03-19,127.99,127.99,125.72,126.58,2599484.0
2014-03-18,124.5,127.48,124.31,127.47,3255625.0
2014-03-17,123.12,125.31,122.55,123.86,2576030.0
2014-03-14,123.4,124.91,122.36,122.54,2215788.0
2014-03-13,126.17,126.35,123.31,123.96,2436808.0
2014-03-12,122.98,126.0,122.98,125.98,2761051.0
2014-03-11,125.45,125.6,123.74,124.27,2655286.0
2014-03-10,122.26,126.1,122.25,125.4,3788733.0
2014-03-07,125.31,125.9,120.26,122.26,7124965.0
2014-03-06,126.69,127.42,124.12,124.19,3067544.0
2014-03-05,126.18,127.15,125.39,126.19,2478251.0
2014-03-04,125.32,126.06,124.51,126.0,2561520.0
2014-03-03,122.89,124.18,122.52,123.69,2503868.0
2014-02-28,124.26,126.95,123.17,124.02,4853628.0
2014-02-27,121.99,123.9,121.77,123.08,3775396.0
2014-02-26,123.9,124.23,121.74,121.86,3895729.0
2014-02-25,125.34,126.22,124.02,124.36,2429830.0
2014-02-24,124.38,126.59,124.2,125.79,2772570.0
2014-02-21,123.75,125.5,123.26,123.85,3394951.0
2014-02-20,123.35,124.31,122.9,123.49,3019980.0
2014-02-19,124.85,124.9,123.13,123.35,2783059.0
2014-02-18,124.84,126.32,124.57,124.94,3082110.0
2014-02-14,123.54,124.3,122.52,123.84,2681557.0
2014-02-13,121.65,124.16,121.22,124.15,2530134.0
2014-02-12,120.93,122.54,120.87,122.21,2187545.0
2014-02-11,120.0,121.25,118.85,121.24,2502769.0
2014-02-10,119.68,120.36,117.9,120.3,3352513.0
2014-02-07,116.44,119.04,115.81,118.9,2839710.0
2014-02-06,115.62,116.82,115.08,116.07,2737271.0
2014-02-05,115.43,116.94,114.57,115.07,4332194.0
2014-02-04,117.69,117.73,115.71,115.78,5093107.0
2014-02-03,119.68,120.5,116.47,116.75,5046431.0
2014-01-31,118.55,120.21,118.1,118.95,4936860.0
2014-01-30,120.07,121.98,119.55,120.89,3324539.0
2014-01-29,117.0,121.16,117.0,119.17,5730423.0
2014-01-28,118.39,121.87,118.31,120.7,4352416.0
2014-01-27,119.25,119.83,117.42,118.52,4128057.0
2014-01-24,122.61,122.61,118.99,119.29,5060130.0
2014-01-23,123.0,124.22,121.6,123.6,3534823.0
2014-01-22,119.83,124.46,119.58,124.37,5091693.0
2014-01-21,119.96,120.0,118.57,119.25,3072710.0
2014-01-17,118.91,119.55,118.31,119.15,4013110.0
2014-01-16,118.82,119.69,118.21,119.03,2553509.0
2014-01-15,118.42,118.95,117.4,118.51,3065536.0
2014-01-14,116.84,117.94,116.22,117.72,2541192.0
2014-01-13,118.32,118.73,115.94,116.4,3703890.0
2014-01-10,119.0,119.0,116.2,117.99,3054735.0
2014-01-09,116.54,118.96,116.22,118.89,3401883.0
2014-01-08,116.64,116.9,115.35,115.88,2482018.0
2014-01-07,113.5,116.79,113.27,116.43,3635257.0
2014-01-06,114.47,114.92,113.12,113.48,2838138.0
2014-01-03,115.7,115.97,114.06,114.47,2075841.0
2014-01-02,114.36,116.19,114.06,115.8,2529728.0
2013-12-31,115.91,115.95,113.67,114.08,2362823.0
2013-12-30,115.36,115.52,114.39,115.49,1533955.0
