Date,Open,High,Low,Close,Volume
2014-04-07,7.06,7.18,7.02,7.12,1679837.0
2014-04-04,7.21,7.36,7.02,7.11,1621801.0
2014-04-03,7.22,7.33,7.1,7.2,2185517.0
2014-04-02,7.15,7.25,7.08,7.18,1313596.0
2014-04-01,6.92,7.15,6.88,7.12,1729756.0
2014-03-31,6.57,6.88,6.57,6.86,1662662.0
2014-03-28,6.57,6.73,6.56,6.64,1403802.0
2014-03-27,6.5,6.57,6.48,6.52,879349.0
2014-03-26,6.6,6.61,6.49,6.49,1323526.0
2014-03-25,6.43,6.59,6.43,6.54,946007.0
2014-03-24,6.5,6.53,6.34,6.42,1214602.0
2014-03-21,6.56,6.6,6.48,6.49,1526703.0
2014-03-20,6.45,6.51,6.43,6.48,1178967.0
2014-03-19,6.46,6.52,6.4,6.44,1032292.0
2014-03-18,6.21,6.44,6.21,6.43,1262149.0
2014-03-17,6.19,6.26,6.17,6.18,1087658.0
2014-03-14,6.05,6.17,6.05,6.12,965131.0
2014-03-13,6.15,6.17,6.03,6.05,869560.0
2014-03-12,6.11,6.13,6.04,6.12,901924.0
2014-03-11,6.12,6.13,6.01,6.12,1153171.0
2014-03-10,6.14,6.15,6.04,6.1,1082083.0
2014-03-07,6.1,6.14,6.06,6.09,754852.0
2014-03-06,6.09,6.1,6.01,6.08,986114.0
2014-03-05,6.04,6.08,6.0,6.04,619455.0
2014-03-04,5.98,6.06,5.97,6.02,1648353.0
2014-03-03,5.9,5.91,5.81,5.9,861077.0
2014-02-28,5.88,5.97,5.8,5.92,1399985.0
2014-02-27,5.75,5.9,5.74,5.85,1300626.0
2014-02-26,5.76,5.89,5.76,5.79,804096.0
2014-02-25,5.72,5.77,5.58,5.73,1064062.0
2014-02-24,5.7,5.78,5.64,5.7,1308307.0
2014-02-21,5.62,5.74,5.59,5.68,1563234.0
2014-02-20,5.42,5.56,5.41,5.53,798413.0
2014-02-19,5.36,5.49,5.34,5.39,1468224.0
2014-02-18,5.27,5.37,5.26,5.3,1435446.0
2014-02-14,5.19,5.28,5.16,5.27,890037.0
2014-02-13,5.11,5.2,5.11,5.18,658093.0
2014-02-12,5.12,5.19,5.09,5.12,1535193.0
2014-02-11,5.1,5.2,5.02,5.15,2186418.0
