Date,Open,High,Low,Close,Volume
2014-04-04,1.53,1.6,1.5,1.51,1318086.0
2014-04-03,1.59,1.64,1.53,1.53,1037369.0
2014-04-02,1.63,1.67,1.56,1.6,1607899.0
2014-04-01,1.6,1.68,1.59,1.63,2455388.0
2014-03-31,1.65,1.68,1.58,1.61,1005073.0
2014-03-28,1.67,1.71,1.61,1.63,1135565.0
2014-03-27,1.67,1.7,1.61,1.66,820189.0
2014-03-26,1.87,1.87,1.65,1.66,2050151.0
2014-03-25,1.84,1.9,1.81,1.84,845188.0
2014-03-24,2.02,2.02,1.78,1.83,1486313.0
2014-03-21,1.97,2.05,1.95,2.02,891505.0
2014-03-20,2.06,2.08,1.92,1.96,1697327.0
2014-03-19,2.13,2.35,2.06,2.07,1902090.0
2014-03-18,2.18,2.18,2.08,2.12,824758.0
2014-03-17,2.11,2.21,2.11,2.16,966746.0
2014-03-14,2.11,2.19,2.06,2.09,1166813.0
2014-03-13,2.24,2.39,2.12,2.13,1892729.0
2014-03-12,2.3,2.37,2.2,2.23,1384446.0
2014-03-11,2.23,2.68,2.18,2.31,6349143.0
2014-03-10,2.25,2.3,2.15,2.18,1431650.0
2014-03-07,2.18,2.25,2.05,2.24,1480855.0
2014-03-06,2.24,2.35,2.11,2.11,2154897.0
2014-03-05,2.15,2.34,2.03,2.22,4122409.0
2014-03-04,1.85,2.05,1.85,1.96,1873225.0
2014-03-03,1.79,1.84,1.79,1.83,671869.0
2014-02-28,1.87,1.96,1.82,1.85,1233418.0
2014-02-27,1.8,1.89,1.8,1.86,1318008.0
2014-02-26,1.82,1.83,1.79,1.81,810800.0
2014-02-25,1.93,1.93,1.81,1.83,1118788.0
2014-02-24,1.92,1.95,1.89,1.93,708148.0
2014-02-21,1.96,1.97,1.89,1.92,787281.0
2014-02-20,1.98,2.04,1.9,1.94,1811454.0
2014-02-19,1.89,2.25,1.85,2.07,6734317.0
2014-02-18,1.7,1.89,1.69,1.81,2750614.0
2014-02-14,1.67,1.69,1.66,1.68,555980.0
2014-02-13,1.61,1.7,1.6,1.66,897720.0
2014-02-12,1.65,1.72,1.59,1.62,1634339.0
2014-02-11,1.54,1.69,1.54,1.63,2173486.0
2014-02-10,1.55,1.6,1.5,1.56,1085007.0

