Date,Open,High,Low,Close,Volume
2014-04-04,335.15,335.44,315.61,323.0,12534578.0
2014-04-03,341.82,342.5,328.46,333.62,6399299.0
2014-04-02,345.99,348.3,340.38,341.96,4475523.0
2014-04-01,338.09,344.43,338.0,342.99,3602899.0
2014-03-31,342.4,346.29,334.06,336.36,4297487.0
2014-03-28,340.05,347.0,336.08,338.29,3986782.0
2014-03-27,343.15,344.0,330.88,338.47,5770462.0
2014-03-26,357.13,357.6,343.4,343.41,4120665.0
2014-03-25,354.03,358.97,348.84,354.71,4455703.0
2014-03-24,360.09,361.5,348.6,351.85,4879627.0
2014-03-21,371.0,372.84,358.4,360.62,5417935.0
2014-03-20,370.64,373.0,366.22,368.97,2558460.0
2014-03-19,378.77,379.0,369.42,373.23,2646687.0
2014-03-18,377.32,379.0,375.0,378.77,2483508.0
2014-03-17,375.72,378.85,374.88,375.04,2306821.0
2014-03-14,372.8,378.57,371.55,373.74,4402220.0
2014-03-13,376.62,383.11,368.08,371.51,6829047.0
2014-03-12,366.4,371.16,363.61,370.64,2219663.0
2014-03-11,370.99,372.8,367.28,368.82,2248019.0
2014-03-10,372.69,372.73,367.0,370.53,2107820.0
2014-03-07,374.58,374.99,369.53,372.06,2280358.0
2014-03-06,374.05,375.33,368.9,372.16,2927497.0
2014-03-05,364.13,372.73,363.9,372.37,3862706.0
2014-03-04,363.9,365.68,362.46,363.9,2706843.0
2014-03-03,358.74,360.96,354.48,359.78,2804261.0
2014-02-28,360.6,365.86,357.08,362.1,3885207.0
2014-02-27,357.22,360.59,355.5,360.13,3105442.0
2014-02-26,359.86,364.75,357.17,359.8,3622506.0
2014-02-25,353.0,361.08,351.58,358.32,3747076.0
2014-02-24,345.19,353.0,343.29,351.78,3647182.0
2014-02-21,352.44,354.14,346.75,346.76,4212144.0
2014-02-20,348.8,350.46,344.38,349.8,3496663.0
2014-02-19,352.64,354.54,346.1,347.38,4175393.0
2014-02-18,355.28,355.73,349.45,353.65,5000493.0
2014-02-14,359.34,359.34,353.35,357.35,3524570.0
2014-02-13,347.7,357.2,346.5,357.2,4181445.0
2014-02-12,356.43,357.75,346.32,349.25,6599199.0
2014-02-11,361.84,363.61,356.25,361.79,3225200.0
2014-02-10,361.61,365.0,359.35,360.87,3451093.0

