Date,Open,High,Low,Close,Volume
2014-04-07,111.99,112.52,110.3,110.63,10096.0
2014-04-04,116.0,116.0,111.84,111.84,8659.0
2014-04-03,114.11,115.96,112.71,115.15,26190.0
2014-04-02,115.17,115.98,113.91,114.4,4804.0
2014-04-01,114.16,115.34,113.05,114.69,32087.0
2014-03-31,111.7,113.85,111.53,113.05,20587.0
2014-03-28,111.83,112.95,110.63,111.12,6669.0
2014-03-27,113.62,113.62,110.98,110.98,22101.0
2014-03-26,113.03,114.89,112.54,113.2,8503.0
2014-03-25,114.19,117.5,113.86,114.13,5134.0
2014-03-24,113.8,114.9,112.11,113.85,18617.0
2014-03-21,116.0,116.83,112.85,112.85,62854.0
2014-03-20,117.21,117.8,114.4,115.2,29060.0
2014-03-19,117.06,119.09,115.37,116.71,36733.0
2014-03-18,115.42,117.95,114.82,116.46,18817.0
2014-03-17,114.86,116.58,112.57,115.91,8021.0
2014-03-14,113.21,114.97,111.63,113.7,16045.0
2014-03-13,113.32,114.95,112.27,112.64,9344.0
2014-03-12,113.07,113.98,112.0,112.99,7039.0
2014-03-11,114.65,115.86,112.49,113.1,19796.0
2014-03-10,114.59,115.53,112.8,114.5,9356.0
2014-03-07,113.2,114.83,112.6,114.55,11856.0
2014-03-06,114.0,114.2,113.23,113.23,8161.0
2014-03-05,114.26,115.45,113.53,114.3,16519.0
2014-03-04,113.53,115.74,113.53,114.33,12968.0
2014-03-03,111.73,114.67,111.0,113.16,16972.0
2014-02-28,113.78,114.17,113.32,113.49,10178.0
2014-02-27,112.6,113.8,112.5,113.54,6434.0
2014-02-26,112.1,113.47,111.5,112.64,7002.0
2014-02-25,111.59,112.18,111.05,111.84,8059.0
2014-02-24,115.17,117.36,111.47,111.67,26520.0
2014-02-21,113.15,116.71,112.33,115.84,19926.0
2014-02-20,111.32,113.21,110.21,112.15,9605.0
2014-02-19,111.37,112.9,110.3,110.3,8917.0
2014-02-18,117.0,117.5,111.85,111.85,35004.0
2014-02-14,107.5,119.7,107.48,117.31,45029.0
2014-02-13,107.0,107.5,106.6,107.5,6191.0
2014-02-12,108.37,109.83,107.53,107.53,4951.0
2014-02-11,106.98,109.48,106.94,107.9,9157.0
2014-02-10,105.47,107.0,104.52,106.59,15069.0
2014-02-07,107.69,108.58,104.58,104.59,9504.0
2014-02-06,104.24,107.35,104.24,107.35,11851.0
2014-02-05,103.5,104.74,103.04,104.46,10337.0
2014-02-04,103.78,104.97,102.52,103.8,15299.0
2014-02-03,104.38,107.4,102.17,102.66,15395.0
2014-01-31,105.43,105.43,102.25,104.0,17277.0
2014-01-30,104.89,107.25,104.89,106.7,8242.0
2014-01-29,106.41,107.39,105.58,105.8,8830.0
2014-01-28,105.15,107.44,105.15,107.44,9467.0
2014-01-27,107.46,108.55,106.03,106.03,6916.0
2014-01-24,110.5,110.77,106.55,107.5,10129.0
2014-01-23,110.11,111.53,109.38,109.78,6447.0
2014-01-22,110.99,111.69,109.94,109.94,6357.0
2014-01-21,110.96,111.43,109.94,110.5,6029.0
2014-01-17,110.0,111.0,109.68,109.95,17188.0
2014-01-16,111.08,111.17,109.3,109.3,7034.0
2014-01-15,109.26,112.51,109.26,110.81,12107.0
2014-01-14,111.0,111.6,109.0,110.6,9756.0
2014-01-13,110.25,110.99,110.01,110.1,3779.0
2014-01-10,110.39,111.0,109.78,110.95,8568.0
2014-01-09,112.0,112.55,109.51,109.51,18339.0
2014-01-08,110.51,111.93,110.35,111.7,6737.0
2014-01-07,109.87,111.28,109.87,111.28,6100.0
2014-01-06,111.38,112.12,108.51,109.07,42654.0
2014-01-03,113.22,113.62,110.46,110.99,22291.0
2014-01-02,114.48,114.48,108.21,113.34,25887.0
2013-12-31,113.23,115.66,112.66,114.54,10129.0
2013-12-30,112.65,113.84,111.36,113.26,6811.0
2013-12-27,110.74,112.32,110.74,112.24,3700.0
2013-12-26,113.0,114.1,111.26,111.26,10279.0
2013-12-24,111.74,112.91,110.71,112.12,1624.0
2013-12-23,111.98,113.4,110.16,111.27,11385.0
2013-12-20,112.04,114.3,110.35,110.35,52265.0
2013-12-19,112.93,115.06,111.74,111.74,16131.0
2013-12-18,110.72,114.39,109.21,113.99,16733.0
2013-12-17,111.1,112.33,109.84,110.0,11022.0
2013-12-16,111.01,111.83,109.55,111.01,13656.0
2013-12-13,111.88,111.99,106.56,110.98,15146.0
2013-12-12,113.71,113.71,109.1,110.98,12780.0
2013-12-11,115.49,116.62,112.51,112.61,4828.0
2013-12-10,116.04,117.05,114.09,114.82,7221.0
2013-12-09,115.05,117.59,115.05,116.0,6213.0
2013-12-06,116.25,117.75,113.75,115.0,8936.0
2013-12-05,114.25,115.75,113.8,114.32,3808.0
2013-12-04,118.1,119.44,114.84,115.08,8143.0
2013-12-03,117.74,119.61,113.11,118.5,12565.0
2013-12-02,115.04,119.27,115.04,117.88,11091.0
2013-11-29,116.3,116.91,115.55,115.55,2096.0
2013-11-27,117.0,117.25,114.62,114.99,4820.0
2013-11-26,118.2,118.2,115.34,116.98,4759.0
2013-11-25,118.67,119.67,117.18,117.47,4587.0
2013-11-22,115.98,119.7,115.98,118.9,16588.0
2013-11-21,110.46,119.22,110.46,118.31,15959.0
2013-11-20,113.77,115.99,113.04,114.53,16952.0
2013-11-19,111.39,114.63,111.39,114.15,16634.0
2013-11-18,111.77,112.99,111.14,112.15,9474.0
2013-11-15,111.06,112.25,110.15,110.89,5941.0
2013-11-14,109.05,111.64,108.5,111.07,7688.0
2013-11-13,105.04,108.98,104.99,108.54,12782.0
2013-11-12,103.02,106.75,103.02,106.1,9685.0
2013-11-11,107.95,108.51,106.34,106.49,5273.0
2013-11-08,104.48,108.86,104.34,107.71,14680.0
2013-11-07,104.0,104.32,102.67,103.69,16688.0
2013-11-06,103.0,103.88,102.24,103.29,11191.0
2013-11-05,102.26,103.51,100.56,102.73,17430.0
2013-11-04,102.0,104.0,101.0,103.08,11304.0
2013-11-01,100.94,102.75,100.01,100.69,10142.0
2013-10-31,100.5,103.29,100.0,101.07,17706.0
2013-10-30,103.0,103.0,102.0,102.2,6169.0
2013-10-29,101.28,102.76,100.96,102.59,3332.0
2013-10-28,101.29,103.45,98.51,102.0,9487.0
2013-10-25,99.44,101.66,99.44,100.88,18745.0
2013-10-24,100.65,102.26,99.39,99.42,20796.0
2013-10-23,100.97,101.58,100.7,100.75,3196.0
2013-10-22,101.77,101.97,100.68,100.7,3851.0
2013-10-21,100.94,101.75,100.76,101.34,10068.0
2013-10-18,100.0,100.84,99.28,100.64,6378.0
2013-10-17,99.1,101.0,99.02,100.75,11731.0
2013-10-16,97.74,100.52,97.74,99.4,4724.0
2013-10-15,100.83,100.99,96.1,97.5,17417.0
2013-10-14,96.91,101.55,95.86,100.5,14774.0
2013-10-11,95.29,97.85,95.29,97.45,6460.0
2013-10-10,93.97,96.22,93.43,95.84,35778.0
2013-10-09,93.65,95.05,92.3,92.9,21881.0
2013-10-08,95.63,96.25,92.11,93.0,23247.0
2013-10-07,96.44,97.12,95.49,96.06,8112.0
2013-10-04,97.86,98.99,96.89,97.45,13778.0
2013-10-03,98.27,98.36,96.81,97.8,23800.0
2013-10-02,98.54,99.0,96.51,98.85,15763.0
2013-10-01,98.54,99.25,96.8,98.49,14018.0
2013-09-30,97.91,98.59,97.64,98.04,9821.0
2013-09-27,98.06,99.54,98.05,98.68,6404.0
2013-09-26,98.32,99.03,97.74,98.47,4116.0
2013-09-25,97.47,98.33,96.52,98.08,12629.0
2013-09-24,99.55,99.55,96.93,97.2,15714.0
2013-09-23,100.25,100.25,97.51,99.25,11159.0
2013-09-20,101.45,101.85,98.68,99.55,100796.0
2013-09-19,102.87,102.87,100.66,100.91,8169.0
2013-09-18,102.33,103.54,102.09,103.18,12931.0
2013-09-17,100.03,102.98,99.14,102.85,49862.0
2013-09-16,100.97,100.97,98.79,99.97,41501.0
2013-09-13,100.24,100.85,99.05,99.6,41120.0
2013-09-12,101.84,102.0,99.33,100.25,32179.0
2013-09-11,103.61,103.61,101.86,102.0,8958.0
2013-09-10,104.96,104.96,102.75,103.0,9810.0
2013-09-09,103.83,104.46,102.55,104.13,9289.0
2013-09-06,102.94,103.99,101.72,103.23,6368.0
2013-09-05,104.53,104.83,101.77,103.01,11587.0
2013-09-04,105.6,105.83,104.01,104.7,15527.0
2013-09-03,105.99,106.26,105.0,105.88,12540.0
2013-08-30,105.71,105.71,103.95,104.97,9082.0
2013-08-29,106.18,106.8,99.96,106.0,4527.0
2013-08-28,105.28,106.7,105.01,105.72,8701.0
2013-08-27,107.21,107.21,105.05,105.72,7724.0
2013-08-26,109.38,110.55,108.3,108.8,7449.0
2013-08-23,109.91,109.92,109.06,109.41,8345.0
2013-08-22,110.52,111.46,109.18,110.42,3883.0
2013-08-21,110.84,111.17,109.33,110.29,4433.0
2013-08-20,108.36,111.49,107.98,111.14,19592.0
2013-08-19,109.94,110.47,107.36,108.14,9513.0
2013-08-16,110.8,111.83,109.5,110.65,16112.0
2013-08-15,111.81,111.81,108.91,110.2,6677.0
2013-08-14,111.95,112.96,111.15,112.36,8963.0
2013-08-13,114.75,115.15,112.05,112.5,18560.0
2013-08-12,114.5,115.0,114.0,114.7,13749.0
2013-08-09,114.37,115.28,113.79,114.68,11273.0
2013-08-08,114.5,115.23,112.61,113.98,21543.0
2013-08-07,113.82,116.08,113.38,114.97,30538.0
2013-08-06,115.81,116.05,113.56,113.7,21614.0
2013-08-05,115.5,116.32,114.76,116.32,14020.0
2013-08-02,115.62,116.01,114.7,115.6,20176.0
2013-08-01,113.5,115.8,111.67,115.7,15845.0
2013-07-31,112.23,112.98,111.97,112.5,33975.0
2013-07-30,112.41,112.41,111.61,112.19,6810.0
2013-07-29,111.45,112.47,111.45,111.87,9034.0
2013-07-26,110.45,111.87,110.45,111.51,14530.0
2013-07-25,109.64,111.19,109.41,110.9,24068.0
2013-07-24,110.24,110.24,108.74,109.99,13735.0
2013-07-23,108.35,110.0,105.01,109.58,20490.0
2013-07-22,109.42,109.84,103.06,109.41,6744.0
2013-07-19,107.37,109.93,106.86,108.9,7185.0
2013-07-18,109.43,110.73,108.85,109.72,13467.0
2013-07-17,107.88,109.58,107.31,108.86,43987.0
2013-07-16,107.88,107.88,106.0,107.43,52681.0
2013-07-15,105.93,108.25,105.52,107.88,55788.0
2013-07-12,105.98,107.87,105.1,105.45,30348.0
2013-07-11,105.49,105.55,104.27,105.55,9403.0
2013-07-10,106.06,106.06,104.03,105.18,39064.0
2013-07-09,106.17,108.0,105.18,105.42,13840.0
2013-07-08,105.57,106.69,105.26,106.07,21760.0
2013-07-05,102.01,105.01,100.4,104.54,33242.0
2013-07-03,101.13,101.8,100.99,101.26,5355.0
2013-07-02,102.55,103.53,101.04,101.83,26751.0
2013-07-01,99.77,102.89,99.77,102.7,45784.0
2013-06-28,99.79,101.55,99.3,99.47,50699.0
2013-06-27,97.09,100.78,97.09,100.18,32439.0
2013-06-26,96.33,97.11,95.48,96.86,47251.0
2013-06-25,94.98,97.15,94.16,95.7,53069.0
2013-06-24,96.13,96.13,91.14,94.26,45710.0
2013-06-21,98.71,98.9,95.33,95.79,51102.0
2013-06-20,98.1,98.54,96.66,98.08,34876.0
2013-06-19,99.41,99.41,98.0,98.11,61588.0
2013-06-18,99.0,99.78,98.13,98.98,12106.0
2013-06-17,100.07,100.07,98.04,98.58,16085.0
2013-06-14,100.86,100.86,99.75,100.05,18463.0
2013-06-13,100.37,101.41,99.11,100.55,22507.0
2013-06-12,100.11,100.16,98.9,99.9,16504.0
2013-06-11,98.28,100.27,98.28,100.0,9152.0
2013-06-10,99.2,99.87,98.31,99.23,10159.0
2013-06-07,97.44,99.13,97.44,98.6,14217.0
2013-06-06,96.85,97.17,95.5,97.17,11056.0
2013-06-05,98.99,98.99,96.17,96.4,32414.0
2013-06-04,98.79,99.48,98.58,99.02,41913.0
2013-06-03,99.41,100.38,98.34,98.86,26921.0
2013-05-31,100.25,101.18,98.28,99.88,28464.0
2013-05-30,100.85,101.35,100.15,100.92,21333.0
2013-05-29,100.01,101.24,99.92,100.44,43652.0
2013-05-28,99.38,100.58,99.38,100.51,4558.0
2013-05-24,98.81,98.81,98.53,98.7,1217.0
2013-05-23,98.84,99.39,98.52,99.39,7708.0
2013-05-22,98.75,99.4,98.34,99.4,14874.0
2013-05-21,98.95,99.3,98.46,98.73,5028.0
2013-05-20,98.28,99.12,98.28,98.55,3863.0
2013-05-17,99.15,99.48,98.46,98.48,9416.0
2013-05-16,98.54,99.36,98.48,98.7,7345.0
2013-05-15,98.29,99.47,98.29,98.61,14164.0
2013-05-14,97.7,98.51,96.95,98.51,5309.0
2013-05-13,95.71,98.0,95.7,97.95,6352.0
2013-05-10,97.6,97.93,97.17,97.75,2898.0
2013-05-09,98.58,98.9,97.11,97.74,8905.0
2013-05-08,98.9,99.0,97.81,99.0,7693.0
2013-05-07,98.77,99.4,98.13,98.9,6588.0
2013-05-06,98.4,99.2,97.85,98.02,14078.0
2013-05-03,97.53,99.0,97.53,98.2,15732.0
2013-05-02,95.4,97.12,95.29,97.12,17892.0
2013-05-01,94.0,95.62,93.63,94.93,33416.0
2013-04-30,91.41,94.03,91.41,94.03,12593.0
2013-04-29,91.54,92.76,91.37,91.37,7562.0
2013-04-26,91.46,92.52,90.9,91.24,19408.0
2013-04-25,89.33,92.18,88.99,92.0,19620.0
2013-04-24,87.32,89.2,86.0,88.61,13193.0
2013-04-23,86.0,87.3,86.0,87.11,23994.0
2013-04-22,87.1,87.32,86.58,86.95,14926.0
2013-04-19,88.42,88.75,87.03,87.24,12864.0
2013-04-18,89.8,90.01,87.75,87.75,17927.0
2013-04-17,90.3,91.32,88.46,89.21,38557.0
2013-04-16,87.59,90.5,86.85,90.3,39223.0
2013-04-15,87.68,88.73,86.0,86.71,15489.0
2013-04-12,87.59,89.02,87.22,88.1,21180.0
2013-04-11,88.3,89.02,86.86,88.21,23240.0
2013-04-10,86.82,88.52,86.82,87.82,18853.0
2013-04-09,87.33,87.35,86.13,86.89,16281.0
2013-04-08,87.19,87.34,86.54,87.1,8880.0

