Date,Open,High,Low,Close,Volume
2014-04-04,61.53,61.53,58.06,58.13,219649.0
2014-04-03,60.8,61.72,60.16,60.97,187476.0
2014-04-02,60.0,61.0,59.45,60.67,227604.0
2014-04-01,59.51,59.99,58.61,59.85,220872.0
2014-03-31,58.8,59.75,58.1,59.24,207704.0
2014-03-28,57.85,58.78,57.8,58.57,196266.0
2014-03-27,57.29,58.43,56.61,58.03,204789.0
2014-03-26,57.99,58.18,57.16,57.23,193960.0
2014-03-25,57.35,57.43,56.48,57.36,240777.0
2014-03-24,56.75,57.91,56.38,57.08,256805.0
2014-03-21,56.96,57.59,56.07,56.79,371434.0
2014-03-20,55.94,56.92,55.41,56.55,158411.0
2014-03-19,57.42,57.43,55.63,56.16,166970.0
2014-03-18,57.27,58.04,56.72,57.65,142265.0
2014-03-17,57.75,58.31,57.12,57.29,220162.0
2014-03-14,55.46,57.73,55.46,57.61,263140.0
2014-03-13,56.93,57.0,55.01,55.45,198501.0
2014-03-12,55.47,56.78,55.0,56.68,136586.0
2014-03-11,57.15,57.15,55.49,55.67,235558.0
2014-03-10,58.23,58.26,56.95,57.25,185007.0
2014-03-07,57.75,58.84,57.29,58.18,234085.0
2014-03-06,57.28,57.74,56.98,57.63,169068.0
2014-03-05,57.45,57.57,56.6,57.08,152564.0
2014-03-04,57.15,57.98,56.96,57.71,357393.0
2014-03-03,54.47,56.5,54.43,56.31,257235.0
2014-02-28,54.61,55.68,54.21,54.84,184324.0
2014-02-27,54.51,54.89,54.04,54.47,198269.0
2014-02-26,54.22,55.0,53.62,54.69,223250.0
2014-02-25,54.23,54.45,53.73,54.03,146292.0
2014-02-24,54.27,54.8,53.56,54.17,209264.0
2014-02-21,54.2,54.24,53.26,53.98,224668.0
2014-02-20,53.74,54.7,53.49,53.92,195649.0
2014-02-19,54.22,54.59,52.25,53.49,267076.0
2014-02-18,54.57,54.83,53.87,54.15,328916.0
2014-02-14,53.83,55.13,53.59,54.25,299280.0
2014-02-13,52.13,54.07,51.23,53.94,437062.0
2014-02-12,53.31,54.65,50.83,52.41,1095774.0
2014-02-11,57.09,57.99,56.69,57.46,332280.0
2014-02-10,56.09,57.36,55.44,56.91,365572.0

