Date,Open,High,Low,Close,Volume
2014-04-04,78.13,78.13,75.36,75.63,1195331.0
2014-04-03,77.59,78.06,77.28,77.45,424092.0
2014-04-02,77.77,78.06,77.2,77.66,499335.0
2014-04-01,77.27,77.8,76.95,77.74,399302.0
2014-03-31,76.65,77.19,75.99,77.02,887165.0
2014-03-28,75.96,76.91,75.3,76.13,601782.0
2014-03-27,76.1,76.1,74.2,75.69,811727.0
2014-03-26,74.42,75.08,73.96,74.0,788498.0
2014-03-25,74.15,74.91,73.84,74.33,1008873.0
2014-03-24,73.82,74.47,73.2,73.92,908924.0
2014-03-21,74.9,74.9,73.1,73.46,840550.0
2014-03-20,72.95,74.72,72.1,73.89,763767.0
2014-03-19,75.75,75.83,72.59,73.65,1022913.0
2014-03-18,75.61,76.19,75.14,75.83,841539.0
2014-03-17,76.39,77.13,74.62,75.69,998557.0
2014-03-14,78.33,78.45,75.71,75.85,739545.0
2014-03-13,81.64,82.78,77.93,78.3,574640.0
2014-03-12,81.45,81.94,80.7,81.19,382287.0
2014-03-11,83.13,83.42,81.49,81.86,317604.0
2014-03-10,83.25,83.52,82.83,82.99,315641.0
2014-03-07,83.88,83.88,82.78,83.3,544854.0
2014-03-06,83.79,83.83,83.08,83.38,388011.0
2014-03-05,83.42,83.84,83.18,83.4,290981.0
2014-03-04,83.0,83.88,82.76,83.63,511889.0
2014-03-03,82.83,83.26,81.84,82.39,319101.0
2014-02-28,82.97,84.25,82.45,83.52,450941.0
2014-02-27,84.02,84.28,80.07,83.2,643810.0
2014-02-26,84.1,84.89,83.79,84.47,404261.0
2014-02-25,84.4,84.78,83.38,83.7,219932.0
2014-02-24,82.77,85.06,82.53,84.07,446989.0
2014-02-21,83.23,83.25,82.29,82.37,306790.0
2014-02-20,82.57,83.18,81.42,83.11,320616.0
2014-02-19,82.63,83.4,82.4,82.46,202512.0
2014-02-18,82.24,83.12,81.91,83.07,294951.0
2014-02-14,81.78,82.6,81.27,81.94,259649.0
2014-02-13,80.22,82.13,80.1,82.06,289980.0
2014-02-12,81.09,81.54,80.16,80.94,395193.0
2014-02-11,80.5,81.95,80.17,80.82,353828.0
2014-02-10,80.86,81.05,80.14,80.42,480868.0

