Date,Open,High,Low,Close,Volume
2014-04-04,35.73,35.73,34.86,34.97,519991.0
2014-04-03,35.83,35.83,35.0,35.49,271167.0
2014-04-02,35.35,35.84,35.05,35.74,195807.0
2014-04-01,35.2,35.73,34.75,35.42,204776.0
2014-03-31,35.01,35.25,34.88,35.08,216720.0
2014-03-28,34.87,35.81,34.5,34.92,134108.0
2014-03-27,35.1,35.1,34.47,34.7,235296.0
2014-03-26,35.63,35.63,34.78,35.0,179609.0
2014-03-25,36.06,36.31,35.4,35.63,144282.0
2014-03-24,36.05,36.35,35.71,35.95,168045.0
2014-03-21,35.31,36.19,35.31,36.04,192665.0
2014-03-20,35.25,35.64,35.02,35.28,80794.0
2014-03-19,34.74,35.41,34.51,35.34,114035.0
2014-03-18,34.23,35.1,34.05,34.88,105398.0
2014-03-17,33.96,34.56,33.5,34.21,206003.0
2014-03-14,33.82,34.29,33.47,33.88,96365.0
2014-03-13,34.98,34.98,33.88,33.95,208345.0
2014-03-12,35.9,36.06,34.77,34.96,193646.0
2014-03-11,36.98,37.37,35.62,36.0,147138.0
2014-03-10,36.59,37.11,36.25,36.85,121279.0
2014-03-07,37.22,37.43,36.53,36.69,232398.0
2014-03-06,37.3,37.47,36.58,37.0,322629.0
2014-03-05,37.32,37.6,37.0,37.34,218005.0
2014-03-04,36.4,37.69,36.13,37.29,320034.0
2014-03-03,35.47,36.16,34.85,36.13,440311.0
2014-02-28,39.14,39.14,35.28,35.42,1020556.0
2014-02-27,45.04,46.44,44.15,46.25,96801.0
2014-02-26,45.56,45.57,44.71,45.19,89532.0
2014-02-25,44.5,45.45,44.12,45.36,126379.0
2014-02-24,44.9,45.74,44.27,44.43,144957.0
2014-02-21,43.48,44.99,43.48,44.9,136746.0
2014-02-20,42.56,43.6,42.02,43.08,119022.0
2014-02-19,43.24,43.75,42.49,42.64,103404.0
2014-02-18,43.14,43.96,42.83,43.4,109942.0
2014-02-14,43.21,43.4,42.45,43.24,32994.0
2014-02-13,42.4,43.22,41.99,43.15,51735.0
2014-02-12,42.61,43.11,42.18,42.61,72598.0
2014-02-11,41.93,42.72,41.93,42.51,85475.0
2014-02-10,42.22,42.76,41.55,41.8,59925.0

