Date,Open,High,Low,Close,Volume
2014-04-04,28.32,28.53,27.12,27.32,1636937.0
2014-04-03,28.21,28.89,28.09,28.17,1606853.0
2014-04-02,28.57,28.87,28.2,28.35,1169955.0
2014-04-01,28.35,28.82,28.15,28.38,1525266.0
2014-03-31,27.21,28.61,27.21,28.18,1828944.0
2014-03-28,27.47,27.92,27.04,27.09,1448424.0
2014-03-27,28.23,28.4,27.27,27.58,1848138.0
2014-03-26,28.04,29.0,28.04,28.25,2199985.0
2014-03-25,28.38,29.3,27.68,28.1,2457486.0
2014-03-24,28.99,29.49,26.69,28.08,4371766.0
2014-03-21,29.29,30.64,29.03,29.7,4426225.0
2014-03-20,29.07,29.45,28.65,29.01,1128148.0
2014-03-19,29.2,29.41,28.68,29.01,962021.0
2014-03-18,28.42,29.27,28.42,29.1,1726008.0
2014-03-17,28.66,29.0,28.04,28.42,1857764.0
2014-03-14,28.53,28.81,27.98,28.34,1804508.0
2014-03-13,29.18,29.73,28.3,28.63,1555930.0
2014-03-12,28.54,29.26,28.2,29.09,1538471.0
2014-03-11,28.85,29.16,28.54,28.59,1254923.0
2014-03-10,29.03,29.32,28.4,28.82,1459851.0
2014-03-07,29.25,29.39,28.76,29.08,898687.0
2014-03-06,29.25,29.6,28.86,29.13,1305993.0
2014-03-05,29.33,29.59,29.03,29.17,1421653.0
2014-03-04,28.75,29.73,28.27,29.19,3066375.0
2014-03-03,28.33,28.46,27.37,28.3,2642325.0
2014-02-28,29.18,29.3,28.42,28.7,1433366.0
2014-02-27,29.22,29.34,28.8,29.2,1086713.0
2014-02-26,29.21,29.59,29.05,29.18,1419519.0
2014-02-25,29.67,29.7,28.88,29.08,1899381.0
2014-02-24,29.9,30.07,29.28,29.69,2076767.0
2014-02-21,31.17,31.27,29.7,29.73,4075152.0
2014-02-20,28.89,31.42,28.74,31.34,6167143.0
2014-02-19,28.28,28.45,27.41,27.94,2721836.0
2014-02-18,28.18,28.68,28.0,28.45,2224101.0
2014-02-14,28.9,28.94,27.86,27.87,2569660.0
2014-02-13,27.01,28.15,26.77,27.88,6170108.0
2014-02-12,26.81,26.85,25.44,25.9,3732474.0
2014-02-11,26.03,26.36,25.83,26.18,874910.0
2014-02-10,25.93,26.16,25.66,25.92,820021.0

