Date,Open,High,Low,Close,Volume
2014-04-07,19.44,19.93,18.88,19.1,1756668.0
2014-04-04,19.29,19.98,19.28,19.59,4342385.0
2014-04-03,19.29,19.67,18.74,18.79,1306103.0
2014-04-02,19.4,19.69,19.17,19.21,928209.0
2014-04-01,18.88,19.78,18.88,19.43,1730478.0
2014-03-31,18.84,19.13,18.55,18.75,2826875.0
2014-03-28,19.15,19.29,18.41,18.76,1468390.0
2014-03-27,19.38,19.7,18.82,18.99,1841422.0
2014-03-26,20.1,20.46,19.42,19.42,1673853.0
2014-03-25,19.71,20.25,19.36,19.91,1751931.0
2014-03-24,20.18,20.39,19.2,19.48,1785591.0
2014-03-21,20.04,20.43,19.79,20.08,2018136.0
2014-03-20,19.51,20.16,19.42,19.91,1073780.0
2014-03-19,19.85,20.11,19.51,19.62,1647682.0
2014-03-18,19.71,20.17,19.54,20.0,1806954.0
2014-03-17,20.01,20.15,19.29,19.78,2078103.0
2014-03-14,19.82,20.33,19.82,19.95,1682580.0
2014-03-13,21.55,21.58,19.79,19.99,4492671.0
2014-03-12,21.09,21.77,21.0,21.44,1522092.0
2014-03-11,21.55,21.79,20.86,21.11,3069146.0
2014-03-10,21.85,22.1,21.46,22.05,2226172.0
2014-03-07,21.69,21.86,21.41,21.83,1825414.0
2014-03-06,21.19,21.33,21.01,21.3,1366268.0
2014-03-05,21.04,21.46,20.9,21.18,1071703.0
2014-03-04,20.56,21.38,20.5,21.19,2465720.0
2014-03-03,20.2,20.51,19.8,20.43,1263775.0
2014-02-28,20.92,20.99,20.26,20.51,1407806.0
2014-02-27,20.75,21.0,20.56,20.89,1109476.0
2014-02-26,20.91,21.05,20.49,20.8,1875548.0
2014-02-25,21.01,21.31,20.76,20.86,1636300.0
2014-02-24,20.69,21.17,20.5,21.06,2581049.0
2014-02-21,22.99,23.58,20.12,20.72,10425487.0
2014-02-20,19.95,21.16,19.76,21.08,4113257.0
2014-02-19,19.96,20.18,19.4,19.88,1923108.0
2014-02-18,19.96,20.4,19.68,20.08,1396925.0
2014-02-14,19.65,19.94,19.4,19.73,1215676.0
2014-02-13,19.15,19.68,19.02,19.64,1216665.0
2014-02-12,19.15,19.57,19.15,19.53,1930895.0
2014-02-11,20.04,20.17,18.91,19.16,2940868.0
2014-02-10,19.82,20.3,19.66,20.13,1672127.0
2014-02-07,19.67,20.0,19.52,19.92,882268.0
2014-02-06,19.3,19.94,19.26,19.5,765018.0
2014-02-05,19.68,19.73,18.9,19.24,1547392.0
2014-02-04,19.62,20.44,19.6,19.89,2247125.0
2014-02-03,19.88,20.04,18.84,19.22,2509390.0
2014-01-31,20.13,20.25,19.63,19.71,1892467.0
2014-01-30,20.59,20.68,20.31,20.55,908539.0
2014-01-29,20.31,20.87,20.07,20.33,1169593.0
2014-01-28,20.93,21.11,20.49,20.54,2249248.0
2014-01-27,20.49,21.03,20.22,20.85,2411544.0
2014-01-24,20.7,20.81,20.39,20.42,1473972.0
2014-01-23,21.21,21.33,20.82,21.0,1279365.0
2014-01-22,21.12,21.38,20.92,21.26,1379731.0
2014-01-21,21.32,21.74,21.04,21.04,2558023.0
2014-01-17,20.67,21.5,20.64,21.15,3786845.0
2014-01-16,20.45,20.66,19.94,20.6,3376301.0
2014-01-15,19.39,20.61,19.25,20.39,3798837.0
2014-01-14,19.09,19.39,18.9,19.31,1877426.0
2014-01-13,18.98,19.35,18.97,19.0,3486240.0
2014-01-10,18.81,19.28,18.63,19.03,1553544.0
2014-01-09,18.88,19.04,18.53,18.75,2196161.0
2014-01-08,18.11,19.05,18.11,18.85,3758522.0
2014-01-07,18.16,18.31,18.06,18.18,2298951.0
2014-01-06,17.83,18.41,17.83,18.11,1983335.0
2014-01-03,17.33,17.77,17.23,17.72,1203156.0
2014-01-02,17.76,17.8,17.2,17.31,1443397.0
2013-12-31,17.77,17.94,17.67,17.9,897461.0
2013-12-30,17.55,17.97,17.47,17.77,1274299.0
2013-12-27,17.48,17.65,17.25,17.51,919446.0
2013-12-26,17.38,17.58,17.33,17.39,1197100.0
2013-12-24,17.45,17.54,17.33,17.43,580989.0
2013-12-23,17.83,17.89,17.46,17.46,2366749.0
2013-12-20,17.25,17.9,17.07,17.74,3074168.0
2013-12-19,17.17,17.6,17.08,17.27,1664351.0
2013-12-18,17.21,17.32,16.81,17.27,2011107.0
2013-12-17,16.83,17.32,16.63,17.26,2607476.0
2013-12-16,16.33,16.88,16.22,16.85,1983109.0
2013-12-13,16.21,16.39,16.0,16.13,1748892.0
2013-12-12,16.42,16.52,15.97,16.16,2446156.0
2013-12-11,16.79,16.91,16.32,16.4,2542262.0
2013-12-10,17.35,17.62,16.76,16.81,2289508.0
2013-12-09,17.47,17.64,17.32,17.5,1451905.0
2013-12-06,18.04,18.1,17.35,17.48,2139192.0
2013-12-05,17.87,18.04,17.75,17.89,1292335.0
2013-12-04,17.78,18.04,17.51,17.93,1755323.0
2013-12-03,17.51,17.84,17.51,17.81,1182978.0
2013-12-02,17.83,17.92,17.29,17.51,1809072.0
2013-11-29,17.85,18.0,17.55,17.84,662731.0
2013-11-27,17.53,17.76,17.27,17.72,1556411.0
2013-11-26,17.74,17.85,17.37,17.55,2051054.0
2013-11-25,18.39,18.48,17.7,17.8,3079449.0
2013-11-22,19.2,19.4,18.01,18.26,10655327.0
2013-11-21,16.53,17.21,16.41,17.2,4571333.0
2013-11-20,16.89,17.02,16.24,16.43,3162761.0
2013-11-19,16.92,17.06,16.41,16.88,3262884.0
2013-11-18,18.34,18.35,16.62,16.75,5901831.0
2013-11-15,18.34,18.72,18.32,18.58,1387314.0
2013-11-14,18.53,18.65,17.96,18.36,2263344.0
2013-11-13,18.6,18.99,18.57,18.8,1269923.0
2013-11-12,18.38,18.75,18.38,18.67,946949.0
2013-11-11,18.07,18.55,17.91,18.43,1215502.0
2013-11-08,17.61,18.08,17.35,18.05,2192470.0
2013-11-07,18.7,18.86,17.58,17.64,2539978.0
2013-11-06,18.72,19.01,18.57,18.64,1010934.0
2013-11-05,18.53,18.7,18.26,18.61,1239188.0
2013-11-04,18.55,18.79,18.46,18.57,778296.0
2013-11-01,18.72,18.94,18.45,18.52,994043.0
2013-10-31,18.66,18.93,18.35,18.75,1571274.0
