Date,Open,High,Low,Close,Volume
2014-04-04,69.47,70.46,67.88,69.09,55317.0
2014-04-03,70.5,70.5,67.91,68.76,20822.0
2014-04-02,67.75,70.37,66.75,70.08,46077.0
2014-04-01,66.77,68.0,66.72,67.86,26580.0
2014-03-31,65.86,67.67,65.8,67.17,21159.0
2014-03-28,65.75,67.52,65.25,65.76,17239.0
2014-03-27,65.21,66.4,65.12,65.81,28381.0
2014-03-26,67.98,67.98,65.34,65.37,20787.0
2014-03-25,65.8,68.03,65.8,67.67,16211.0
2014-03-24,68.53,68.59,67.04,67.37,18362.0
2014-03-21,66.66,68.9,66.66,68.29,49811.0
2014-03-20,67.76,67.76,65.69,66.66,16680.0
2014-03-19,67.2,67.42,66.35,66.94,29544.0
2014-03-18,66.98,67.66,66.49,67.37,18501.0
2014-03-17,66.22,66.98,66.12,66.49,18496.0
2014-03-14,65.98,66.34,65.41,66.15,9852.0
2014-03-13,66.76,67.0,65.56,66.0,16653.0
2014-03-12,66.54,67.92,66.18,66.71,22057.0
2014-03-11,67.95,68.5,65.75,66.83,26499.0
2014-03-10,67.49,68.09,67.0,67.95,17368.0
2014-03-07,68.43,68.65,67.21,67.79,18286.0
2014-03-06,67.76,68.15,67.22,67.94,20737.0
2014-03-05,68.45,68.86,67.57,67.91,19116.0
2014-03-04,66.92,69.42,66.56,68.44,54724.0
2014-03-03,65.29,66.6,65.02,66.01,23614.0
2014-02-28,66.13,66.44,65.17,65.75,42815.0
2014-02-27,65.83,66.18,65.01,65.86,34412.0
2014-02-26,65.97,67.43,65.76,66.28,25232.0
2014-02-25,65.4,66.42,65.4,66.1,24592.0
2014-02-24,65.72,66.84,65.72,66.23,16515.0
2014-02-21,66.33,66.56,65.24,65.88,32280.0
2014-02-20,62.55,66.11,62.5,65.88,13166.0
2014-02-19,65.69,65.95,64.58,64.85,17472.0
2014-02-18,65.89,66.67,65.42,65.65,29136.0
2014-02-14,65.18,65.94,64.24,65.6,47458.0
2014-02-13,64.11,65.95,64.11,65.18,34974.0
2014-02-12,65.33,66.07,64.36,64.97,33286.0
2014-02-11,64.44,66.16,64.1,65.39,48307.0
2014-02-10,64.31,65.08,63.13,64.48,36948.0

