Date,Open,High,Low,Close,Volume
2014-04-07,42.97,43.35,42.33,42.89,196184.0
2014-04-04,43.76,43.93,42.44,42.95,100624.0
2014-04-03,43.51,43.69,42.99,43.51,101992.0
2014-04-02,43.47,43.74,43.09,43.49,404562.0
2014-04-01,43.82,44.27,43.13,43.48,160216.0
2014-03-31,43.77,44.25,43.15,43.91,128530.0
2014-03-28,43.28,44.39,42.92,43.56,99422.0
2014-03-27,43.14,43.34,42.88,43.21,186316.0
2014-03-26,44.17,44.24,43.13,43.16,170156.0
2014-03-25,45.35,46.0,43.85,43.99,169491.0
2014-03-24,45.08,45.39,44.85,45.16,190481.0
2014-03-21,45.0,45.23,44.93,45.07,196824.0
2014-03-20,43.98,44.93,43.98,44.84,100329.0
2014-03-19,43.5,44.06,43.4,43.93,71764.0
2014-03-18,43.62,43.94,43.08,43.47,178450.0
2014-03-17,44.0,44.4,43.24,43.58,126846.0
2014-03-14,43.2,44.25,43.2,43.72,87851.0
2014-03-13,44.09,44.26,43.15,43.41,84269.0
2014-03-12,42.77,43.87,42.76,43.79,192015.0
2014-03-11,44.3,44.41,42.84,43.1,176802.0
2014-03-10,42.5,44.46,42.11,44.1,259484.0
2014-03-07,41.5,41.68,41.14,41.34,58954.0
2014-03-06,41.31,41.39,40.92,41.21,57127.0
2014-03-05,41.0,41.26,40.9,41.17,107324.0
2014-03-04,40.0,41.22,39.91,41.08,147123.0
2014-03-03,39.94,40.25,39.23,39.43,103858.0
2014-02-28,40.55,40.76,40.02,40.22,218203.0
2014-02-27,40.82,41.13,40.33,40.52,95392.0
2014-02-26,38.62,41.47,38.62,40.81,193022.0
2014-02-25,37.32,40.27,37.32,38.4,236103.0
2014-02-24,36.7,37.25,36.64,36.86,165351.0
2014-02-21,37.04,37.36,36.49,36.67,151079.0
2014-02-20,36.2,37.12,36.2,36.82,43745.0
2014-02-19,36.98,37.04,36.16,36.22,57078.0
2014-02-18,37.11,37.62,36.55,37.0,88222.0
2014-02-14,36.91,37.15,36.61,36.96,64817.0
2014-02-13,36.31,37.28,36.31,36.89,92594.0
2014-02-12,35.97,36.88,35.72,36.6,98608.0
2014-02-11,36.04,36.7,35.59,36.05,132280.0
2014-02-10,35.79,36.36,35.48,36.21,116075.0
2014-02-07,35.7,35.88,35.08,35.77,54247.0
2014-02-06,35.72,36.13,35.31,35.62,73606.0
2014-02-05,36.13,36.13,35.07,35.51,100666.0
2014-02-04,36.17,37.24,35.79,36.25,150007.0
2014-02-03,37.27,37.27,35.49,36.06,75038.0
2014-01-31,36.95,37.69,36.95,37.2,64826.0
2014-01-30,37.5,37.94,37.21,37.74,80782.0
2014-01-29,37.43,37.8,36.84,37.34,48626.0
2014-01-28,37.32,37.86,37.29,37.82,101705.0
2014-01-27,37.84,38.06,36.92,37.17,49582.0
2014-01-24,38.55,38.61,36.71,37.54,101986.0
2014-01-23,38.9,39.34,38.51,38.89,60550.0
2014-01-22,39.66,39.66,38.72,38.99,91996.0
2014-01-21,40.05,40.37,39.09,39.65,93660.0
2014-01-17,40.0,40.22,39.56,39.91,119307.0
2014-01-16,39.25,40.3,39.1,40.01,117023.0
2014-01-15,37.87,39.49,37.87,39.43,127138.0
2014-01-14,37.11,38.0,36.43,37.72,71063.0
2014-01-13,37.18,37.23,36.52,37.03,71040.0
2014-01-10,37.24,37.43,36.91,37.33,52247.0
2014-01-09,37.18,37.47,36.49,37.23,55131.0
2014-01-08,36.96,37.11,36.55,37.04,89755.0
2014-01-07,36.62,37.38,36.62,36.91,71264.0
2014-01-06,37.23,37.23,36.26,36.39,67555.0
2014-01-03,37.32,38.05,36.83,37.16,57566.0
2014-01-02,38.61,38.61,37.1,37.33,82527.0
2013-12-31,37.83,39.01,37.49,38.63,102270.0
2013-12-30,37.66,38.1,37.48,37.82,38183.0
2013-12-27,38.04,38.04,37.36,37.63,93282.0
2013-12-26,37.94,38.35,37.52,37.89,71596.0
2013-12-24,37.93,38.36,37.63,38.05,30989.0
2013-12-23,37.63,38.0,37.48,37.87,56996.0
2013-12-20,37.04,37.85,36.74,37.57,231828.0
2013-12-19,36.82,37.0,36.24,36.86,56492.0
2013-12-18,36.8,37.1,36.07,36.98,63172.0
2013-12-17,36.6,36.84,36.28,36.78,35840.0
2013-12-16,36.21,37.11,36.16,36.85,45318.0
2013-12-13,35.83,36.64,35.73,36.11,68745.0
2013-12-12,35.51,35.96,35.21,35.79,58537.0
2013-12-11,35.96,36.13,35.09,35.52,51913.0
2013-12-10,36.44,36.87,35.82,36.06,58040.0
2013-12-09,36.38,36.98,36.11,36.48,44411.0
2013-12-06,36.18,36.91,36.07,36.36,54951.0
2013-12-05,35.93,36.71,35.59,35.73,32089.0
2013-12-04,36.1,36.79,35.34,35.96,57374.0
2013-12-03,36.12,36.68,35.92,36.17,69475.0
2013-12-02,36.48,36.74,35.94,36.27,74248.0
2013-11-29,36.53,36.83,36.32,36.6,24697.0
2013-11-27,35.81,36.58,35.81,36.25,41253.0
2013-11-26,34.94,36.13,34.82,35.77,80549.0
2013-11-25,34.63,35.28,34.6,34.73,40625.0
2013-11-22,34.26,34.87,34.14,34.47,45116.0
2013-11-21,33.87,34.4,33.53,34.14,42176.0
2013-11-20,33.88,34.05,33.38,33.72,53341.0
2013-11-19,34.07,34.2,33.43,33.63,38214.0
2013-11-18,33.95,34.7,33.8,34.04,65977.0
2013-11-15,33.93,34.29,33.56,33.89,67479.0
2013-11-14,33.95,34.63,33.77,33.9,37913.0
2013-11-13,33.65,34.17,33.51,34.05,53872.0
2013-11-12,33.53,33.91,33.23,33.71,64471.0
2013-11-11,34.02,34.04,33.31,33.57,90963.0
2013-11-08,33.28,34.05,33.28,33.97,70942.0
2013-11-07,33.8,33.98,33.23,33.25,44597.0
2013-11-06,34.28,34.28,33.65,33.79,25259.0
2013-11-05,33.94,34.4,33.75,34.05,62140.0
2013-11-04,33.85,34.42,33.38,34.21,61246.0
2013-11-01,33.72,33.89,33.24,33.59,111300.0
2013-10-31,33.82,34.41,33.48,33.81,82774.0
2013-10-30,33.79,34.0,33.24,33.72,97419.0
2013-10-29,34.1,34.1,33.5,33.71,45445.0
2013-10-28,34.13,34.68,33.89,33.98,41289.0
2013-10-25,34.64,34.87,33.91,34.11,68350.0
2013-10-24,34.41,34.96,34.4,34.49,53361.0
2013-10-23,34.89,35.53,34.14,34.41,128580.0
2013-10-22,35.98,35.98,33.84,35.29,245663.0
2013-10-21,36.74,37.16,36.67,36.74,60049.0
2013-10-18,36.49,37.05,35.75,36.75,105657.0
2013-10-17,35.91,36.15,35.58,36.13,77276.0
2013-10-16,36.29,36.48,35.86,36.02,52810.0
2013-10-15,36.53,36.74,35.94,35.97,42754.0
2013-10-14,36.27,36.56,35.67,36.56,36369.0
2013-10-11,35.08,36.13,34.95,36.11,42775.0
2013-10-10,35.22,35.79,34.9,35.28,39290.0
2013-10-09,34.84,34.96,34.47,34.67,49107.0
2013-10-08,34.97,35.26,34.71,34.78,46759.0
2013-10-07,35.28,35.41,34.97,35.04,28746.0
2013-10-04,35.03,35.92,34.6,35.64,29321.0
2013-10-03,35.71,35.81,34.62,35.12,42875.0
2013-10-02,35.85,35.93,35.56,35.74,41586.0
2013-10-01,35.84,36.36,35.84,36.12,87499.0
2013-09-30,35.59,36.36,35.59,35.96,59375.0
2013-09-27,35.89,36.18,35.86,36.0,20695.0
2013-09-26,36.41,36.41,35.87,36.24,27144.0
2013-09-25,36.5,36.78,36.12,36.16,32901.0
2013-09-24,36.33,36.75,36.14,36.4,36839.0
2013-09-23,36.23,36.86,36.19,36.26,49865.0
2013-09-20,35.92,36.54,35.92,36.36,348995.0
2013-09-19,36.07,36.08,35.82,35.87,36702.0
2013-09-18,35.16,36.22,35.1,35.97,59312.0
2013-09-17,35.36,35.42,34.99,35.07,90393.0
2013-09-16,35.59,35.59,35.14,35.23,85845.0
