Date,Open,High,Low,Close,Volume
2014-04-07,147.29,147.29,141.64,143.69,536759.0
2014-04-04,165.74,165.74,145.62,147.16,1112847.0
2014-04-03,166.32,168.18,162.28,165.38,819807.0
2014-04-02,163.78,166.47,160.04,166.19,579564.0
2014-04-01,161.59,165.19,158.64,162.56,560265.0
2014-03-31,161.0,164.48,158.52,160.24,373599.0
2014-03-28,161.22,164.12,158.36,159.39,523534.0
2014-03-27,161.68,163.0,157.01,160.42,715273.0
2014-03-26,165.05,165.05,159.64,161.47,609028.0
2014-03-25,166.91,171.0,161.01,164.31,727730.0
2014-03-24,171.66,172.88,163.0,165.41,686937.0
2014-03-21,179.0,179.41,170.55,170.88,487058.0
2014-03-20,177.63,178.81,174.69,178.42,413685.0
2014-03-19,182.77,183.94,175.73,178.33,466597.0
2014-03-18,175.67,183.74,174.5,183.47,552179.0
2014-03-17,177.35,180.5,174.64,174.91,476372.0
2014-03-14,177.08,181.35,175.34,175.5,330883.0
2014-03-13,181.55,184.02,177.23,178.22,470910.0
2014-03-12,178.36,181.49,178.0,179.74,529375.0
2014-03-11,183.8,184.32,178.08,178.92,420712.0
2014-03-10,180.45,185.0,179.43,183.04,552503.0
2014-03-07,191.95,193.29,184.22,185.16,744118.0
2014-03-06,195.91,196.28,190.98,191.0,501812.0
2014-03-05,202.77,203.56,191.58,195.07,702471.0
2014-03-04,196.13,206.19,195.33,204.41,551963.0
2014-03-03,191.37,195.43,188.66,195.05,560300.0
2014-02-28,200.0,203.28,192.29,193.87,790241.0
2014-02-27,202.49,204.45,199.94,200.96,670954.0
2014-02-26,200.66,206.7,200.0,202.59,939477.0
2014-02-25,201.99,202.36,195.87,201.28,670736.0
2014-02-24,196.17,202.67,196.17,198.6,532526.0
2014-02-21,197.25,201.33,194.57,195.04,664294.0
2014-02-20,191.58,197.02,189.18,196.27,598937.0
2014-02-19,192.4,194.78,189.61,191.67,597803.0
2014-02-18,198.13,198.39,191.18,193.51,923606.0
2014-02-14,186.9,189.72,185.02,189.01,635371.0
2014-02-13,184.04,186.97,180.71,186.69,626538.0
2014-02-12,181.85,184.82,179.36,181.18,754815.0
2014-02-11,176.17,182.57,175.66,182.5,1054803.0
2014-02-10,174.21,180.0,171.5,178.26,1522834.0
2014-02-07,156.57,177.79,156.57,173.93,3333294.0
2014-02-06,142.38,143.27,137.72,139.08,1174160.0
2014-02-05,141.14,142.58,138.84,141.51,614161.0
2014-02-04,140.39,143.61,138.31,141.43,801414.0
2014-02-03,147.33,148.49,138.86,140.04,940172.0
2014-01-31,142.95,148.55,142.72,147.43,705378.0
2014-01-30,141.51,148.45,139.54,145.29,923282.0
2014-01-29,139.25,142.53,138.95,139.43,472171.0
2014-01-28,139.62,142.57,138.35,140.89,514466.0
2014-01-27,140.27,141.84,137.61,139.49,763749.0
2014-01-24,139.69,141.39,138.4,140.01,504264.0
2014-01-23,139.8,141.64,138.13,140.79,422429.0
2014-01-22,139.57,143.83,139.55,140.27,578548.0
2014-01-21,140.25,140.95,138.35,139.95,269621.0
2014-01-17,137.86,140.71,136.01,139.34,432912.0
2014-01-16,135.12,138.63,134.33,138.53,323612.0
2014-01-15,136.48,136.98,133.52,134.76,503129.0
2014-01-14,132.18,136.11,130.16,135.55,272880.0
2014-01-13,135.56,136.91,130.1,131.25,387021.0
2014-01-10,135.23,136.03,131.83,135.68,220874.0
2014-01-09,135.0,135.71,131.8,135.11,259636.0
2014-01-08,133.11,134.99,132.2,134.89,239720.0
2014-01-07,131.2,134.24,129.32,133.09,268258.0
2014-01-06,133.43,134.57,128.43,130.0,464651.0
2014-01-03,131.77,133.68,130.97,133.02,332210.0
2014-01-02,133.83,134.4,130.52,131.55,238250.0
2013-12-31,133.56,136.5,132.15,134.5,482480.0
2013-12-30,132.78,134.78,132.29,133.3,182748.0
2013-12-27,134.27,134.98,130.33,132.94,302518.0
2013-12-26,133.78,134.75,131.74,133.83,211725.0
2013-12-24,134.6,134.89,131.81,133.53,181216.0
2013-12-23,132.95,134.96,132.39,134.51,390385.0
2013-12-20,128.29,134.31,128.29,132.53,1230765.0
2013-12-19,131.81,132.66,127.4,128.41,492887.0
2013-12-18,129.89,132.6,128.16,131.93,498472.0
2013-12-17,130.23,131.0,127.73,130.04,524960.0
2013-12-16,130.02,132.25,124.87,130.58,939876.0
2013-12-13,131.46,136.03,129.76,131.31,1286999.0
2013-12-12,128.5,133.12,122.7,126.6,3151387.0
2013-12-11,133.89,133.9,128.25,130.85,785637.0
2013-12-10,132.39,134.55,130.5,133.73,450057.0
2013-12-09,133.85,136.87,131.45,133.04,475242.0
2013-12-06,133.11,134.0,130.51,132.11,240004.0
2013-12-05,132.72,134.0,131.28,131.71,212433.0
2013-12-04,132.26,133.82,131.35,133.03,306199.0
2013-12-03,133.81,133.94,130.74,133.09,268864.0
2013-12-02,131.51,137.87,131.16,134.35,500169.0
2013-11-29,130.87,132.48,130.1,131.17,178633.0
2013-11-27,128.56,130.36,127.11,130.03,289286.0
2013-11-26,128.53,129.1,126.74,128.1,439732.0
2013-11-25,128.88,129.43,126.54,128.28,258330.0
2013-11-22,130.31,131.27,127.86,128.29,238242.0
2013-11-21,127.57,131.8,127.35,129.8,344798.0
2013-11-20,124.5,127.26,123.66,125.73,359248.0
2013-11-19,131.05,132.61,124.02,124.49,1207449.0
2013-11-18,133.45,135.64,130.1,130.73,326089.0
2013-11-15,131.17,134.31,130.07,133.44,346976.0
2013-11-14,133.82,134.02,130.54,131.44,183470.0
2013-11-13,132.4,134.25,131.42,134.19,161015.0
2013-11-12,132.52,133.94,131.24,133.13,176869.0
2013-11-11,133.42,134.65,131.64,132.58,192333.0
2013-11-08,129.62,134.23,128.48,133.67,534363.0
2013-11-07,141.77,142.37,129.32,129.69,1553817.0
2013-11-06,142.8,144.42,139.27,141.6,1040726.0
2013-11-05,138.72,142.79,137.17,142.15,478500.0
2013-11-04,137.5,140.2,136.13,138.84,353682.0
2013-11-01,133.15,138.22,132.99,137.16,609275.0
2013-10-31,134.72,135.55,132.59,133.51,584442.0
2013-10-30,136.96,138.6,134.42,134.72,460244.0
2013-10-29,138.45,139.57,135.95,136.89,488838.0
2013-10-28,140.24,140.24,137.74,138.02,499797.0
2013-10-25,142.75,143.93,139.24,140.6,582943.0
2013-10-24,141.3,144.19,140.64,142.75,612949.0
2013-10-23,137.37,141.86,137.04,141.76,398039.0
2013-10-22,137.9,141.15,136.02,138.87,814520.0
2013-10-21,133.94,141.38,133.1,140.13,1511126.0
2013-10-18,117.46,132.48,117.28,130.83,3345198.0
2013-10-17,107.03,108.66,104.66,105.46,682295.0
2013-10-16,107.92,108.79,106.78,107.17,421942.0
2013-10-15,109.41,109.47,106.38,107.21,276343.0
2013-10-14,109.32,110.59,108.78,109.87,254461.0
2013-10-11,109.79,109.91,108.38,109.49,225672.0
2013-10-10,107.93,110.39,107.3,110.18,265379.0
2013-10-09,109.05,109.51,106.17,107.0,501238.0
2013-10-08,112.05,112.47,108.38,108.87,345640.0
2013-10-07,111.0,112.8,110.65,111.71,222899.0
2013-10-04,111.77,113.94,111.64,111.68,208109.0
2013-10-03,112.55,113.8,109.9,111.98,346425.0
2013-10-02,110.16,113.3,109.6,112.59,250813.0
2013-10-01,108.86,111.27,108.16,111.26,263323.0
2013-09-30,108.08,109.4,107.01,108.58,280899.0
2013-09-27,106.53,109.42,106.26,109.07,355041.0
2013-09-26,106.38,107.61,105.36,107.38,234178.0
2013-09-25,107.88,108.31,104.76,106.04,390365.0
2013-09-24,110.63,111.56,107.42,108.08,730384.0
2013-09-23,112.94,114.33,111.68,113.77,271044.0
2013-09-20,114.34,114.78,112.45,113.51,464060.0
2013-09-19,116.77,116.98,113.83,114.11,307090.0
2013-09-18,115.22,117.72,114.76,116.27,295494.0
2013-09-17,113.82,116.0,113.39,115.66,227398.0
2013-09-16,113.8,114.59,112.53,114.15,218402.0
2013-09-13,113.0,113.28,111.88,112.97,131118.0
2013-09-12,112.47,114.32,112.23,112.84,136469.0
2013-09-11,112.35,113.55,111.45,112.39,222085.0
2013-09-10,110.44,112.91,108.88,112.68,252141.0
