Date,Open,High,Low,Close,Volume
2014-04-07,33.95,34.03,33.95,33.95,239312.0
2014-04-04,34.05,34.07,33.94,33.94,378352.0
2014-04-03,34.01,34.07,34.01,34.05,160978.0
2014-04-02,34.06,34.08,34.0,34.06,211486.0
2014-04-01,34.02,34.15,33.91,34.08,303652.0
2014-03-31,34.02,34.06,33.86,34.01,696688.0
2014-03-28,33.98,34.07,33.94,33.99,347814.0
2014-03-27,34.0,34.0,33.97,33.98,254854.0
2014-03-26,34.05,34.07,33.97,33.97,328815.0
2014-03-25,34.08,34.08,33.99,34.02,152758.0
2014-03-24,34.04,34.05,33.98,33.98,170859.0
2014-03-21,34.09,34.1,33.97,33.98,521974.0
2014-03-20,34.0,34.09,33.97,34.09,176448.0
2014-03-19,34.09,34.09,34.0,34.0,177186.0
2014-03-18,34.05,34.09,34.0,34.04,231900.0
2014-03-17,34.07,34.08,34.01,34.02,122076.0
2014-03-14,33.92,34.03,33.92,34.03,156062.0
2014-03-13,34.1,34.1,33.91,33.91,479861.0
2014-03-12,34.05,34.18,33.99,34.04,222243.0
2014-03-11,34.04,34.15,33.98,34.11,348213.0
2014-03-10,34.01,34.12,34.01,34.1,303114.0
2014-03-07,34.08,34.09,34.01,34.06,187282.0
2014-03-06,34.05,34.13,34.02,34.04,131639.0
2014-03-05,34.03,34.11,34.02,34.09,399583.0
2014-03-04,34.17,34.2,34.01,34.02,398479.0
2014-03-03,34.02,34.04,34.0,34.0,255616.0
2014-02-28,34.15,34.27,34.0,34.01,210718.0
2014-02-27,34.05,34.2,34.03,34.16,180286.0
2014-02-26,34.05,34.23,34.04,34.06,302246.0
2014-02-25,34.01,34.58,34.01,34.07,2020025.0
2014-02-24,34.0,34.04,33.9,33.91,179504.0
2014-02-21,33.97,34.09,33.97,34.0,299144.0
2014-02-20,34.07,34.07,33.97,34.01,303517.0
2014-02-19,33.94,34.18,33.86,34.15,681924.0
2014-02-18,33.88,33.96,33.85,33.88,137499.0
2014-02-14,34.05,34.05,33.86,33.88,608303.0
2014-02-13,33.9,34.07,33.79,34.01,475488.0
2014-02-12,33.98,34.0,33.85,33.99,806486.0
2014-02-11,33.82,33.97,33.8,33.93,1839795.0
2014-02-10,33.8,33.84,33.8,33.81,806624.0
2014-02-07,33.8,33.83,33.78,33.8,1998052.0
2014-02-06,33.77,33.84,33.77,33.8,2523528.0
2014-02-05,33.79,33.85,33.76,33.77,3597766.0
2014-02-04,33.76,33.84,33.75,33.79,18911942.0
2014-02-03,27.62,27.82,26.6,26.93,147119.0
2014-01-31,27.49,27.94,27.26,27.68,118560.0
2014-01-30,28.12,28.51,27.79,28.0,131779.0
2014-01-29,28.26,28.61,27.75,27.95,144540.0
2014-01-28,28.19,28.55,27.86,28.51,128398.0
2014-01-27,28.61,28.87,28.11,28.19,87633.0
2014-01-24,29.18,29.22,28.42,28.59,144390.0
2014-01-23,29.56,29.57,29.24,29.4,74866.0
2014-01-22,29.54,29.91,29.54,29.69,69119.0
2014-01-21,29.57,29.82,29.46,29.61,66308.0
2014-01-17,29.32,29.62,29.09,29.47,104976.0
2014-01-16,29.67,29.88,29.18,29.39,56206.0
2014-01-15,29.84,30.04,29.58,29.65,131828.0
2014-01-14,29.42,29.97,29.41,29.86,132066.0
2014-01-13,29.21,29.54,29.16,29.23,134660.0
2014-01-10,29.47,29.54,29.05,29.39,140234.0
2014-01-09,29.67,29.67,29.17,29.46,127156.0
2014-01-08,29.9,29.9,29.48,29.54,198468.0
2014-01-07,29.92,30.08,29.8,29.89,129145.0
2014-01-06,30.47,30.64,29.83,29.84,118378.0
2014-01-03,30.36,30.55,30.17,30.42,155474.0
2014-01-02,30.17,30.5,30.0,30.35,222630.0
2013-12-31,29.94,30.36,29.75,30.21,170401.0
2013-12-30,29.88,30.06,29.7,29.83,169562.0
2013-12-27,30.45,30.65,29.26,29.89,205371.0
2013-12-26,30.28,30.68,29.88,30.5,297931.0
2013-12-24,30.0,30.29,29.99,30.07,209589.0
2013-12-23,30.0,31.44,29.73,30.02,642834.0
2013-12-20,28.77,29.26,28.77,29.18,363081.0
2013-12-19,28.71,28.95,28.5,28.63,82004.0
2013-12-18,29.11,29.18,28.69,28.72,133548.0
2013-12-17,29.06,29.24,28.77,29.11,94090.0
2013-12-16,29.01,29.33,28.92,28.99,85451.0
2013-12-13,28.7,29.1,28.5,28.79,164189.0
2013-12-12,28.55,28.75,28.25,28.6,104747.0
2013-12-11,28.86,29.0,28.5,28.6,103064.0
2013-12-10,29.16,29.31,28.76,28.9,84119.0
2013-12-09,29.73,29.77,29.07,29.29,90227.0
2013-12-06,29.64,30.0,29.55,29.63,83572.0
2013-12-05,29.35,29.71,29.18,29.51,100771.0
2013-12-04,29.77,30.22,29.18,29.43,103914.0
2013-12-03,29.89,30.24,29.65,29.9,127872.0
2013-12-02,30.62,31.12,29.73,30.03,179334.0
2013-11-29,30.69,30.98,30.37,30.6,89132.0
2013-11-27,29.85,30.49,29.47,30.49,113642.0
2013-11-26,29.3,29.96,29.02,29.81,83922.0
2013-11-25,28.89,29.66,28.7,29.32,99988.0
2013-11-22,28.92,29.0,28.41,28.77,150486.0
2013-11-21,28.17,28.92,28.06,28.92,91087.0
2013-11-20,27.87,28.25,27.74,28.1,202049.0
2013-11-19,28.86,29.15,27.74,27.88,251753.0
2013-11-18,29.31,29.45,28.85,28.89,126014.0
2013-11-15,29.02,29.46,28.79,29.3,370602.0
2013-11-14,29.42,29.42,29.0,29.07,77352.0
2013-11-13,29.22,29.65,29.05,29.53,97917.0
2013-11-12,29.28,29.48,29.04,29.43,84333.0
2013-11-11,29.45,29.56,29.09,29.39,152270.0
2013-11-08,28.93,29.79,28.82,29.49,150860.0
2013-11-07,29.04,29.15,28.85,28.95,244737.0
2013-11-06,29.06,29.06,28.72,28.99,166642.0
2013-11-05,28.82,29.04,28.44,28.94,196172.0
2013-11-04,28.42,29.05,28.42,28.88,321403.0
2013-11-01,29.99,30.23,28.2,28.88,861737.0
2013-10-31,27.74,27.94,27.23,27.34,291898.0
2013-10-30,27.78,27.86,27.45,27.66,118768.0
2013-10-29,27.5,28.05,27.4,27.69,139029.0
2013-10-28,27.39,27.66,27.39,27.42,149503.0
2013-10-25,27.26,27.51,27.2,27.29,135379.0
2013-10-24,27.07,27.72,26.9,27.16,278439.0
2013-10-23,27.0,27.47,26.01,27.16,596698.0
2013-10-22,27.99,28.19,27.59,27.78,121257.0
2013-10-21,27.98,28.41,27.65,27.93,111579.0
2013-10-18,28.31,28.41,27.78,28.02,145032.0
2013-10-17,27.8,28.18,27.74,28.07,128551.0
2013-10-16,27.93,28.13,27.76,27.97,95451.0
2013-10-15,27.81,27.99,27.63,27.82,243897.0
2013-10-14,27.29,27.98,27.02,27.93,110350.0
2013-10-11,26.67,27.51,26.36,27.51,68500.0
2013-10-10,26.46,26.91,26.09,26.85,103987.0
2013-10-09,26.13,26.43,26.02,26.09,118071.0
2013-10-08,26.19,26.44,25.92,26.11,98987.0
2013-10-07,26.18,26.54,26.07,26.26,116956.0
2013-10-04,25.9,26.55,25.9,26.37,104977.0
2013-10-03,26.23,26.23,25.88,25.96,170545.0
2013-10-02,26.5,26.52,26.12,26.25,152846.0
2013-10-01,26.53,26.7,26.42,26.68,124577.0
2013-09-30,26.22,26.59,26.19,26.52,103538.0
2013-09-27,26.25,26.52,26.19,26.42,32741.0
2013-09-26,26.47,26.57,26.26,26.46,211857.0
2013-09-25,26.53,26.76,26.05,26.44,86454.0
2013-09-24,26.81,26.93,26.43,26.47,129354.0
2013-09-23,26.77,26.9,26.48,26.81,75384.0
2013-09-20,26.25,26.84,26.25,26.79,180162.0
2013-09-19,26.24,26.37,26.0,26.23,69346.0
2013-09-18,25.93,26.4,25.71,26.17,112943.0
2013-09-17,25.58,25.94,25.49,25.91,85375.0
2013-09-16,25.62,26.12,25.2,25.57,75838.0
2013-09-13,25.24,25.46,25.0,25.4,43470.0
2013-09-12,25.3,25.41,25.0,25.13,74860.0
2013-09-11,25.18,25.48,25.13,25.34,47236.0
2013-09-10,24.93,25.29,24.93,25.29,62322.0
2013-09-09,24.86,24.99,24.74,24.88,91390.0
2013-09-06,24.76,24.96,24.34,24.91,114464.0
2013-09-05,24.7,24.9,24.31,24.73,92192.0
2013-09-04,24.61,24.74,24.42,24.61,212356.0
2013-09-03,24.93,25.25,24.5,24.6,61102.0
2013-08-30,24.87,24.88,24.5,24.55,128647.0
2013-08-29,24.34,24.97,24.34,24.96,92538.0
2013-08-28,24.33,24.55,24.3,24.42,109798.0
2013-08-27,24.45,24.47,24.02,24.26,105974.0
2013-08-26,25.0,25.0,24.77,24.81,74798.0
2013-08-23,24.61,25.02,24.61,25.01,116278.0
2013-08-22,24.31,24.66,24.23,24.61,84751.0
2013-08-21,24.4,24.59,24.22,24.31,91984.0
2013-08-20,24.52,24.64,24.44,24.53,103385.0
2013-08-19,24.55,24.62,24.49,24.51,106545.0
2013-08-16,24.14,24.88,24.14,24.59,95397.0
2013-08-15,24.7,24.72,24.3,24.3,94576.0
2013-08-14,24.84,25.1,24.84,25.03,94340.0
2013-08-13,24.72,24.82,24.55,24.77,52878.0
2013-08-12,24.49,24.86,24.46,24.69,47597.0
2013-08-09,24.6,24.71,24.56,24.61,110078.0
2013-08-08,24.79,24.79,24.51,24.64,59989.0
2013-08-07,24.6,24.7,24.29,24.6,124496.0
2013-08-06,25.18,25.18,24.67,24.71,156350.0
2013-08-05,25.12,25.26,24.95,25.25,113047.0
2013-08-02,24.96,25.21,24.82,25.19,155389.0
2013-08-01,24.99,25.21,24.68,25.16,120572.0
2013-07-31,24.92,25.1,24.83,24.85,266371.0
2013-07-30,24.92,25.0,24.78,24.92,383205.0
2013-07-29,24.8,24.97,24.7,24.84,274553.0
2013-07-26,24.65,24.77,24.51,24.77,289690.0
2013-07-25,24.9,25.09,24.5,24.88,528100.0
2013-07-24,25.47,25.47,23.55,25.01,522427.0
2013-07-23,27.07,27.22,26.28,26.47,199788.0
2013-07-22,27.01,27.25,26.94,27.05,85916.0
2013-07-19,27.03,27.32,26.81,27.1,79485.0
2013-07-18,27.31,27.53,27.0,27.17,144293.0
