Date,Open,High,Low,Close,Volume
2014-04-04,8.74,8.74,8.21,8.24,6046487.0
2014-04-03,8.62,8.76,8.56,8.71,4152520.0
2014-04-02,8.58,8.69,8.51,8.64,3062387.0
2014-04-01,8.36,8.58,8.34,8.54,4370247.0
2014-03-31,8.16,8.37,8.16,8.36,5205123.0
2014-03-28,8.1,8.19,8.06,8.11,3494175.0
2014-03-27,8.28,8.36,8.05,8.06,5315460.0
2014-03-26,8.51,8.6,8.27,8.29,4041476.0
2014-03-25,8.58,8.71,8.43,8.5,2713005.0
2014-03-24,8.61,8.66,8.44,8.49,3095988.0
2014-03-21,8.79,8.85,8.52,8.59,5954780.0
2014-03-20,8.78,8.9,8.64,8.73,4438021.0
2014-03-19,8.76,8.84,8.64,8.7,4761072.0
2014-03-18,8.58,8.79,8.55,8.71,5139391.0
2014-03-17,8.38,8.74,8.3,8.54,10238507.0
2014-03-14,8.14,8.35,8.1,8.3,6848000.0
2014-03-13,8.1,8.16,7.89,7.99,3857490.0
2014-03-12,8.03,8.09,7.95,8.07,3259902.0
2014-03-11,8.18,8.23,8.01,8.06,4057139.0
2014-03-10,8.29,8.31,8.12,8.18,3455428.0
2014-03-07,8.26,8.46,8.26,8.31,5400625.0
2014-03-06,8.21,8.28,8.11,8.21,5134275.0
2014-03-05,8.14,8.22,8.09,8.15,5096534.0
2014-03-04,8.12,8.2,8.07,8.15,5094636.0
2014-03-03,7.98,8.07,7.85,8.03,4383132.0
2014-02-28,8.15,8.21,8.01,8.06,3824374.0
2014-02-27,8.12,8.18,8.0,8.13,2938234.0
2014-02-26,8.08,8.23,8.01,8.13,3535463.0
2014-02-25,8.1,8.18,7.98,8.04,3883553.0
2014-02-24,7.86,8.14,7.85,8.09,4852009.0
2014-02-21,7.94,8.0,7.89,7.91,3564054.0
2014-02-20,7.78,7.97,7.75,7.93,6197995.0
2014-02-19,7.88,7.97,7.84,7.91,7523786.0
2014-02-18,7.9,8.04,7.84,7.92,3936459.0
2014-02-14,7.82,7.98,7.81,7.91,6323573.0
2014-02-13,7.75,7.9,7.7,7.85,4682640.0
2014-02-12,7.61,7.83,7.6,7.8,5385032.0
2014-02-11,7.61,7.72,7.54,7.59,6437361.0
2014-02-10,7.54,7.73,7.51,7.64,7110029.0

