Date,Open,High,Low,Close,Volume
2014-04-04,65.13,65.13,63.0,63.83,92498.0
2014-04-03,67.04,67.04,64.5,64.93,98093.0
2014-04-02,66.61,67.09,66.25,66.9,77325.0
2014-04-01,66.17,66.98,65.48,66.6,135263.0
2014-03-31,65.88,67.0,65.58,65.92,161490.0
2014-03-28,65.14,65.8,64.97,65.45,43523.0
2014-03-27,65.66,65.98,64.87,65.13,67166.0
2014-03-26,66.59,66.59,65.53,65.7,72243.0
2014-03-25,66.55,66.81,65.78,66.3,79838.0
2014-03-24,66.75,67.16,65.67,66.21,152411.0
2014-03-21,66.4,66.81,66.15,66.78,254508.0
2014-03-20,66.15,66.83,66.15,66.44,61786.0
2014-03-19,66.7,66.72,65.92,66.43,84638.0
2014-03-18,65.94,66.89,65.91,66.69,176487.0
2014-03-17,65.21,66.12,64.69,65.8,129777.0
2014-03-14,64.04,65.59,63.98,64.84,130506.0
2014-03-13,65.14,66.34,64.35,64.79,199799.0
2014-03-12,65.66,66.2,65.14,65.57,88627.0
2014-03-11,66.23,66.64,65.09,65.94,107550.0
2014-03-10,66.04,66.22,65.42,65.88,66217.0
2014-03-07,66.59,66.59,65.47,65.97,46234.0
2014-03-06,65.93,66.2,65.38,66.08,39620.0
2014-03-05,66.52,67.16,61.86,65.79,84057.0
2014-03-04,65.94,67.05,65.88,66.48,103717.0
2014-03-03,65.52,65.52,64.34,65.14,90705.0
2014-02-28,64.6,65.74,63.81,65.54,111681.0
2014-02-27,64.94,66.16,63.6,64.4,179234.0
2014-02-26,64.85,66.25,63.1,64.99,88549.0
2014-02-25,62.07,62.08,61.21,61.92,28148.0
2014-02-24,61.84,62.61,61.26,61.81,51678.0
2014-02-21,60.88,62.02,60.81,61.49,33612.0
2014-02-20,59.99,60.99,59.77,60.47,32048.0
2014-02-19,60.06,60.96,59.41,60.11,52238.0
2014-02-18,60.66,60.66,59.4,60.1,68317.0
2014-02-14,60.91,60.91,59.61,60.44,37431.0
2014-02-13,58.67,61.32,58.67,60.89,70027.0
2014-02-12,58.34,59.27,58.22,58.97,50590.0
2014-02-11,58.23,58.66,57.8,58.45,44500.0
2014-02-10,58.91,59.4,57.79,58.05,55976.0

