Date,Open,High,Low,Close,Volume
2014-04-04,27.86,28.1,26.11,26.53,1847437.0
2014-04-03,28.19,28.25,27.0,27.58,1537248.0
2014-04-02,28.33,28.75,27.86,28.27,1014265.0
2014-04-01,27.16,28.63,27.12,28.12,966537.0
2014-03-31,26.76,27.53,26.49,27.18,814204.0
2014-03-28,27.7,28.01,26.02,26.51,1322553.0
2014-03-27,27.04,27.74,26.25,27.65,1700824.0
2014-03-26,28.3,29.55,27.18,27.26,1207436.0
2014-03-25,28.18,29.2,27.84,28.09,1123268.0
2014-03-24,29.94,30.0,27.82,28.32,2464131.0
2014-03-21,30.66,30.77,29.92,29.98,1392769.0
2014-03-20,30.44,30.73,30.03,30.38,646360.0
2014-03-19,31.1,31.29,30.24,30.51,841533.0
2014-03-18,29.83,31.02,29.77,31.01,1449683.0
2014-03-17,29.79,30.22,29.32,29.44,911854.0
2014-03-14,29.04,29.86,29.0,29.61,617303.0
2014-03-13,30.0,30.4,29.08,29.21,1123941.0
2014-03-12,29.25,29.89,28.95,29.83,1444294.0
2014-03-11,29.67,30.06,29.25,29.37,797859.0
2014-03-10,29.95,30.08,29.15,29.72,839323.0
2014-03-07,29.9,30.22,28.97,30.14,1685312.0
2014-03-06,30.45,31.69,29.04,29.61,3536134.0
2014-03-05,31.97,32.4,31.53,31.93,2106579.0
2014-03-04,31.89,32.89,31.74,32.0,3096009.0
2014-03-03,30.13,31.04,29.61,30.81,2039384.0
2014-02-28,31.32,32.46,30.03,30.75,4401022.0
2014-02-27,30.7,31.59,30.55,30.84,2272717.0
2014-02-26,30.2,31.26,30.0,30.6,3002147.0
2014-02-25,29.22,30.05,29.12,30.0,1768740.0
2014-02-24,29.0,29.63,28.75,29.1,2046567.0
2014-02-21,29.61,29.89,28.54,28.76,2100541.0
2014-02-20,28.32,29.26,27.94,29.07,2394806.0
2014-02-19,28.35,28.87,27.91,28.17,2018257.0
2014-02-18,27.65,28.61,27.42,28.3,3136683.0
2014-02-14,26.1,27.35,26.1,26.8,2036433.0
2014-02-13,24.84,26.14,24.84,26.02,1740357.0
2014-02-12,24.88,25.26,24.66,25.15,1015045.0
2014-02-11,24.95,25.0,24.53,24.89,790261.0
2014-02-10,24.47,24.95,23.3,24.82,951729.0

