Date,Open,High,Low,Close,Volume
2014-04-07,37.01,37.44,35.8,36.17,591679.0
2014-04-04,39.59,39.96,37.25,37.37,546098.0
2014-04-03,41.33,41.33,39.29,39.5,446760.0
2014-04-02,41.28,41.67,40.89,41.39,253881.0
2014-04-01,40.49,41.14,39.68,40.99,450497.0
2014-03-31,39.6,40.73,39.31,40.25,459345.0
2014-03-28,38.82,40.14,38.76,39.19,535794.0
2014-03-27,40.71,40.71,38.54,38.89,567164.0
2014-03-26,41.45,41.45,40.14,40.74,715542.0
2014-03-25,40.32,41.35,40.32,41.09,796770.0
2014-03-24,39.39,40.63,39.0,40.22,556775.0
2014-03-21,39.03,40.5,38.77,39.25,781697.0
2014-03-20,38.5,38.92,38.0,38.78,305608.0
2014-03-19,38.85,39.84,38.5,38.71,552041.0
2014-03-18,36.99,38.73,36.9,38.7,516418.0
2014-03-17,37.59,37.75,36.43,36.97,838909.0
2014-03-14,36.8,37.69,36.8,37.22,396325.0
2014-03-13,37.98,38.0,36.14,36.79,487659.0
2014-03-12,35.65,37.96,35.08,37.03,683513.0
2014-03-11,36.4,37.07,35.61,35.75,387440.0
2014-03-10,35.83,36.72,34.59,36.28,463553.0
2014-03-07,36.81,37.0,34.8,36.0,863799.0
2014-03-06,39.47,39.5,36.3,36.78,1281244.0
2014-03-05,34.18,38.96,33.8,38.51,3041999.0
2014-03-04,31.57,32.16,31.33,31.74,932655.0
2014-03-03,31.0,31.1,30.27,30.72,492300.0
2014-02-28,31.76,32.0,31.14,31.24,349229.0
2014-02-27,32.57,32.95,31.67,31.88,331989.0
2014-02-26,32.92,33.23,32.51,32.71,217815.0
2014-02-25,33.37,33.54,32.51,32.99,234933.0
2014-02-24,33.07,34.25,33.07,33.25,347959.0
2014-02-21,33.11,33.22,32.43,32.98,216519.0
2014-02-20,31.35,33.12,31.35,32.94,277819.0
2014-02-19,32.5,32.96,31.26,31.41,323126.0
2014-02-18,31.7,32.7,31.43,32.54,333601.0
2014-02-14,31.25,31.69,31.01,31.5,198689.0
2014-02-13,29.65,31.34,29.5,31.21,226661.0
2014-02-12,30.03,30.4,29.7,30.01,183472.0
2014-02-11,29.87,30.48,29.58,30.03,196340.0
2014-02-10,29.81,30.12,29.23,29.82,286887.0
2014-02-07,28.51,31.27,28.51,29.72,468943.0
2014-02-06,27.55,28.36,27.46,27.92,147645.0
2014-02-05,28.1,28.34,27.34,27.51,175720.0
2014-02-04,28.39,28.82,27.96,28.22,234832.0
2014-02-03,29.82,29.93,27.86,28.22,365496.0
2014-01-31,28.71,30.16,28.6,29.82,259357.0
2014-01-30,28.74,29.32,28.5,29.02,249808.0
2014-01-29,28.9,29.2,28.46,28.55,176108.0
2014-01-28,28.36,28.94,28.25,28.88,184033.0
2014-01-27,29.23,29.24,28.05,28.36,260310.0
2014-01-24,30.32,30.65,29.19,29.23,256110.0
2014-01-23,30.97,30.98,30.3,30.52,179378.0
2014-01-22,30.53,31.2,30.47,30.98,234942.0
2014-01-21,30.5,30.6,30.07,30.38,306943.0
2014-01-17,30.0,30.46,29.83,29.91,167832.0
2014-01-16,30.23,30.6,29.92,30.06,187630.0
2014-01-15,29.71,30.82,29.5,30.11,483043.0
2014-01-14,29.76,29.91,29.4,29.49,382862.0
2014-01-13,29.72,29.86,29.28,29.49,853466.0
2014-01-10,28.01,28.19,27.68,27.99,191678.0
2014-01-09,28.09,28.19,27.78,27.97,216285.0
2014-01-08,28.12,28.26,27.34,28.0,259440.0
2014-01-07,28.34,28.47,27.75,28.0,281111.0
2014-01-06,28.85,29.0,27.71,28.09,266852.0
2014-01-03,28.25,28.65,28.25,28.5,256288.0
2014-01-02,29.25,29.41,28.14,28.17,335867.0
2013-12-31,29.18,29.43,28.81,29.14,481007.0
2013-12-30,28.76,29.13,28.57,28.77,280670.0
2013-12-27,28.58,28.58,28.23,28.5,151610.0
2013-12-26,28.79,29.09,28.19,28.41,205680.0
2013-12-24,28.61,28.86,28.05,28.73,106657.0
2013-12-23,28.41,28.63,28.18,28.35,170951.0
2013-12-20,28.34,28.44,28.0,28.35,310955.0
2013-12-19,28.49,28.68,28.3,28.36,85784.0
2013-12-18,28.45,28.65,28.06,28.49,160255.0
2013-12-17,28.88,28.97,28.34,28.48,149906.0
2013-12-16,28.23,28.96,28.23,28.8,193799.0
2013-12-13,27.42,28.31,27.17,28.03,281991.0
2013-12-12,28.07,28.36,27.11,27.45,294595.0
2013-12-11,28.7,28.81,28.07,28.13,183923.0
2013-12-10,29.59,29.75,28.67,28.7,236430.0
2013-12-09,29.66,30.16,29.29,29.57,600215.0
2013-12-06,29.97,30.05,29.53,29.55,267777.0
2013-12-05,29.76,29.99,29.36,29.82,140777.0
2013-12-04,30.6,30.6,29.42,29.75,359854.0
2013-12-03,29.95,30.12,29.28,29.56,320081.0
2013-12-02,30.5,31.5,29.74,29.91,273506.0
2013-11-29,29.75,30.49,29.56,30.17,247025.0
2013-11-27,29.0,30.55,27.69,29.76,1073553.0
2013-11-26,27.51,27.61,26.73,26.92,222658.0
2013-11-25,27.46,27.63,27.34,27.45,94901.0
2013-11-22,27.27,27.54,27.11,27.49,159931.0
2013-11-21,27.38,27.55,27.22,27.27,147336.0
2013-11-20,27.6,27.61,27.14,27.22,104308.0
2013-11-19,27.42,27.76,27.4,27.51,321282.0
2013-11-18,27.55,27.73,27.27,27.49,318221.0
2013-11-15,27.2,27.5,27.18,27.33,133175.0
2013-11-14,27.32,27.48,27.18,27.24,127645.0
2013-11-13,27.25,27.48,27.01,27.28,139052.0
2013-11-12,27.86,27.9,27.35,27.51,144146.0
2013-11-11,27.86,28.07,27.52,27.86,74074.0
2013-11-08,27.74,28.28,27.61,27.83,214507.0
2013-11-07,28.38,28.57,27.71,27.74,176895.0
2013-11-06,28.19,28.6,28.0,28.25,177097.0
2013-11-05,27.42,28.57,27.38,27.99,304257.0
2013-11-04,27.15,27.53,27.07,27.48,140460.0
2013-11-01,27.17,27.59,26.9,27.15,165791.0
2013-10-31,27.38,27.65,27.08,27.11,184671.0
2013-10-30,26.99,27.48,26.97,27.36,203490.0
2013-10-29,26.85,27.25,26.69,26.96,116336.0
2013-10-28,26.4,26.83,26.14,26.73,122873.0
2013-10-25,26.32,26.5,26.01,26.42,126709.0
2013-10-24,25.99,26.5,25.99,26.44,156747.0
2013-10-23,24.73,25.91,24.62,25.89,255594.0
2013-10-22,24.78,25.01,24.68,24.75,98964.0
2013-10-21,25.06,25.15,24.58,24.74,107328.0
2013-10-18,24.73,25.01,24.6,24.98,168755.0
2013-10-17,23.76,24.57,23.68,24.57,177284.0
2013-10-16,23.72,23.97,23.66,23.79,119433.0
2013-10-15,23.75,24.06,23.55,23.65,241508.0
2013-10-14,23.55,23.77,23.28,23.75,147582.0
2013-10-11,22.98,23.74,22.85,23.68,160318.0
2013-10-10,22.11,23.09,21.97,22.96,151451.0
2013-10-09,21.95,22.06,21.66,21.92,176089.0
2013-10-08,22.45,22.54,21.86,21.95,146154.0
2013-10-07,22.44,22.67,22.29,22.45,248996.0
2013-10-04,22.4,22.79,22.4,22.6,93458.0
2013-10-03,22.98,23.02,22.21,22.42,106893.0
2013-10-02,23.14,23.14,22.78,22.94,89396.0
2013-10-01,23.1,23.24,22.87,23.15,190271.0
2013-09-30,22.76,23.3,22.73,23.1,181824.0
2013-09-27,22.83,23.02,22.72,22.94,102855.0
2013-09-26,22.57,23.06,22.49,22.94,153592.0
2013-09-25,22.75,22.89,22.4,22.59,176556.0
2013-09-24,22.53,22.72,22.3,22.71,266624.0
2013-09-23,22.91,22.96,22.42,22.49,147789.0
2013-09-20,23.38,23.38,22.82,22.86,237734.0
2013-09-19,22.92,23.48,22.85,23.38,133865.0
2013-09-18,23.05,23.14,22.65,22.94,174373.0
2013-09-17,23.08,23.26,23.06,23.1,126208.0
2013-09-16,23.29,23.4,22.97,23.12,220154.0
2013-09-13,23.3,23.47,22.9,23.26,109716.0
2013-09-12,23.24,23.45,23.13,23.22,121730.0
2013-09-11,22.74,23.32,22.65,23.17,222375.0
2013-09-10,22.65,23.22,22.5,22.74,260636.0
2013-09-09,22.46,22.66,22.29,22.46,149735.0
2013-09-06,22.12,22.5,21.86,22.32,128494.0
2013-09-05,22.21,22.3,21.99,21.99,159570.0
2013-09-04,22.25,22.3,22.06,22.12,154368.0
2013-09-03,22.05,22.48,21.92,22.09,166109.0
2013-08-30,21.99,22.16,21.82,21.91,146102.0
2013-08-29,22.01,22.25,21.88,22.01,152014.0
2013-08-28,22.13,22.36,20.78,22.02,701937.0
2013-08-27,22.61,22.73,22.15,22.17,218148.0
2013-08-26,22.63,23.08,22.6,22.71,114320.0
2013-08-23,22.63,22.89,22.45,22.65,130205.0
2013-08-22,22.3,22.67,22.3,22.66,62876.0
2013-08-21,23.01,23.43,22.16,22.3,146436.0
2013-08-20,22.15,23.3,22.15,22.97,281789.0
2013-08-19,22.54,22.67,22.08,22.1,109109.0
2013-08-16,22.77,22.88,22.32,22.56,107304.0
2013-08-15,22.99,22.99,22.32,22.45,177022.0
2013-08-14,23.0,23.39,22.91,23.08,90609.0
