Date,Open,High,Low,Close,Volume
2014-04-07,57.14,57.68,56.66,57.5,27426.0
2014-04-04,58.22,58.25,56.52,57.06,61733.0
2014-04-03,57.01,57.92,57.0,57.84,49418.0
2014-04-02,57.5,57.5,56.23,57.2,20761.0
2014-04-01,56.75,57.43,56.21,57.43,16694.0
2014-03-31,54.74,57.02,52.51,56.63,31194.0
2014-03-28,55.93,56.85,54.84,55.54,12260.0
2014-03-27,56.88,57.02,55.52,56.02,14508.0
2014-03-26,58.25,58.25,56.65,56.97,19188.0
2014-03-25,57.24,58.0,57.24,57.95,20604.0
2014-03-24,56.78,57.6,56.75,57.28,12163.0
2014-03-21,57.8,58.05,57.53,57.81,78314.0
2014-03-20,56.89,58.29,56.84,57.53,31449.0
2014-03-19,56.86,56.94,56.0,56.8,18284.0
2014-03-18,56.64,57.19,56.24,57.02,12077.0
2014-03-17,57.19,57.47,56.15,56.5,15624.0
2014-03-14,56.4,56.83,56.0,56.65,12591.0
2014-03-13,57.5,57.5,55.92,56.46,19579.0
2014-03-12,56.3,56.76,55.19,56.76,16116.0
2014-03-11,56.12,56.87,55.87,56.45,9600.0
2014-03-10,56.33,57.05,54.58,56.36,16747.0
2014-03-07,56.63,56.99,56.13,56.75,16537.0
2014-03-06,55.72,56.4,55.69,56.28,11532.0
2014-03-05,55.9,56.25,55.3,55.8,39245.0
2014-03-04,55.19,56.82,55.19,56.16,45585.0
2014-03-03,54.64,55.4,54.04,54.33,15518.0
2014-02-28,54.5,55.42,53.8,55.03,25494.0
2014-02-27,53.92,54.9,53.49,54.45,14838.0
2014-02-26,53.86,54.19,53.58,53.96,9737.0
2014-02-25,53.97,54.49,53.15,53.68,8841.0
2014-02-24,53.75,54.95,53.59,53.83,31416.0
2014-02-21,53.45,54.07,53.4,53.93,17393.0
2014-02-20,52.87,53.35,52.14,53.24,62036.0
2014-02-19,53.8,54.0,52.8,52.92,21681.0
2014-02-18,54.0,54.44,53.5,54.19,23792.0
2014-02-14,53.39,53.88,52.89,53.77,11361.0
2014-02-13,52.77,53.4,52.06,53.4,11079.0
2014-02-12,52.53,53.6,52.43,52.85,35715.0
2014-02-11,51.42,52.76,51.32,52.7,40979.0
2014-02-10,51.97,51.97,50.62,51.42,24093.0
2014-02-07,51.42,52.0,51.15,51.89,46443.0
2014-02-06,52.25,52.48,51.25,52.0,36909.0
2014-02-05,52.05,53.9,51.3,51.94,19833.0
2014-02-04,52.16,53.68,51.9,52.41,50241.0
2014-02-03,54.27,54.27,51.46,51.82,33601.0
2014-01-31,54.39,55.19,53.92,54.03,31133.0
2014-01-30,54.04,56.4,53.52,55.32,28881.0
2014-01-29,54.38,54.78,53.52,53.7,17329.0
2014-01-28,54.07,54.57,53.92,54.42,21175.0
2014-01-27,54.85,54.97,54.13,54.5,15505.0
2014-01-24,55.67,55.67,54.5,54.77,11093.0
2014-01-23,56.32,56.32,55.56,55.76,15635.0
2014-01-22,57.18,57.18,56.8,56.8,8088.0
2014-01-21,56.0,57.27,55.81,57.26,18392.0
2014-01-17,55.18,55.73,54.72,55.67,30643.0
2014-01-16,54.93,55.59,54.71,55.01,29664.0
2014-01-15,54.5,55.18,53.75,54.78,11800.0
2014-01-14,54.21,55.36,53.94,54.06,11204.0
2014-01-13,54.5,54.5,53.4,54.19,14734.0
2014-01-10,55.52,55.75,54.12,54.54,26225.0
2014-01-09,55.21,56.74,54.0,55.2,15286.0
2014-01-08,55.46,56.26,54.61,55.11,9124.0
2014-01-07,55.53,56.75,54.87,55.7,15787.0
2014-01-06,55.46,55.78,55.01,55.2,16942.0
2014-01-03,55.13,55.83,54.03,55.53,16166.0
2014-01-02,55.59,55.59,54.6,55.05,26809.0
2013-12-31,56.11,56.63,55.62,56.06,10534.0
2013-12-30,56.88,56.88,55.77,56.13,9360.0
2013-12-27,57.21,57.43,56.77,57.07,9043.0
2013-12-26,57.3,57.62,56.92,57.34,10144.0
2013-12-24,57.97,58.02,57.0,57.2,3989.0
2013-12-23,56.55,57.54,55.74,57.43,28258.0
2013-12-20,55.06,56.86,54.92,56.53,52960.0
2013-12-19,54.04,55.38,54.04,54.82,21076.0
2013-12-18,55.19,56.3,54.28,55.34,56768.0
2013-12-17,55.4,55.4,52.49,55.13,9771.0
2013-12-16,54.99,56.05,54.82,55.57,40326.0
2013-12-13,55.01,55.27,53.97,54.6,23968.0
2013-12-12,54.42,55.16,54.42,54.75,13111.0
2013-12-11,55.13,55.2,54.47,54.51,19567.0
2013-12-10,55.78,55.82,54.8,54.9,36241.0
2013-12-09,56.02,56.55,55.12,55.63,39682.0
2013-12-06,55.98,56.72,55.61,56.3,9012.0
2013-12-05,54.83,55.55,54.23,55.41,5330.0
2013-12-04,54.36,55.19,54.25,54.84,10805.0
2013-12-03,54.41,54.87,53.19,54.84,121397.0
2013-12-02,55.55,55.55,54.37,54.75,57024.0
2013-11-29,56.74,56.74,55.31,55.73,11712.0
2013-11-27,56.05,56.39,55.9,56.22,20303.0
2013-11-26,56.34,56.46,55.74,56.13,19181.0
2013-11-25,56.49,56.49,55.82,56.1,23341.0
2013-11-22,56.23,56.5,55.6,56.22,24224.0
2013-11-21,56.18,56.5,55.85,56.2,53347.0
2013-11-20,56.5,56.76,55.17,55.95,6168.0
2013-11-19,56.32,56.92,56.25,56.36,7375.0
