Date,Open,High,Low,Close,Volume
2014-04-07,68.95,69.22,67.34,67.37,2660336.0
2014-04-04,70.0,70.98,69.17,69.22,3231724.0
2014-04-03,69.53,69.99,69.4,69.8,1651862.0
2014-04-02,69.35,69.58,68.95,69.43,1847414.0
2014-04-01,69.0,69.83,68.67,69.38,1794900.0
2014-03-31,68.78,69.27,68.35,68.8,1642196.0
2014-03-28,67.55,68.45,67.46,68.43,1421864.0
2014-03-27,67.17,67.62,67.0,67.41,1206746.0
2014-03-26,67.76,68.05,67.18,67.25,1792448.0
2014-03-25,67.61,67.93,67.34,67.73,1571625.0
2014-03-24,67.73,68.0,66.99,67.26,1742341.0
2014-03-21,68.41,68.41,67.29,67.55,3639114.0
2014-03-20,67.58,68.12,67.52,67.82,1328860.0
2014-03-19,68.4,68.61,67.43,67.89,2116779.0
2014-03-18,68.24,68.5,68.13,68.31,1841733.0
2014-03-17,68.53,68.73,67.55,68.1,3137179.0
2014-03-14,68.3,69.11,68.25,68.3,2519373.0
2014-03-13,69.52,69.52,68.37,68.53,2172587.0
2014-03-12,68.88,69.26,68.87,69.18,1672069.0
2014-03-11,69.34,69.59,69.19,69.29,2692416.0
2014-03-10,69.31,69.71,69.0,69.46,4342379.0
2014-03-07,68.56,69.68,68.52,69.16,3371115.0
2014-03-06,68.05,68.71,68.01,68.26,3109129.0
2014-03-05,68.19,68.86,67.96,68.77,2267817.0
2014-03-04,68.4,68.46,67.94,68.02,2283765.0
2014-03-03,67.37,68.19,67.19,67.86,2015205.0
2014-02-28,67.63,68.06,67.21,67.82,2552423.0
2014-02-27,67.6,68.19,66.88,67.4,3936723.0
2014-02-26,67.37,68.44,67.35,68.14,3655665.0
2014-02-25,66.27,67.37,65.85,67.19,5812409.0
2014-02-24,65.27,66.14,65.01,65.99,2087733.0
2014-02-21,64.94,65.28,64.46,64.99,2513954.0
2014-02-20,65.74,66.16,64.97,65.13,2293604.0
2014-02-19,65.38,65.91,65.06,65.49,2162278.0
2014-02-18,66.07,66.25,65.46,65.69,2213494.0
2014-02-14,64.75,66.1,64.7,65.96,2526063.0
2014-02-13,64.46,65.37,64.05,64.93,2857758.0
2014-02-12,64.38,64.9,64.08,64.59,2811625.0
2014-02-11,64.58,64.65,64.05,64.24,2284295.0
2014-02-10,64.11,65.0,64.0,64.31,2669519.0
2014-02-07,64.1,64.55,63.28,64.11,2759041.0
2014-02-06,63.08,64.24,63.08,64.0,3076483.0
2014-02-05,63.68,63.79,62.9,63.05,2251383.0
2014-02-04,63.0,64.1,62.84,63.73,2963171.0
2014-02-03,64.41,64.41,62.12,62.68,3055009.0
2014-01-31,63.43,64.49,63.26,63.85,2111699.0
