Date,Open,High,Low,Close,Volume
2014-04-07,23.56,24.19,23.11,23.56,73677.0
2014-04-04,25.37,25.37,23.37,23.7,38550.0
2014-04-03,25.56,25.93,24.65,25.07,25587.0
2014-04-02,25.8,25.87,25.28,25.43,29773.0
2014-04-01,24.44,25.71,24.44,25.66,52584.0
2014-03-31,23.91,24.6,23.26,24.34,53243.0
2014-03-28,23.48,24.33,23.48,23.7,27008.0
2014-03-27,23.9,24.27,23.33,23.46,37335.0
2014-03-26,24.71,24.71,23.9,23.9,64877.0
2014-03-25,24.5,24.8,24.2,24.43,44448.0
2014-03-24,24.64,24.66,23.52,24.37,43874.0
2014-03-21,23.83,24.6,23.73,24.5,97740.0
2014-03-20,22.4,23.85,22.4,23.78,62430.0
2014-03-19,22.61,22.85,22.23,22.4,53852.0
2014-03-18,22.48,22.74,22.0,22.56,82199.0
2014-03-17,22.99,23.13,22.33,22.4,66066.0
2014-03-14,23.19,23.79,22.65,22.77,48132.0
2014-03-13,24.61,24.61,23.06,23.19,67933.0
2014-03-12,24.17,24.85,24.13,24.44,45279.0
2014-03-11,25.01,25.05,24.3,24.38,39774.0
2014-03-10,25.45,25.45,24.92,25.02,59270.0
2014-03-07,26.38,26.6,25.31,25.62,43792.0
2014-03-06,27.08,27.08,26.04,26.1,36022.0
2014-03-05,26.86,27.27,26.2,26.92,51796.0
2014-03-04,26.2,27.71,25.76,26.94,95075.0
2014-03-03,26.26,26.26,25.5,25.77,25622.0
2014-02-28,26.95,27.12,26.36,26.6,44020.0
2014-02-27,26.27,26.92,26.27,26.91,23959.0
2014-02-26,26.11,26.55,25.8,26.44,17656.0
2014-02-25,26.82,26.96,25.97,26.19,18497.0
2014-02-24,26.73,27.03,26.46,26.73,31368.0
2014-02-21,28.43,28.51,26.49,26.6,95043.0
2014-02-20,27.23,28.46,26.74,28.28,32811.0
2014-02-19,27.18,27.45,26.9,27.11,32046.0
2014-02-18,27.3,27.46,27.18,27.35,44083.0
2014-02-14,27.44,27.48,26.96,27.16,29425.0
2014-02-13,26.09,27.68,26.09,27.43,31006.0
2014-02-12,26.45,26.67,26.17,26.44,25450.0
2014-02-11,25.93,26.72,25.82,26.34,42607.0
2014-02-10,26.3,26.3,25.63,26.12,29980.0
2014-02-07,25.6,26.45,25.21,26.38,38575.0
2014-02-06,25.62,26.12,25.43,25.46,60851.0
2014-02-05,25.63,25.7,24.58,25.46,72416.0
2014-02-04,26.26,26.31,25.68,25.86,50583.0
2014-02-03,27.37,30.12,25.91,26.2,74197.0
2014-01-31,28.24,28.78,26.95,27.41,118622.0
2014-01-30,29.4,29.4,27.44,28.9,79112.0
2014-01-29,30.25,30.52,28.52,29.0,82052.0
2014-01-28,28.56,28.56,28.0,28.37,57749.0
