Date,Open,High,Low,Close,Volume
2014-04-07,37.49,37.49,36.13,37.14,336595.0
2014-04-04,38.73,39.08,37.42,37.72,259195.0
2014-04-03,38.44,38.53,37.63,38.36,374391.0
2014-04-02,39.04,39.3,38.39,38.42,311206.0
2014-04-01,38.86,39.33,38.53,38.99,393416.0
2014-03-31,38.49,39.0,38.31,38.66,172147.0
2014-03-28,37.88,38.6,37.88,38.29,139106.0
2014-03-27,38.41,38.47,37.6,37.94,245028.0
2014-03-26,38.82,38.93,38.05,38.5,449343.0
2014-03-25,38.52,39.05,38.27,38.43,185219.0
2014-03-24,38.68,38.92,37.82,38.26,334772.0
2014-03-21,39.12,39.17,38.53,38.65,341029.0
2014-03-20,39.68,39.68,38.8,38.86,270622.0
2014-03-19,39.45,40.1,38.82,39.79,716331.0
2014-03-18,38.53,39.48,38.39,39.3,527971.0
2014-03-17,38.79,39.47,38.36,38.44,233153.0
2014-03-14,38.31,39.16,38.31,38.61,323781.0
2014-03-13,39.44,39.44,38.1,38.52,216223.0
2014-03-12,39.06,39.37,38.13,39.33,344106.0
2014-03-11,40.14,40.19,39.16,39.34,416452.0
2014-03-10,39.9,40.39,39.63,40.06,341406.0
2014-03-07,39.37,40.14,39.01,40.1,242398.0
2014-03-06,39.3,39.55,38.86,39.37,218203.0
2014-03-05,39.23,39.32,38.67,39.28,356633.0
2014-03-04,39.01,39.77,38.72,39.4,413097.0
2014-03-03,37.5,38.8,37.43,38.45,434734.0
2014-02-28,37.9,38.11,37.39,37.79,378721.0
2014-02-27,37.4,37.95,37.35,37.93,193216.0
2014-02-26,37.22,38.11,36.82,37.64,243154.0
2014-02-25,38.17,38.17,37.09,37.23,347422.0
2014-02-24,37.62,38.3,37.36,38.13,348764.0
2014-02-21,38.13,39.25,37.55,37.64,193632.0
2014-02-20,37.37,38.02,37.08,37.95,177052.0
2014-02-19,37.46,38.07,36.6,37.44,208313.0
2014-02-18,37.83,39.95,37.5,37.7,437931.0
2014-02-14,37.74,38.1,37.5,37.89,201307.0
2014-02-13,36.97,38.0,36.61,37.81,279922.0
2014-02-12,37.01,37.44,36.9,37.29,266772.0
2014-02-11,36.42,37.09,36.34,36.86,315761.0
2014-02-10,36.84,36.84,36.14,36.53,362330.0
2014-02-07,34.93,38.37,34.93,37.0,1235706.0
2014-02-06,35.45,36.89,35.45,36.69,639227.0
2014-02-05,35.89,36.45,35.28,35.5,646120.0
2014-02-04,36.29,36.66,35.88,36.16,623778.0
2014-02-03,37.78,38.11,35.97,36.18,266462.0
2014-01-31,37.07,38.37,37.07,37.79,337079.0
2014-01-30,38.78,38.86,37.72,37.74,313999.0
2014-01-29,38.33,39.02,38.27,38.46,450165.0
2014-01-28,38.54,39.1,38.24,38.71,319846.0
2014-01-27,39.45,39.83,38.44,38.61,225521.0
2014-01-24,40.36,40.6,39.1,39.35,217754.0
2014-01-23,40.73,41.2,40.46,40.67,224437.0
2014-01-22,40.47,40.92,40.17,40.91,252768.0
2014-01-21,40.19,40.5,40.03,40.47,284911.0
2014-01-17,40.24,40.5,39.85,40.03,247664.0
2014-01-16,40.05,40.44,40.03,40.28,208643.0
2014-01-15,39.99,41.06,39.93,40.15,569267.0
2014-01-14,40.08,40.27,39.61,39.99,542648.0
2014-01-13,40.54,40.8,39.68,39.91,311352.0
2014-01-10,40.56,41.38,40.45,40.78,369654.0
2014-01-09,40.14,40.73,40.14,40.52,422036.0
2014-01-08,39.44,40.1,39.11,40.1,504368.0
2014-01-07,39.27,39.58,39.0,39.42,577846.0
2014-01-06,40.13,40.15,39.18,39.22,530968.0
2014-01-03,39.82,40.31,39.82,40.03,243546.0
2014-01-02,40.08,40.08,39.39,39.81,387397.0
2013-12-31,40.68,40.76,40.23,40.28,327437.0
2013-12-30,40.52,40.96,40.47,40.7,266770.0
2013-12-27,40.37,40.66,40.31,40.57,275262.0
2013-12-26,40.42,40.61,40.3,40.38,203569.0
2013-12-24,40.46,40.64,40.0,40.31,154781.0
2013-12-23,39.5,40.62,39.42,40.53,417322.0
2013-12-20,39.04,39.52,38.46,39.39,743809.0
2013-12-19,38.81,39.13,38.46,38.85,676861.0
2013-12-18,38.8,39.14,38.07,38.98,470176.0
2013-12-17,38.39,38.88,37.98,38.83,560942.0
2013-12-16,37.4,38.29,36.84,38.25,533839.0
2013-12-13,37.18,37.93,36.9,37.33,385662.0
2013-12-12,37.31,38.0,36.8,37.2,593424.0
2013-12-11,36.4,36.4,35.92,36.11,465615.0
2013-12-10,36.28,36.81,35.92,36.38,495423.0
2013-12-09,36.09,36.47,35.78,36.42,423448.0
2013-12-06,35.95,36.41,35.82,35.99,365977.0
2013-12-05,35.7,35.74,35.27,35.57,318187.0
2013-12-04,35.5,36.35,35.25,35.8,416173.0
2013-12-03,36.0,36.3,35.5,35.75,410944.0
2013-12-02,37.06,37.16,35.98,36.19,616905.0
2013-11-29,37.27,37.6,36.63,37.18,234869.0
2013-11-27,37.23,37.38,36.63,37.14,594519.0
2013-11-26,33.65,37.66,33.22,37.16,1039859.0
2013-11-25,36.08,36.46,35.67,36.07,376966.0
2013-11-22,35.63,36.23,35.39,36.19,416083.0
2013-11-21,35.35,35.72,34.84,35.61,435720.0
2013-11-20,35.4,35.65,34.97,35.22,359824.0
2013-11-19,35.63,36.14,35.16,35.34,416614.0
