Date,Open,High,Low,Close,Volume
2014-04-07,286.36,297.76,281.59,294.19,2427578.0
2014-04-04,303.71,305.48,286.3,288.27,3290060.0
2014-04-03,307.99,308.99,296.23,301.86,2008112.0
2014-04-02,311.64,317.0,306.5,309.7,1483722.0
2014-04-01,308.42,316.34,305.31,309.79,1714903.0
2014-03-31,296.11,306.94,296.11,305.87,1952544.0
2014-03-28,305.01,314.19,292.67,294.12,2555334.0
2014-03-27,306.64,312.9,296.65,309.76,2022085.0
2014-03-26,313.08,317.28,305.93,305.93,1976099.0
2014-03-25,316.0,321.14,304.0,311.78,2148596.0
2014-03-24,320.2,322.0,300.32,312.6,3748058.0
2014-03-21,355.0,355.0,313.08,318.53,5749873.0
2014-03-20,348.27,353.2,344.72,347.04,1369100.0
2014-03-19,352.49,358.89,347.0,350.01,1341947.0
2014-03-18,346.8,354.07,345.7,351.94,1519076.0
2014-03-17,334.83,349.0,334.32,345.6,1562525.0
2014-03-14,333.4,340.0,329.23,332.49,1337136.0
2014-03-13,341.04,342.59,329.03,332.05,1064992.0
2014-03-12,333.05,340.38,332.28,339.55,879316.0
2014-03-11,338.25,341.26,334.19,335.99,1025667.0
2014-03-10,327.65,338.6,327.01,338.0,1471460.0
2014-03-07,341.79,342.85,323.72,328.75,2785693.0
2014-03-06,346.86,353.0,334.01,340.69,2233579.0
2014-03-05,345.23,346.3,338.86,339.0,1003264.0
2014-03-04,343.53,346.74,341.1,343.15,1109448.0
2014-03-03,340.68,342.36,331.22,338.38,1340646.0
2014-02-28,346.16,349.95,335.02,340.68,1862125.0
2014-02-27,342.5,348.39,340.77,343.86,1149804.0
2014-02-26,342.17,353.0,337.31,343.21,1192367.0
2014-02-25,346.51,349.54,343.11,346.3,1353961.0
2014-02-24,348.15,353.47,345.62,345.63,1668328.0
2014-02-21,336.37,349.77,334.47,347.11,1815763.0
2014-02-20,330.33,335.88,323.31,335.11,1317168.0
2014-02-19,334.12,335.39,326.65,328.45,826843.0
2014-02-18,327.9,335.99,326.96,334.98,966935.0
2014-02-14,329.48,331.74,327.1,328.29,1056135.0
2014-02-13,316.81,329.45,315.0,328.62,1311440.0
2014-02-12,319.27,326.34,318.63,323.04,1461268.0
2014-02-11,314.31,319.9,313.0,319.82,1564625.0
2014-02-10,315.54,318.22,311.66,317.96,1249828.0
2014-02-07,303.13,316.02,301.38,315.54,1505545.0
2014-02-06,301.88,307.35,300.67,301.01,1384814.0
2014-02-05,307.39,307.39,294.02,299.93,1888118.0
