Date,Open,High,Low,Close,Volume
2014-04-07,31.68,32.15,31.55,31.76,235158.0
2014-04-04,32.64,32.66,31.72,31.79,427803.0
2014-04-03,32.8,33.0,32.28,32.36,259473.0
2014-04-02,32.57,32.89,32.57,32.85,221489.0
2014-04-01,31.42,32.56,31.42,32.52,260356.0
2014-03-31,30.76,31.38,30.4,31.3,264395.0
2014-03-28,30.92,31.24,30.49,30.64,130323.0
2014-03-27,31.29,31.52,30.73,30.95,117743.0
2014-03-26,31.91,31.99,31.35,31.35,195658.0
2014-03-25,31.47,31.89,31.2,31.62,141897.0
2014-03-24,31.73,31.95,30.95,31.33,198493.0
2014-03-21,31.69,32.19,31.4,31.59,499417.0
2014-03-20,31.19,31.51,31.02,31.49,88021.0
2014-03-19,31.98,32.25,30.97,31.21,153339.0
2014-03-18,30.95,31.7,30.95,31.65,152162.0
2014-03-17,30.62,31.09,30.41,30.95,135958.0
2014-03-14,30.26,30.74,30.16,30.49,155480.0
2014-03-13,31.12,31.12,29.99,30.29,155726.0
2014-03-12,30.7,31.05,30.38,31.01,123352.0
2014-03-11,31.16,31.41,30.68,30.81,108788.0
2014-03-10,31.39,31.57,30.81,31.14,117238.0
2014-03-07,31.63,31.63,30.99,31.41,86168.0
2014-03-06,31.98,32.07,31.31,31.39,99988.0
2014-03-05,31.87,32.02,31.54,31.82,93672.0
2014-03-04,31.29,32.3,31.06,31.96,412551.0
2014-03-03,31.03,31.23,30.46,30.88,201966.0
2014-02-28,31.93,32.04,31.1,31.32,219447.0
2014-02-27,32.13,32.16,31.74,31.85,142265.0
2014-02-26,32.11,32.54,31.94,32.15,149253.0
2014-02-25,32.57,32.6,32.14,32.25,165320.0
2014-02-24,32.84,33.06,32.56,32.67,174231.0
2014-02-21,33.14,33.14,32.67,32.75,130281.0
2014-02-20,32.62,32.99,32.36,32.92,168401.0
2014-02-19,32.32,33.1,32.32,32.51,237762.0
2014-02-18,32.44,32.77,32.21,32.46,221358.0
2014-02-14,33.29,33.29,32.04,32.46,244321.0
2014-02-13,32.0,34.43,31.09,33.28,455428.0
2014-02-12,32.05,32.67,31.74,32.56,218865.0
2014-02-11,32.81,33.48,32.07,32.12,360793.0
2014-02-10,32.81,33.11,32.33,32.87,254497.0
2014-02-07,32.92,33.28,32.55,32.93,177800.0
2014-02-06,33.9,33.9,32.75,32.83,129421.0
2014-02-05,33.15,33.41,32.54,33.06,160969.0
2014-02-04,33.46,33.72,33.09,33.27,280699.0
2014-02-03,34.42,34.69,32.54,33.21,196220.0
2014-01-31,34.61,35.21,34.28,34.46,165637.0
2014-01-30,34.02,35.7,33.71,35.28,225402.0
2014-01-29,35.46,36.11,35.13,35.44,153393.0
2014-01-28,35.87,36.19,35.41,35.84,233075.0
2014-01-27,36.61,36.93,35.6,35.75,144630.0
2014-01-24,36.98,36.98,36.05,36.51,177397.0
2014-01-23,37.41,37.41,36.78,37.28,173227.0
