Date,Open,High,Low,Close,Volume
2014-04-07,63.3,63.94,61.76,63.19,2655150.0
2014-04-04,66.72,66.81,62.35,63.34,2062945.0
2014-04-03,67.86,68.08,65.34,66.03,1998858.0
2014-04-02,69.24,69.8,67.41,68.19,927449.0
2014-04-01,68.53,70.42,67.64,68.61,1190431.0
2014-03-31,66.66,68.22,66.08,68.21,1615497.0
2014-03-28,69.38,69.69,65.49,66.26,1901348.0
2014-03-27,69.84,69.91,67.62,68.91,2466343.0
2014-03-26,72.74,73.24,69.83,69.99,1537215.0
2014-03-25,73.1,74.51,68.91,72.05,3210156.0
2014-03-24,74.03,74.8,70.83,73.71,2240563.0
2014-03-21,78.7,78.81,73.19,73.93,3468470.0
2014-03-20,79.16,79.99,78.09,78.57,1187638.0
2014-03-19,81.0,81.98,79.58,79.7,1069448.0
2014-03-18,79.07,82.0,78.7,81.19,1226398.0
2014-03-17,78.07,79.67,77.78,78.7,998808.0
2014-03-14,77.37,78.88,76.87,77.35,1001651.0
2014-03-13,78.26,78.73,77.18,77.8,1189636.0
2014-03-12,77.23,79.23,76.86,78.45,982011.0
2014-03-11,77.33,78.33,76.53,77.45,1090672.0
2014-03-10,77.3,77.43,75.04,77.2,852493.0
2014-03-07,77.8,78.05,73.35,77.24,3003769.0
2014-03-06,79.51,79.9,76.89,77.21,1854157.0
2014-03-05,79.79,79.9,78.58,79.28,2512518.0
2014-03-04,80.01,82.15,80.01,80.82,954301.0
2014-03-03,80.19,81.44,79.17,79.72,1164681.0
2014-02-28,83.3,83.92,79.7,81.0,2353935.0
2014-02-27,82.31,84.25,79.86,83.28,1668232.0
2014-02-26,81.6,83.3,81.53,82.56,1032670.0
2014-02-25,81.86,82.89,81.01,82.18,1588607.0
2014-02-24,81.64,82.98,81.31,82.07,2658224.0
2014-02-21,80.16,82.09,79.75,81.52,2192598.0
2014-02-20,76.64,80.56,76.53,80.13,4024634.0
2014-02-19,76.5,76.89,75.34,76.35,1269120.0
2014-02-18,77.0,77.0,73.64,76.39,1798420.0
2014-02-14,75.96,77.0,74.11,75.81,1939227.0
2014-02-13,72.57,75.98,72.45,75.93,1365712.0
2014-02-12,71.07,73.8,70.71,73.01,1435247.0
2014-02-11,70.07,71.55,69.81,70.83,1329119.0
2014-02-10,67.61,70.12,67.26,70.07,1097393.0
2014-02-07,65.17,67.56,65.01,67.33,1227340.0
2014-02-06,66.75,66.9,64.61,64.99,1189566.0
2014-02-05,67.94,67.99,65.31,66.34,1369737.0
2014-02-04,67.4,68.8,67.25,68.14,1015988.0
2014-02-03,68.89,69.59,66.82,67.18,1179475.0
2014-01-31,68.45,69.52,68.23,68.88,1005096.0
2014-01-30,68.45,69.83,67.95,69.55,1212463.0
2014-01-29,67.49,68.22,66.72,67.51,860821.0
2014-01-28,69.02,69.59,66.9,68.29,1668005.0
2014-01-27,71.77,71.77,67.8,69.01,1095466.0
2014-01-24,72.16,73.14,70.85,70.85,829295.0
2014-01-23,72.86,73.88,71.74,73.75,671372.0
2014-01-22,74.0,74.35,72.61,73.27,704739.0
2014-01-21,73.92,74.0,72.26,73.98,691365.0
2014-01-17,72.7,73.93,72.58,73.45,1012020.0
2014-01-16,71.75,72.9,70.83,72.66,859852.0
2014-01-15,71.37,72.53,71.12,71.73,1402356.0
2014-01-14,69.89,71.35,68.51,71.34,915842.0
2014-01-13,69.97,71.89,68.02,68.64,1386679.0
2014-01-10,69.25,70.07,68.31,69.82,938010.0
2014-01-09,69.99,71.38,69.27,70.18,1140440.0
2014-01-08,68.75,69.9,67.52,69.79,751437.0
2014-01-07,67.86,68.97,67.25,68.54,629201.0
2014-01-06,69.75,69.75,66.72,67.1,1246770.0
2014-01-03,69.59,70.0,68.75,69.09,457957.0
2014-01-02,70.11,70.2,68.49,69.27,671370.0
2013-12-31,69.47,70.56,68.87,70.35,595158.0
2013-12-30,69.36,69.61,68.51,69.32,393366.0
2013-12-27,69.85,70.0,69.01,69.25,375221.0
2013-12-26,69.32,69.94,68.68,69.73,542803.0
2013-12-24,68.95,69.36,68.26,69.2,332189.0
2013-12-23,69.45,69.48,68.57,69.21,744223.0
2013-12-20,68.25,69.2,67.84,68.86,1456258.0
2013-12-19,68.18,69.3,67.97,68.36,597715.0
