Date,Open,High,Low,Close,Volume
2014-04-07,49.04,49.42,46.56,47.07,804395.0
2014-04-04,50.69,51.16,49.46,49.64,404516.0
2014-04-03,51.79,51.93,50.36,50.4,357878.0
2014-04-02,50.88,51.85,50.66,51.82,277952.0
2014-04-01,50.12,50.96,50.12,50.8,194475.0
2014-03-31,50.22,50.34,49.75,50.03,446229.0
2014-03-28,50.4,50.75,49.91,50.09,212472.0
2014-03-27,50.28,50.57,49.82,50.37,330595.0
2014-03-26,51.26,51.44,50.43,50.48,406812.0
2014-03-25,51.12,51.74,50.95,51.08,384351.0
2014-03-24,51.33,51.74,50.59,50.96,393217.0
2014-03-21,50.91,51.32,50.51,50.93,892542.0
2014-03-20,49.98,50.61,49.85,50.39,244706.0
2014-03-19,49.18,50.5,48.6,50.0,330181.0
2014-03-18,48.65,49.3,48.59,49.23,374226.0
2014-03-17,49.38,49.91,48.5,48.54,404309.0
2014-03-14,49.74,49.97,49.17,49.27,316493.0
2014-03-13,50.71,50.72,49.92,49.99,285649.0
2014-03-12,49.74,50.88,49.69,50.54,300465.0
2014-03-11,49.8,50.57,49.39,49.92,247689.0
2014-03-10,49.12,49.82,49.12,49.65,356695.0
2014-03-07,48.65,49.68,48.33,49.22,535097.0
2014-03-06,48.2,48.64,47.57,48.34,675163.0
2014-03-05,49.43,51.4,47.0,47.51,1841102.0
2014-03-04,51.37,52.04,51.08,51.74,465949.0
2014-03-03,51.3,51.6,50.45,50.95,251332.0
2014-02-28,50.98,52.09,50.83,51.74,222241.0
2014-02-27,50.66,51.04,50.5,50.94,110658.0
2014-02-26,51.28,51.34,50.53,50.8,163736.0
2014-02-25,50.84,51.24,50.62,51.07,102528.0
2014-02-24,49.6,50.82,49.6,50.71,158021.0
2014-02-21,49.3,50.06,49.3,49.64,203231.0
2014-02-20,49.85,49.85,48.76,49.32,216518.0
2014-02-19,49.66,50.11,49.17,49.24,266011.0
2014-02-18,50.16,50.3,49.35,49.89,186402.0
2014-02-14,50.2,50.49,49.8,50.21,179392.0
2014-02-13,50.81,51.11,49.95,50.38,243568.0
2014-02-12,51.66,52.19,50.9,51.11,159780.0
2014-02-11,50.78,51.93,50.41,51.48,236134.0
2014-02-10,50.72,51.23,50.53,50.95,298246.0
2014-02-07,50.19,51.24,50.19,50.96,269320.0
2014-02-06,49.3,50.56,48.87,50.06,248876.0
2014-02-05,49.05,49.47,48.55,49.16,212115.0
2014-02-04,48.74,49.85,47.68,49.36,406327.0
2014-02-03,50.19,50.44,47.87,48.0,501000.0
2014-01-31,48.39,50.39,48.33,50.25,623479.0
2014-01-30,47.63,49.87,47.18,49.13,558939.0
2014-01-29,46.61,47.37,46.11,46.98,445682.0
2014-01-28,47.07,47.28,46.72,47.15,254562.0
2014-01-27,46.75,47.48,46.57,46.91,395293.0
2014-01-24,47.05,47.44,46.72,47.24,358360.0
2014-01-23,47.81,48.07,46.61,47.15,444660.0
2014-01-22,46.47,48.3,46.03,48.16,783165.0
2014-01-21,47.57,47.58,46.78,47.23,335124.0
2014-01-17,47.66,47.92,47.18,47.21,243392.0
2014-01-16,47.68,48.56,47.68,47.75,414936.0
2014-01-15,48.36,48.5,47.9,47.91,343468.0
2014-01-14,47.96,48.3,47.7,48.18,199312.0
