Date,Open,High,Low,Close,Volume
2014-04-07,69.48,69.79,68.82,69.34,104042.0
2014-04-04,70.73,71.05,69.31,69.41,146519.0
2014-04-03,70.37,71.1,70.0,70.72,175816.0
2014-04-02,69.91,70.46,69.21,70.15,158395.0
2014-04-01,69.2,70.05,68.51,69.66,78576.0
2014-03-31,68.53,69.18,68.35,69.05,84864.0
2014-03-28,68.08,68.71,67.93,68.2,80540.0
2014-03-27,69.46,69.5,67.81,67.86,80834.0
2014-03-26,69.81,70.0,69.13,69.25,154731.0
2014-03-25,69.35,69.87,69.12,69.68,117934.0
2014-03-24,69.87,70.36,68.97,69.34,101528.0
2014-03-21,69.86,70.78,69.51,69.62,427583.0
2014-03-20,68.42,70.28,68.42,69.67,99311.0
2014-03-19,68.28,69.33,67.61,68.54,118999.0
2014-03-18,67.95,68.46,67.54,68.22,129507.0
2014-03-17,67.46,68.09,67.41,67.99,84047.0
2014-03-14,67.1,67.8,66.88,67.19,93535.0
2014-03-13,67.2,68.02,66.97,67.06,128731.0
2014-03-12,66.92,67.36,66.04,67.2,113357.0
2014-03-11,67.07,67.07,66.31,66.83,151243.0
2014-03-10,66.64,67.11,66.4,66.94,128702.0
2014-03-07,65.87,66.67,65.76,66.59,215873.0
2014-03-06,65.4,66.2,65.32,65.65,99157.0
2014-03-05,65.14,65.62,64.6,65.25,211887.0
2014-03-04,65.05,66.27,64.79,65.38,218835.0
2014-03-03,64.48,64.93,64.06,64.59,170438.0
2014-02-28,64.4,65.54,64.22,64.73,109220.0
2014-02-27,63.89,64.44,63.5,64.19,107015.0
2014-02-26,63.47,64.09,63.22,63.82,124351.0
2014-02-25,63.66,63.66,63.05,63.31,123655.0
2014-02-24,62.67,64.14,62.67,63.58,151615.0
2014-02-21,62.65,62.89,62.06,62.57,120079.0
2014-02-20,62.69,62.69,62.07,62.46,94851.0
2014-02-19,63.99,64.0,62.52,62.8,117380.0
2014-02-18,64.53,64.53,64.01,64.21,158375.0
2014-02-14,64.04,64.51,64.03,64.4,60304.0
2014-02-13,63.91,64.91,63.62,63.99,247740.0
2014-02-12,64.15,65.15,64.08,64.21,128908.0
2014-02-11,63.37,64.58,63.23,64.46,53633.0
2014-02-10,63.68,64.35,63.14,63.77,112231.0
2014-02-07,63.31,64.14,63.14,63.44,64226.0
2014-02-06,63.1,63.54,62.48,63.45,173830.0
2014-02-05,63.69,64.51,62.99,63.12,91651.0
2014-02-04,63.39,64.22,62.24,63.77,150099.0
2014-02-03,64.37,64.69,63.19,63.22,170241.0
2014-01-31,63.83,65.05,63.78,64.26,174023.0
2014-01-30,63.89,64.71,63.18,64.55,91779.0
2014-01-29,64.95,65.62,63.83,64.05,259015.0
2014-01-28,65.11,65.42,64.35,65.11,57923.0
2014-01-27,65.41,66.07,64.48,64.72,60184.0
2014-01-24,65.42,65.87,65.24,65.41,85844.0
2014-01-23,66.06,66.06,65.0,65.52,63457.0
2014-01-22,66.49,66.6,66.1,66.23,76442.0
2014-01-21,65.4,66.67,65.14,66.29,86474.0
2014-01-17,64.6,65.1,64.5,64.96,54552.0
2014-01-16,64.66,64.79,64.02,64.66,59506.0
2014-01-15,64.4,64.92,64.16,64.49,86278.0
2014-01-14,64.37,64.58,63.2,64.4,89444.0
2014-01-13,64.34,64.74,63.58,64.08,81827.0
2014-01-10,65.05,65.05,63.99,64.37,54477.0
2014-01-09,65.07,65.07,64.4,64.85,66120.0
2014-01-08,64.69,65.01,64.39,64.8,38322.0
2014-01-07,64.65,65.39,64.56,64.71,51573.0
2014-01-06,64.91,65.14,64.47,64.73,79713.0
2014-01-03,65.28,65.67,64.42,64.63,74121.0
2014-01-02,66.31,66.33,64.94,65.2,76362.0
2013-12-31,66.27,66.56,66.06,66.32,73640.0
2013-12-30,66.2,66.2,65.81,66.0,76290.0
2013-12-27,65.51,66.58,65.51,65.99,60906.0
2013-12-26,65.47,65.89,65.0,65.83,107071.0
2013-12-24,65.11,65.83,64.86,65.1,20623.0
2013-12-23,64.35,65.35,63.68,65.25,57230.0
2013-12-20,63.56,64.2,63.48,63.98,245981.0
2013-12-19,63.52,63.68,63.06,63.47,96146.0
2013-12-18,62.91,63.9,61.64,63.79,147243.0
2013-12-17,63.38,63.38,62.55,62.78,85977.0
2013-12-16,62.56,63.4,62.26,63.27,87536.0
2013-12-13,62.66,62.95,62.03,62.54,65410.0
2013-12-12,62.68,63.16,62.4,62.48,63551.0
2013-12-11,62.75,62.79,62.31,62.49,125178.0
2013-12-10,62.57,62.93,62.36,62.55,106507.0
2013-12-09,62.76,62.99,62.34,62.59,89894.0
2013-12-06,62.23,63.25,62.23,62.78,64670.0
2013-12-05,61.76,62.18,61.06,62.01,125530.0
2013-12-04,61.83,62.47,61.47,61.78,102882.0
2013-12-03,62.5,62.79,61.47,62.0,92965.0
2013-12-02,63.32,63.6,62.51,62.52,85289.0
2013-11-29,64.52,64.91,63.2,63.3,53193.0
2013-11-27,63.59,64.2,63.06,64.16,62072.0
2013-11-26,63.23,63.69,62.98,63.39,125230.0
2013-11-25,63.2,63.68,62.86,63.1,116367.0
2013-11-22,62.95,63.05,62.03,63.02,45934.0
2013-11-21,62.5,63.99,62.5,62.86,47122.0
2013-11-20,63.21,63.21,62.4,62.48,45250.0
2013-11-19,62.85,63.0,62.36,62.96,83035.0
2013-11-18,62.6,63.0,62.23,62.71,26210.0
2013-11-15,63.02,63.02,61.85,62.36,61350.0
2013-11-14,62.5,63.0,62.04,62.83,64176.0
2013-11-13,61.86,62.51,61.67,62.32,75147.0
2013-11-12,63.04,63.23,62.24,62.37,49206.0
2013-11-11,64.05,64.06,63.01,63.11,18262.0
2013-11-08,62.48,64.34,62.46,63.92,55068.0
2013-11-07,62.47,62.94,62.11,62.19,72100.0
2013-11-06,62.15,62.55,61.95,62.46,41847.0
2013-11-05,61.81,62.19,61.74,62.02,124787.0
2013-11-04,61.82,62.2,61.64,61.83,82137.0
2013-11-01,61.2,62.15,60.7,61.61,97256.0
2013-10-31,64.32,64.32,60.59,61.23,194133.0
2013-10-30,64.39,65.23,63.31,64.19,87708.0
2013-10-29,64.5,64.83,64.13,64.39,83447.0
2013-10-28,64.11,65.18,64.11,64.68,55419.0
2013-10-25,64.0,64.38,63.91,64.18,94723.0
2013-10-24,63.98,64.32,63.5,63.95,30118.0
2013-10-23,64.0,64.36,63.53,63.92,82249.0
2013-10-22,64.08,64.37,63.52,64.05,55292.0
2013-10-21,63.7,64.57,63.69,64.22,62675.0
2013-10-18,63.87,64.65,63.38,63.78,119985.0
2013-10-17,63.37,63.9,62.99,63.69,67230.0
2013-10-16,63.61,64.29,63.57,63.64,41148.0
2013-10-15,63.66,64.07,63.34,63.46,44856.0
2013-10-14,63.35,64.48,63.35,63.77,41050.0
2013-10-11,61.93,63.88,61.91,63.66,77812.0
2013-10-10,62.14,62.91,61.9,62.2,198730.0
2013-10-09,61.74,62.38,61.57,61.84,62183.0
2013-10-08,62.1,63.04,61.57,61.59,47560.0
2013-10-07,62.71,62.97,61.96,62.1,26044.0
2013-10-04,62.31,63.26,62.31,63.07,48968.0
2013-10-03,62.67,62.89,62.43,62.71,45286.0
2013-10-02,63.79,63.79,62.5,62.73,108899.0
2013-10-01,63.53,64.01,63.16,63.86,61367.0
2013-09-30,63.41,63.88,62.93,63.35,76068.0
2013-09-27,63.8,64.61,63.11,63.74,71886.0
2013-09-26,64.25,64.72,63.54,63.92,29739.0
2013-09-25,64.5,64.84,63.82,64.17,70461.0
2013-09-24,64.32,64.76,64.15,64.39,56007.0
2013-09-23,65.18,65.18,64.17,64.38,55842.0
2013-09-20,64.73,65.81,64.73,64.91,294634.0
2013-09-19,64.17,64.92,63.82,64.48,105638.0
2013-09-18,65.26,65.45,64.25,64.35,59434.0
2013-09-17,64.29,65.35,64.29,65.12,37632.0
2013-09-16,64.65,65.1,64.04,64.4,48867.0
2013-09-13,64.14,64.47,63.35,64.11,33207.0
2013-09-12,64.72,64.72,63.87,64.02,49594.0
2013-09-11,64.99,64.99,64.41,64.55,25504.0
2013-09-10,65.06,65.2,64.5,65.16,35808.0
2013-09-09,64.97,65.02,64.26,64.5,71903.0
2013-09-06,64.62,65.46,63.51,64.71,60664.0
2013-09-05,63.71,64.7,63.5,64.36,58469.0
2013-09-04,64.17,64.77,63.38,63.53,97975.0
2013-09-03,64.63,65.56,63.49,64.1,48971.0
2013-08-30,65.1,65.1,63.83,64.09,62309.0
2013-08-29,64.79,65.18,64.33,64.83,55161.0
2013-08-28,65.17,65.6,64.67,64.73,33626.0
2013-08-27,66.35,66.46,64.88,65.03,60215.0
2013-08-26,66.78,67.04,66.3,66.48,30897.0
2013-08-23,67.27,67.27,66.19,66.64,19979.0
2013-08-22,66.48,67.12,66.22,67.01,16531.0
2013-08-21,66.56,67.0,66.0,66.27,48841.0
2013-08-20,66.18,67.23,66.18,66.74,39869.0
2013-08-19,66.36,67.0,66.04,66.32,57401.0
2013-08-16,66.78,66.86,65.67,66.16,51070.0
2013-08-15,66.1,66.1,65.66,65.89,111668.0
2013-08-14,66.0,66.32,65.95,66.15,54550.0
2013-08-13,66.11,66.4,65.68,66.31,55450.0
2013-08-12,65.81,66.09,65.52,65.99,45840.0
2013-08-09,66.42,66.54,65.67,65.9,26214.0
2013-08-08,66.39,66.7,65.84,66.28,37056.0
2013-08-07,66.1,66.52,65.83,66.07,31967.0
2013-08-06,67.23,67.32,66.26,66.33,43178.0
2013-08-05,66.81,67.32,66.61,67.18,42585.0
2013-08-02,67.44,67.53,66.64,67.08,62796.0
2013-08-01,67.0,68.18,66.46,67.72,54975.0
2013-07-31,67.6,67.6,65.0,66.69,55411.0
2013-07-30,68.09,68.37,67.78,67.86,58924.0
2013-07-29,68.43,68.66,67.73,68.01,111342.0
2013-07-26,68.29,68.67,67.86,68.46,46183.0
2013-07-25,68.86,69.28,68.09,68.29,49665.0
2013-07-24,68.83,69.36,68.47,68.93,63987.0
2013-07-23,68.77,68.95,68.04,68.58,49384.0
2013-07-22,68.45,68.8,67.72,68.51,63260.0
2013-07-19,68.08,68.57,67.87,68.11,37106.0
2013-07-18,67.37,68.23,67.34,68.01,33352.0
2013-07-17,66.66,67.21,66.3,67.08,55978.0
2013-07-16,66.72,67.04,65.85,66.63,54240.0
2013-07-15,66.93,67.26,66.34,66.8,127520.0
2013-07-12,66.18,66.92,66.18,66.72,112254.0
2013-07-11,66.23,66.5,65.48,65.96,76297.0
2013-07-10,66.01,66.3,65.51,66.02,55567.0
2013-07-09,66.5,66.5,65.38,66.19,102181.0
2013-07-08,66.88,67.1,65.77,66.01,65358.0
2013-07-05,65.59,66.38,63.53,66.38,29914.0
2013-07-03,65.0,65.49,64.56,65.01,26079.0
2013-07-02,65.1,66.28,65.0,65.15,54329.0
2013-07-01,64.48,65.74,64.48,64.96,53595.0
2013-06-28,64.3,64.5,63.85,64.05,116695.0
2013-06-27,63.66,64.53,63.02,64.23,58964.0
2013-06-26,63.38,63.69,62.85,63.33,82905.0
2013-06-25,62.8,63.14,62.25,62.98,98146.0
2013-06-24,62.51,63.17,62.4,62.63,131840.0
2013-06-21,63.17,63.3,62.57,62.97,251477.0
2013-06-20,62.95,63.2,62.73,63.03,120623.0
2013-06-19,63.61,63.63,62.9,63.08,44199.0
2013-06-18,63.12,63.55,62.85,63.47,61842.0
2013-06-17,63.01,63.38,62.64,62.98,45841.0
2013-06-14,63.67,63.83,62.78,62.99,42443.0
2013-06-13,63.26,63.92,63.22,63.59,45131.0
2013-06-12,64.43,64.43,63.34,63.5,38080.0
2013-06-11,63.87,64.8,63.19,64.22,42032.0
2013-06-10,64.35,64.47,63.95,64.21,58517.0
2013-06-07,64.54,64.54,63.85,64.14,52202.0
2013-06-06,64.04,64.42,63.37,64.21,39902.0
2013-06-05,64.71,64.85,63.8,63.91,38151.0
2013-06-04,65.27,65.56,64.54,64.79,55470.0
2013-06-03,65.02,65.46,64.83,65.33,89702.0
2013-05-31,64.72,65.21,64.59,65.1,60373.0
2013-05-30,64.69,65.19,64.62,64.7,60282.0
2013-05-29,64.89,65.43,64.5,64.7,38691.0
2013-05-28,65.37,65.57,64.77,65.29,96441.0
2013-05-24,64.22,65.09,64.2,64.98,21055.0
2013-05-23,64.65,64.8,64.08,64.58,40572.0
2013-05-22,65.58,66.18,64.77,65.02,47831.0
2013-05-21,65.85,65.85,65.26,65.64,80073.0
2013-05-20,65.8,66.22,65.48,65.95,42875.0
2013-05-17,64.85,65.84,64.56,65.69,25802.0
2013-05-16,64.89,65.44,64.66,64.91,33211.0
2013-05-15,64.85,65.46,64.8,65.14,42194.0
2013-05-14,65.1,65.46,64.81,65.17,95216.0
2013-05-13,64.96,65.45,64.49,64.97,18499.0
2013-05-10,64.47,65.21,64.47,64.87,20574.0
2013-05-09,64.72,64.73,64.15,64.35,25778.0
2013-05-08,65.01,65.38,64.5,64.85,58594.0
