Date,Open,High,Low,Close,Volume
2014-04-07,31.01,31.22,30.43,30.76,658265.0
2014-04-04,31.58,31.79,30.91,31.03,995306.0
2014-04-03,31.37,31.51,31.04,31.42,971360.0
2014-04-02,31.4,31.5,31.0,31.41,501336.0
2014-04-01,31.05,31.42,30.78,31.36,648829.0
2014-03-31,30.39,31.04,30.39,30.99,489352.0
2014-03-28,30.51,30.98,30.04,30.14,943227.0
2014-03-27,30.83,31.0,30.39,30.46,597718.0
2014-03-26,31.63,31.68,30.72,30.76,782745.0
2014-03-25,31.62,31.76,31.29,31.5,730714.0
2014-03-24,31.15,31.75,31.15,31.41,1104610.0
2014-03-21,31.5,32.74,31.11,31.2,1617681.0
2014-03-20,30.46,31.49,30.45,31.28,917229.0
2014-03-19,30.29,31.11,30.14,30.55,1010799.0
2014-03-18,29.43,30.35,29.24,30.28,1140486.0
2014-03-17,29.17,29.5,29.0,29.18,613698.0
2014-03-14,29.11,29.42,28.71,29.04,815071.0
2014-03-13,29.87,30.13,29.02,29.11,903881.0
2014-03-12,30.17,30.36,29.4,29.81,798441.0
2014-03-11,30.07,30.6,29.95,30.26,1318389.0
2014-03-10,29.44,30.11,29.2,30.08,992981.0
2014-03-07,29.75,30.06,29.25,29.47,751767.0
2014-03-06,29.66,29.89,29.42,29.68,917558.0
2014-03-05,29.25,29.89,29.25,29.66,1131348.0
2014-03-04,28.36,29.52,28.25,29.37,973460.0
2014-03-03,28.3,28.5,28.03,28.15,739961.0
2014-02-28,27.68,28.82,27.57,28.59,2135523.0
2014-02-27,27.68,27.75,27.22,27.72,460976.0
2014-02-26,27.09,27.56,26.95,27.42,608431.0
2014-02-25,27.68,27.68,27.01,27.14,668661.0
2014-02-24,26.74,27.72,26.58,27.57,1277014.0
2014-02-21,26.59,26.8,26.36,26.69,847269.0
2014-02-20,26.78,26.98,25.96,26.59,1078864.0
2014-02-19,27.71,28.2,26.7,26.75,1141893.0
2014-02-18,27.68,27.89,27.56,27.8,581674.0
2014-02-14,27.36,27.75,27.23,27.58,710772.0
2014-02-13,26.97,27.37,26.63,27.31,703971.0
2014-02-12,27.1,27.66,26.82,27.1,805222.0
