Date,Open,High,Low,Close,Volume
2014-04-07,10.44,10.49,9.94,10.14,8224049.0
2014-04-04,10.7,10.85,10.46,10.5,5801076.0
2014-04-03,10.8,10.87,10.6,10.67,6634594.0
2014-04-02,10.86,10.96,10.67,10.79,6190210.0
2014-04-01,10.66,10.88,10.6,10.84,7202986.0
2014-03-31,10.25,10.63,10.21,10.61,5360478.0
2014-03-28,10.16,10.22,10.04,10.15,5984549.0
2014-03-27,10.24,10.25,10.09,10.14,3202018.0
2014-03-26,10.48,10.59,10.25,10.25,6942176.0
2014-03-25,10.27,10.55,10.27,10.46,4615035.0
2014-03-24,10.4,10.44,10.12,10.26,4379702.0
2014-03-21,10.48,10.53,10.36,10.4,5032043.0
2014-03-20,10.26,10.47,10.17,10.41,5793524.0
2014-03-19,10.12,10.28,9.99,10.26,7089665.0
2014-03-18,9.98,10.14,9.96,10.04,6642630.0
2014-03-17,9.76,9.95,9.76,9.92,2968387.0
2014-03-14,9.88,9.92,9.81,9.86,4412323.0
2014-03-13,9.96,10.0,9.81,9.88,6007565.0
2014-03-12,9.95,10.01,9.85,9.96,4189999.0
2014-03-11,10.15,10.21,9.9,10.0,5292198.0
2014-03-10,10.17,10.28,10.1,10.14,5421960.0
2014-03-07,10.22,10.25,10.14,10.18,8510648.0
2014-03-06,10.0,10.29,9.99,10.2,12758300.0
2014-03-05,9.66,10.02,9.64,10.01,11667608.0
2014-03-04,9.68,9.71,9.64,9.66,5499525.0
2014-03-03,9.49,9.62,9.44,9.6,3848160.0
2014-02-28,9.65,9.71,9.53,9.57,2777798.0
2014-02-27,9.59,9.77,9.58,9.71,4877199.0
2014-02-26,9.56,9.66,9.52,9.6,2739726.0
2014-02-25,9.59,9.62,9.51,9.56,4529244.0
2014-02-24,9.53,9.66,9.43,9.59,4672305.0
2014-02-21,9.7,9.7,9.46,9.53,5702912.0
2014-02-20,9.61,9.72,9.55,9.66,4949764.0
2014-02-19,9.61,9.73,9.54,9.64,8134586.0
2014-02-18,9.65,9.69,9.54,9.6,6064211.0
2014-02-14,9.65,9.93,9.48,9.62,15294598.0
2014-02-13,9.24,9.49,9.17,9.43,7638632.0
2014-02-12,9.35,9.43,9.28,9.3,4703232.0
2014-02-11,9.45,9.45,9.21,9.36,5009381.0
2014-02-10,9.43,9.51,9.32,9.48,3412544.0
2014-02-07,9.45,9.54,9.32,9.45,3279896.0
2014-02-06,9.26,9.42,9.21,9.4,2621904.0
2014-02-05,9.23,9.24,9.06,9.18,5126630.0
2014-02-04,9.19,9.27,9.12,9.23,3699106.0
2014-02-03,9.33,9.4,9.18,9.19,5269990.0
2014-01-31,9.43,9.48,9.31,9.34,2789684.0
2014-01-30,9.4,9.57,9.37,9.51,3222112.0
2014-01-29,9.43,9.53,9.33,9.34,4564968.0
2014-01-28,9.47,9.52,9.37,9.45,4343842.0
2014-01-27,9.42,9.57,9.35,9.49,6498253.0
2014-01-24,9.53,9.63,9.38,9.4,4677862.0
2014-01-23,9.55,9.6,9.46,9.58,6966783.0
2014-01-22,9.54,9.6,9.48,9.52,6121919.0
2014-01-21,9.6,9.6,9.48,9.55,4294921.0
2014-01-17,9.59,9.6,9.48,9.5,4345918.0
2014-01-16,9.7,9.7,9.53,9.59,3013404.0
2014-01-15,9.43,9.7,9.43,9.7,7016784.0
2014-01-14,9.4,9.52,9.31,9.42,7457399.0
2014-01-13,9.32,9.36,9.13,9.14,5488100.0
2014-01-10,9.25,9.3,9.12,9.28,4861112.0
2014-01-09,9.06,9.25,9.0,9.24,12535921.0
2014-01-08,9.0,9.16,8.93,9.03,7418700.0
2014-01-07,8.93,9.02,8.92,9.0,7204522.0
2014-01-06,8.89,8.95,8.78,8.92,5424267.0
2014-01-03,8.8,8.88,8.78,8.86,3011692.0
2014-01-02,8.83,8.96,8.8,8.82,4360789.0
2013-12-31,8.75,8.98,8.73,8.86,4125419.0
2013-12-30,8.7,8.82,8.65,8.77,4185235.0
2013-12-27,8.68,8.71,8.62,8.7,2360165.0
2013-12-26,8.65,8.75,8.65,8.67,2516748.0
2013-12-24,8.66,8.71,8.63,8.68,1463094.0
2013-12-23,8.49,8.75,8.49,8.63,4639254.0
2013-12-20,8.58,8.67,8.5,8.61,8025153.0
2013-12-19,8.47,8.58,8.46,8.55,3690844.0
2013-12-18,8.58,8.58,8.33,8.46,3044458.0
2013-12-17,8.26,8.6,8.24,8.56,8876507.0
2013-12-16,8.38,8.39,8.24,8.25,4953854.0
2013-12-13,8.35,8.4,8.27,8.38,3760132.0
2013-12-12,8.43,8.45,8.25,8.29,2593451.0
2013-12-11,8.45,8.59,8.43,8.43,4936371.0
2013-12-10,8.56,8.68,8.5,8.62,4665387.0
2013-12-09,8.6,8.65,8.51,8.59,4296079.0
2013-12-06,8.65,8.69,8.57,8.6,3734990.0
2013-12-05,8.61,8.64,8.53,8.57,2274653.0
2013-12-04,8.6,8.69,8.5,8.6,4197572.0
2013-12-03,8.28,8.55,8.26,8.53,3754834.0
2013-12-02,8.75,8.84,8.59,8.6,4089192.0
2013-11-29,8.84,8.84,8.67,8.79,1828114.0
2013-11-27,8.69,8.71,8.63,8.67,2728437.0
2013-11-26,8.68,8.73,8.57,8.64,3437321.0
2013-11-25,8.8,8.86,8.61,8.67,3978302.0
2013-11-22,8.87,8.98,8.85,8.89,4473998.0
2013-11-21,8.85,9.03,8.82,8.85,4773120.0
2013-11-20,8.74,8.97,8.7,8.8,7585457.0
2013-11-19,8.3,8.91,8.21,8.77,15343326.0
2013-11-18,8.12,8.16,8.06,8.1,7146774.0
2013-11-15,8.14,8.17,8.09,8.09,4287528.0
2013-11-14,8.29,8.32,8.03,8.14,8901077.0
2013-11-13,8.21,8.33,8.2,8.33,7181050.0
2013-11-12,8.22,8.26,8.2,8.22,4992247.0
2013-11-11,8.17,8.26,8.16,8.23,3612190.0
2013-11-08,8.01,8.25,7.99,8.19,4261314.0
2013-11-07,8.02,8.1,7.94,8.03,3435918.0
2013-11-06,8.11,8.18,7.98,8.01,2952215.0
2013-11-05,8.03,8.09,7.92,8.07,3736500.0
2013-11-04,8.07,8.17,8.05,8.1,3483142.0
2013-11-01,8.04,8.09,7.97,8.06,4292617.0
2013-10-31,7.96,8.08,7.92,8.02,3679806.0
2013-10-30,8.0,8.08,7.96,7.98,4365191.0
2013-10-29,7.93,8.11,7.91,8.0,5334064.0
2013-10-28,7.8,7.98,7.77,7.93,4587103.0
2013-10-25,7.82,7.9,7.77,7.83,3846990.0
2013-10-24,8.05,8.07,7.66,7.81,6386751.0
2013-10-23,8.13,8.15,7.97,8.02,3932315.0
2013-10-22,8.35,8.43,8.12,8.13,5085272.0
2013-10-21,8.29,8.34,8.19,8.31,5777933.0
2013-10-18,8.2,8.4,8.2,8.23,6054473.0
2013-10-17,8.17,8.24,8.07,8.18,4988565.0
2013-10-16,8.16,8.21,8.1,8.18,3832486.0
2013-10-15,8.33,8.38,8.11,8.16,5951015.0
2013-10-14,8.19,8.38,8.16,8.33,4842093.0
2013-10-11,8.02,8.23,7.91,8.22,5263107.0
2013-10-10,8.1,8.2,7.99,8.01,21612785.0
