Date,Open,High,Low,Close,Volume
2014-04-07,11.75,12.07,11.23,11.39,156349.0
2014-04-04,12.37,12.86,11.68,11.87,153064.0
2014-04-03,13.41,13.43,11.56,12.36,560383.0
2014-04-02,12.75,14.0,12.51,13.46,556393.0
2014-04-01,12.28,12.75,11.89,12.67,383155.0
2014-03-31,11.53,12.27,11.39,12.22,337098.0
2014-03-28,11.0,11.65,11.0,11.38,267748.0
2014-03-27,10.48,11.24,10.01,11.03,423386.0
2014-03-26,10.5,10.94,10.45,10.47,195247.0
2014-03-25,10.51,10.64,9.84,10.37,209045.0
2014-03-24,10.71,10.75,9.82,10.46,199101.0
2014-03-21,10.8,11.45,10.54,10.63,275481.0
2014-03-20,10.43,10.82,10.3,10.7,123606.0
2014-03-19,10.34,10.6,10.16,10.43,171743.0
2014-03-18,9.61,10.29,9.43,10.18,187964.0
2014-03-17,9.67,10.1,9.58,9.58,133315.0
2014-03-14,9.7,10.23,9.5,9.74,150265.0
2014-03-13,9.78,10.18,9.65,9.71,132907.0
2014-03-12,10.19,10.45,9.25,9.75,400995.0
2014-03-11,10.82,10.94,10.28,10.5,261589.0
2014-03-10,10.75,10.98,10.54,10.82,138033.0
2014-03-07,10.82,10.92,10.51,10.75,150742.0
2014-03-06,10.33,11.34,10.19,10.65,494112.0
2014-03-05,10.15,10.4,9.91,10.32,89848.0
2014-03-04,9.98,10.38,9.92,10.1,162325.0
2014-03-03,9.51,10.05,9.51,9.82,161315.0
2014-02-28,9.53,10.15,9.42,9.65,200687.0
2014-02-27,9.02,9.54,8.82,9.5,172619.0
2014-02-26,8.73,9.15,8.65,9.05,128020.0
2014-02-25,8.9,9.24,8.58,8.71,132739.0
2014-02-24,8.56,9.17,8.54,8.92,118030.0
2014-02-21,8.86,9.05,8.52,8.6,88069.0
2014-02-20,8.64,9.01,8.4,8.86,153759.0
2014-02-19,8.76,8.82,8.5,8.59,115087.0
2014-02-18,8.29,8.85,8.24,8.82,98029.0
2014-02-14,8.57,8.74,8.23,8.27,87937.0
2014-02-13,8.13,8.6,8.07,8.57,76535.0
2014-02-12,8.21,8.3,8.1,8.15,121383.0
2014-02-11,8.38,8.46,8.04,8.23,102185.0
2014-02-10,8.26,8.43,7.94,8.38,93454.0
2014-02-07,8.47,8.52,8.11,8.25,105707.0
2014-02-06,7.75,8.49,7.52,8.42,181623.0
2014-02-05,8.36,8.36,8.03,8.18,128151.0
2014-02-04,8.67,8.85,8.25,8.38,189512.0
2014-02-03,9.25,9.25,8.51,8.63,227232.0
2014-01-31,8.93,9.38,8.82,9.24,115838.0
2014-01-30,9.23,9.29,8.86,9.09,65816.0
2014-01-29,8.9,9.44,8.84,9.08,83237.0
2014-01-28,9.24,9.38,8.92,9.02,102436.0
2014-01-27,9.15,9.48,8.81,9.22,159693.0
2014-01-24,9.96,9.98,8.88,9.0,288009.0
2014-01-23,10.45,10.57,9.59,10.06,264000.0
2014-01-22,10.26,10.69,9.98,10.49,151436.0
2014-01-21,10.34,10.6,10.02,10.24,211838.0
2014-01-17,10.84,10.84,10.13,10.31,151427.0
2014-01-16,10.97,11.3,10.5,10.79,173547.0
2014-01-15,10.26,11.24,10.18,11.02,245421.0
2014-01-14,10.21,10.47,10.11,10.2,151844.0
2014-01-13,10.47,10.88,10.0,10.21,276474.0
2014-01-10,11.67,11.94,10.37,10.78,443830.0
2014-01-09,10.59,11.76,10.33,11.7,715999.0
2014-01-08,9.92,10.69,9.77,10.55,320337.0
2014-01-07,9.98,10.28,9.62,9.96,293394.0
2014-01-06,10.57,10.84,9.75,9.93,406693.0
2014-01-03,9.8,10.65,9.63,10.38,688666.0
2014-01-02,9.41,9.93,8.89,9.9,296166.0
2013-12-31,9.8,9.8,9.4,9.44,167533.0
2013-12-30,9.39,9.9,9.36,9.8,333560.0
2013-12-27,9.71,9.82,9.34,9.52,146901.0
2013-12-26,9.54,9.7,9.34,9.7,194198.0
2013-12-24,9.82,9.98,9.38,9.45,231580.0
2013-12-23,9.85,10.24,9.44,9.62,643114.0
2013-12-20,8.7,9.25,8.54,9.0,405681.0
2013-12-19,8.35,8.9,7.96,8.71,481851.0
2013-12-18,7.77,9.23,7.76,8.43,1447428.0
2013-12-17,6.8,7.71,6.73,7.54,512690.0
2013-12-16,6.07,8.34,5.98,6.56,696978.0
2013-12-13,5.51,6.38,5.5,6.25,214287.0
2013-12-12,5.64,5.93,5.55,5.56,92692.0
2013-12-11,5.2,5.75,5.17,5.69,226004.0
2013-12-10,5.26,5.5,5.1,5.13,252557.0
2013-12-09,5.81,5.91,5.27,5.43,294049.0
2013-12-06,6.1,6.13,5.79,5.88,208494.0
2013-12-05,6.27,6.31,6.05,6.06,128720.0
2013-12-04,6.26,6.4,6.17,6.29,121190.0
2013-12-03,6.23,6.4,6.11,6.17,109791.0
2013-12-02,6.57,6.57,6.21,6.23,110707.0
2013-11-29,6.59,6.6,6.42,6.6,86339.0
2013-11-27,6.79,6.86,6.42,6.57,97474.0
2013-11-26,6.53,6.78,6.2,6.76,150710.0
2013-11-25,6.84,7.01,6.5,6.61,159597.0
2013-11-22,6.89,6.99,6.62,6.81,124271.0
2013-11-21,6.87,6.94,6.53,6.93,118080.0
2013-11-20,6.81,7.2,6.81,6.83,88258.0
2013-11-19,7.27,7.44,6.72,6.86,184208.0
2013-11-18,7.59,7.63,7.29,7.29,134710.0
2013-11-15,7.38,7.65,7.31,7.61,102650.0
2013-11-14,7.44,7.66,7.21,7.38,74891.0
2013-11-13,7.21,7.46,7.05,7.44,74122.0
2013-11-12,7.53,7.68,7.18,7.27,71808.0
2013-11-11,7.42,7.55,7.23,7.53,101454.0
2013-11-08,7.34,7.59,7.31,7.48,113268.0
2013-11-07,7.52,7.6,7.25,7.3,159016.0
2013-11-06,7.28,7.6,7.28,7.56,247587.0
2013-11-05,7.43,7.64,7.25,7.27,183581.0
2013-11-04,7.03,7.92,7.03,7.54,311563.0
2013-11-01,7.32,7.45,7.06,7.14,225048.0
2013-10-31,7.6,7.6,6.5,7.3,507761.0
2013-10-30,7.87,8.03,7.43,7.6,172530.0
2013-10-29,7.73,8.13,7.7,7.84,222184.0
2013-10-28,8.17,8.21,7.38,7.76,429656.0
2013-10-25,7.91,8.36,7.91,8.16,244521.0
2013-10-24,8.63,8.7,7.76,7.99,400865.0
2013-10-23,8.72,8.76,8.28,8.62,220988.0
2013-10-22,9.21,9.24,7.81,8.79,768759.0
2013-10-21,9.98,10.04,9.02,9.26,373218.0
2013-10-18,10.03,10.04,9.7,9.93,154049.0
2013-10-17,10.06,10.25,9.68,10.0,254951.0
2013-10-16,9.66,10.3,9.66,10.12,263352.0
2013-10-15,9.89,10.43,9.42,9.6,427578.0
2013-10-14,9.5,9.94,9.21,9.77,357410.0
2013-10-11,9.0,9.73,8.92,9.45,333539.0
2013-10-10,8.65,9.09,8.49,8.84,225120.0
2013-10-09,8.24,8.52,7.9,8.45,144482.0
2013-10-08,8.64,8.9,8.13,8.23,243171.0
2013-10-07,8.28,8.89,8.2,8.55,347591.0
2013-10-04,8.19,8.32,8.03,8.16,119147.0
2013-10-03,7.98,8.23,7.75,8.18,156259.0
2013-10-02,7.63,8.05,7.62,7.96,101804.0
2013-10-01,7.8,7.97,7.5,7.65,166638.0
2013-09-30,7.68,7.95,7.44,7.85,94494.0
2013-09-27,8.01,8.02,7.66,7.82,143876.0
2013-09-26,7.6,8.23,7.6,7.98,252235.0
2013-09-25,7.24,7.8,7.24,7.58,173511.0
2013-09-24,7.35,7.5,7.12,7.25,173777.0
2013-09-23,7.49,7.65,7.34,7.38,189191.0
2013-09-20,7.49,7.54,7.27,7.54,187552.0
2013-09-19,7.42,7.65,7.34,7.47,174963.0
2013-09-18,7.1,7.4,7.1,7.38,137545.0
