Date,Open,High,Low,Close,Volume
2014-04-07,31.1,31.44,30.86,31.26,3551300.0
2014-04-04,31.94,31.94,30.99,31.08,2769795.0
2014-04-03,31.99,31.99,31.5,31.67,2942445.0
2014-04-02,31.6,31.89,31.37,31.84,2849031.0
2014-04-01,31.08,31.61,31.07,31.59,4072595.0
2014-03-31,31.03,31.13,30.87,30.98,2191910.0
2014-03-28,30.61,31.07,30.46,30.84,2163304.0
2014-03-27,30.6,30.8,30.47,30.53,3207135.0
2014-03-26,31.16,31.26,30.65,30.66,2040001.0
2014-03-25,31.02,31.23,30.65,30.98,3392152.0
2014-03-24,31.14,31.26,30.26,31.01,4856940.0
2014-03-21,32.63,32.69,31.05,31.11,8068779.0
2014-03-20,32.14,32.46,32.0,32.25,1889552.0
2014-03-19,31.67,32.46,31.56,32.15,2891027.0
2014-03-18,31.93,32.43,31.81,32.38,3290013.0
2014-03-17,31.56,31.96,31.56,31.85,2798159.0
2014-03-14,31.73,32.07,31.47,31.48,3309354.0
2014-03-13,32.46,32.55,31.76,31.87,4387595.0
2014-03-12,32.48,32.55,32.16,32.4,4795729.0
2014-03-11,32.8,32.82,32.52,32.65,2246351.0
2014-03-10,32.94,33.0,32.66,32.82,1960318.0
2014-03-07,33.25,33.32,32.74,32.93,2352223.0
2014-03-06,33.37,33.42,33.17,33.21,1806804.0
2014-03-05,33.22,33.39,33.12,33.25,1565969.0
2014-03-04,33.44,33.62,33.29,33.39,2345311.0
2014-03-03,33.32,33.34,32.82,33.14,2148823.0
2014-02-28,33.47,33.7,33.18,33.5,2543989.0
2014-02-27,33.02,33.44,32.82,33.39,2853185.0
2014-02-26,32.76,33.25,32.3,32.92,3769781.0
2014-02-25,32.79,32.79,32.39,32.62,2156550.0
2014-02-24,32.58,32.88,32.43,32.67,1868074.0
2014-02-21,32.81,32.89,32.41,32.42,3808186.0
2014-02-20,32.42,32.82,32.36,32.67,2767766.0
2014-02-19,32.4,32.76,32.23,32.45,3272966.0
2014-02-18,32.62,33.0,32.53,32.9,2225850.0
2014-02-14,32.9,33.15,32.83,32.99,2733641.0
2014-02-13,32.52,33.1,32.52,33.08,2067254.0
2014-02-12,32.27,32.7,32.17,32.67,3015345.0
2014-02-11,31.95,32.36,31.89,32.3,3126958.0
2014-02-10,32.08,32.19,31.86,32.07,3492745.0
2014-02-07,31.71,32.64,31.66,32.17,2774984.0
2014-02-06,31.34,31.68,31.13,31.62,2517840.0
2014-02-05,30.91,31.26,30.75,31.16,2652873.0
2014-02-04,31.26,31.41,30.97,31.22,2820334.0
2014-02-03,32.0,32.06,31.01,31.19,4474625.0
2014-01-31,31.99,32.42,31.81,32.09,3902729.0
2014-01-30,32.43,32.59,32.04,32.33,2395964.0
2014-01-29,32.4,32.52,32.05,32.2,3061645.0
2014-01-28,32.15,32.56,31.96,32.55,3718658.0
2014-01-27,32.28,32.57,32.1,32.24,4677985.0
2014-01-24,33.29,33.42,32.66,32.66,4023322.0
2014-01-23,34.07,34.21,33.28,33.65,4364472.0
2014-01-22,36.18,36.22,34.29,34.3,6245209.0
2014-01-21,34.55,34.61,34.0,34.26,4447435.0
2014-01-17,34.07,34.46,33.95,34.43,3719067.0
2014-01-16,34.12,34.52,33.95,34.05,4178656.0
2014-01-15,34.02,34.42,33.8,34.12,3856843.0
