Date,Open,High,Low,Close,Volume
2014-04-07,136.52,136.52,131.06,133.8,30695.0
2014-04-04,144.7,144.7,136.59,137.17,83151.0
2014-04-03,144.65,144.65,142.85,143.24,10707.0
2014-04-02,142.5,144.16,141.67,143.81,19828.0
2014-04-01,141.72,142.48,138.97,142.28,23129.0
2014-03-31,142.46,143.92,140.06,142.15,37169.0
2014-03-28,138.3,143.74,137.94,140.82,35437.0
2014-03-27,139.99,141.65,137.19,137.41,30522.0
2014-03-26,141.49,142.24,139.37,139.37,34773.0
2014-03-25,141.98,142.17,139.5,139.93,33624.0
2014-03-24,142.52,143.32,140.54,140.6,26516.0
2014-03-21,141.8,142.7,140.6,141.94,57103.0
2014-03-20,140.84,142.68,140.84,141.2,32428.0
2014-03-19,141.67,142.22,140.62,141.85,14537.0
2014-03-18,142.01,143.5,140.6,141.85,20995.0
2014-03-17,142.64,145.3,140.7,141.4,19108.0
2014-03-14,140.55,144.8,140.55,141.3,18502.0
2014-03-13,145.14,145.14,139.42,141.61,19879.0
2014-03-12,141.79,145.4,141.31,145.19,17982.0
2014-03-11,147.16,147.16,141.1,143.04,25768.0
2014-03-10,146.2,148.78,145.0,146.89,18226.0
2014-03-07,146.69,146.69,144.67,145.95,16367.0
2014-03-06,146.13,147.25,144.79,145.34,18258.0
2014-03-05,143.77,150.89,135.36,146.2,47775.0
2014-03-04,138.14,145.29,138.08,143.55,43800.0
2014-03-03,136.8,137.4,135.05,136.2,12952.0
2014-02-28,138.33,140.0,136.38,138.14,26429.0
2014-02-27,134.37,139.17,134.37,138.8,22790.0
2014-02-26,133.35,134.84,133.1,134.48,45939.0
2014-02-25,133.2,134.4,132.73,133.35,13549.0
2014-02-24,132.81,134.96,132.81,133.38,23164.0
2014-02-21,134.64,134.7,132.14,133.2,19982.0
2014-02-20,130.5,135.59,130.5,133.73,15808.0
2014-02-19,133.88,133.88,129.82,130.4,13978.0
2014-02-18,134.7,136.93,133.95,134.56,38097.0
2014-02-14,134.4,134.7,133.04,134.01,14568.0
2014-02-13,131.28,134.44,131.28,133.95,22082.0
2014-02-12,131.54,132.2,130.95,131.9,13891.0
2014-02-11,129.35,132.16,129.35,131.8,19960.0
2014-02-10,130.0,130.0,128.0,129.35,31243.0
2014-02-07,129.56,131.27,129.1,129.84,21327.0
2014-02-06,130.0,130.51,127.5,129.64,19902.0
2014-02-05,130.57,135.02,128.75,129.57,42228.0
2014-02-04,132.58,132.85,127.84,131.7,58982.0
2014-02-03,138.05,138.85,131.7,133.4,43136.0
2014-01-31,130.5,149.86,129.47,139.18,118160.0
2014-01-30,130.33,132.74,130.04,132.15,30331.0
2014-01-29,128.6,129.83,127.7,128.73,28575.0
2014-01-28,128.32,130.78,127.6,129.12,33433.0
2014-01-27,132.35,132.72,130.26,130.26,26913.0
2014-01-24,134.09,134.09,130.23,131.69,19425.0
2014-01-23,138.44,138.44,133.24,134.35,30283.0
2014-01-22,140.27,141.0,138.27,138.56,15391.0
2014-01-21,140.67,141.1,138.86,139.48,27180.0
2014-01-17,142.57,143.23,138.35,139.12,42076.0
2014-01-16,136.58,141.52,136.05,140.55,40626.0
2014-01-15,136.51,138.71,135.4,136.89,34165.0
2014-01-14,133.92,136.33,133.5,136.09,26619.0
2014-01-13,133.36,135.83,133.0,133.82,32248.0
2014-01-10,129.03,134.18,128.29,134.0,50177.0
2014-01-09,128.93,128.93,127.31,128.43,17186.0
2014-01-08,130.35,130.45,127.76,128.42,23327.0
2014-01-07,130.3,130.8,127.33,129.81,28554.0
2014-01-06,131.45,132.0,128.35,129.52,37675.0
2014-01-03,129.84,131.93,127.01,131.46,19619.0
2014-01-02,129.99,130.49,128.62,129.75,30811.0
2013-12-31,129.4,130.63,127.85,129.99,30318.0
2013-12-30,126.06,129.09,126.06,129.09,12351.0
2013-12-27,129.4,129.4,128.35,128.9,18767.0
2013-12-26,129.8,129.83,128.0,129.04,20368.0
2013-12-24,129.0,129.85,128.8,129.41,27949.0
2013-12-23,130.35,130.46,128.71,129.2,41484.0
2013-12-20,130.53,131.44,128.91,129.56,83412.0
2013-12-19,130.85,132.2,129.51,129.94,46782.0
2013-12-18,128.48,131.52,127.75,131.4,26360.0
2013-12-17,127.77,128.38,126.4,127.69,17934.0
2013-12-16,126.07,128.5,126.07,128.14,26153.0
2013-12-13,125.43,126.56,124.0,125.99,18410.0
2013-12-12,126.31,126.61,125.02,125.02,19568.0
2013-12-11,126.9,127.9,125.5,125.61,21641.0
2013-12-10,128.49,129.17,126.42,126.99,22457.0
2013-12-09,126.95,129.54,126.16,128.95,23603.0
2013-12-06,126.64,127.75,125.35,127.14,15175.0
2013-12-05,124.85,126.0,124.05,125.31,12684.0
2013-12-04,124.65,126.89,122.95,124.45,30451.0
2013-12-03,125.85,126.41,123.21,125.4,34923.0
2013-12-02,129.25,129.99,125.75,126.61,26647.0
2013-11-29,127.75,129.15,126.64,129.15,8221.0
2013-11-27,127.49,128.62,125.9,127.05,22392.0
2013-11-26,124.5,126.6,124.5,126.6,9135.0
2013-11-25,125.9,126.71,123.93,124.37,24401.0
2013-11-22,125.3,126.62,124.13,126.18,20430.0
2013-11-21,124.0,126.73,123.95,125.4,40446.0
2013-11-20,121.03,124.05,121.03,123.29,8936.0
2013-11-19,125.32,126.18,123.59,124.58,12014.0
2013-11-18,128.16,128.16,126.0,126.16,13990.0
2013-11-15,126.63,127.65,126.5,127.35,10370.0
2013-11-14,125.84,128.0,125.33,126.87,8439.0
2013-11-13,125.59,126.41,125.0,125.5,11315.0
2013-11-12,125.25,126.66,124.9,125.76,15354.0
2013-11-11,122.41,126.46,122.41,125.48,14708.0
2013-11-08,121.72,123.5,121.71,122.96,12832.0
2013-11-07,122.76,122.76,121.5,121.51,19441.0
2013-11-06,122.42,122.83,121.6,121.93,11372.0
2013-11-05,119.87,123.07,118.8,121.97,24845.0
2013-11-04,118.95,120.66,117.98,120.09,21427.0
2013-11-01,118.0,119.47,116.75,118.93,45617.0
2013-10-31,118.11,119.0,116.0,118.3,25249.0
2013-10-30,118.24,120.46,117.1,117.1,25639.0
2013-10-29,118.98,120.17,116.9,119.12,29207.0
2013-10-28,115.4,119.29,114.75,119.0,22269.0
2013-10-25,115.3,115.75,113.93,115.11,10607.0
2013-10-24,115.59,116.52,114.3,114.67,10747.0
2013-10-23,114.64,115.39,112.16,114.9,15483.0
2013-10-22,112.99,115.63,112.99,114.78,24954.0
2013-10-21,113.75,113.79,112.4,112.9,23913.0
2013-10-18,113.8,114.59,112.14,113.99,30339.0
2013-10-17,112.0,113.66,111.94,112.77,24506.0
2013-10-16,112.88,113.0,111.3,112.21,15398.0
2013-10-15,112.44,112.94,111.6,112.15,17090.0
2013-10-14,110.6,113.3,110.6,112.63,35948.0
2013-10-11,109.37,111.17,109.3,111.0,19317.0
2013-10-10,109.28,109.94,107.25,109.94,18801.0
2013-10-09,108.51,108.99,107.38,107.72,36144.0
2013-10-08,108.41,109.28,107.85,108.15,30532.0
2013-10-07,109.81,109.81,108.43,108.43,13266.0
2013-10-04,109.35,110.95,109.35,110.41,5940.0
2013-10-03,110.75,110.85,109.35,109.43,44244.0
2013-10-02,110.86,111.6,110.62,110.91,31851.0
2013-10-01,110.85,111.67,110.6,111.0,25918.0
2013-09-30,109.56,111.27,109.56,110.81,48401.0
2013-09-27,111.03,111.45,110.61,110.73,25449.0
2013-09-26,112.04,112.07,110.76,111.2,27939.0
2013-09-25,110.19,111.33,109.91,110.82,39031.0
2013-09-24,109.95,110.6,109.39,109.72,42352.0
2013-09-23,109.88,110.45,109.88,110.2,35662.0
2013-09-20,110.2,110.49,109.85,110.2,79327.0
2013-09-19,109.82,111.64,109.67,110.18,29129.0
2013-09-18,110.36,110.67,109.1,109.99,36505.0
2013-09-17,109.95,110.47,109.3,110.11,28747.0
2013-09-16,110.13,110.61,109.4,110.1,27740.0
2013-09-13,109.1,109.67,108.46,109.29,16403.0
2013-09-12,109.53,109.96,108.58,108.58,61825.0
2013-09-11,110.35,110.69,109.37,110.1,22326.0
2013-09-10,109.53,111.4,109.53,110.84,33191.0
2013-09-09,108.03,109.64,107.88,108.7,42298.0
2013-09-06,108.88,108.95,107.1,107.6,57865.0
2013-09-05,109.01,109.29,108.24,108.78,30365.0
2013-09-04,108.91,109.75,108.88,109.0,53228.0
2013-09-03,108.69,109.86,107.98,109.05,41127.0
2013-08-30,107.27,108.64,106.6,107.55,45472.0
2013-08-29,107.3,108.49,107.05,107.84,23486.0
2013-08-28,108.8,111.06,107.1,107.73,26132.0
2013-08-27,111.63,112.75,108.0,108.38,36734.0
2013-08-26,112.0,113.45,111.12,112.46,28310.0
2013-08-23,111.69,113.31,111.48,113.05,56768.0
2013-08-22,111.0,112.51,110.64,111.89,10894.0
2013-08-21,111.75,114.02,110.25,111.01,28913.0
2013-08-20,111.3,113.19,111.2,112.33,18603.0
2013-08-19,112.59,112.6,110.72,111.06,18032.0
2013-08-16,111.15,113.18,110.8,112.48,31339.0
2013-08-15,113.82,113.84,111.76,111.84,38441.0
2013-08-14,113.79,114.37,113.5,114.21,31048.0
2013-08-13,113.5,113.92,113.23,113.92,20526.0
2013-08-12,112.92,113.83,112.02,113.55,25175.0
2013-08-09,114.64,114.83,113.14,113.16,26366.0
2013-08-08,114.0,114.63,112.02,114.52,15782.0
2013-08-07,113.86,114.42,112.91,112.92,30281.0
2013-08-06,114.56,114.56,113.44,113.67,23909.0
2013-08-05,114.62,115.0,113.5,114.46,28445.0
2013-08-02,113.12,114.59,112.5,114.59,44484.0
2013-08-01,112.72,114.03,112.25,113.86,54910.0
2013-07-31,112.51,113.02,111.47,112.49,35145.0
2013-07-30,112.59,113.65,110.77,111.77,13547.0
2013-07-29,112.8,113.31,111.42,112.05,32127.0
2013-07-26,114.14,115.65,111.78,113.0,48812.0
2013-07-25,113.17,115.5,111.71,115.3,61414.0
2013-07-24,113.73,114.48,112.35,112.97,36649.0
2013-07-23,112.35,113.88,112.28,113.17,28170.0
2013-07-22,110.73,112.22,110.53,111.84,50285.0
2013-07-19,110.48,111.74,110.25,111.13,62236.0
2013-07-18,111.04,112.2,110.0,110.97,39110.0
2013-07-17,110.56,111.8,108.81,110.66,54575.0
2013-07-16,109.5,111.04,108.79,110.71,37015.0
2013-07-15,111.12,111.15,108.95,109.72,24645.0
2013-07-12,109.07,111.68,108.96,110.19,21165.0
2013-07-11,110.88,112.59,108.63,109.11,27816.0
2013-07-10,108.85,111.1,108.35,110.28,25874.0
2013-07-09,108.95,109.97,106.84,109.12,23106.0
2013-07-08,108.34,109.72,107.69,108.32,25699.0
2013-07-05,106.69,108.56,104.85,108.5,34150.0
2013-07-03,103.47,106.24,102.46,104.92,13475.0
2013-07-02,105.28,106.46,101.26,104.05,73380.0
2013-07-01,106.09,106.67,105.26,105.63,28471.0
2013-06-28,108.13,108.18,104.63,105.05,92407.0
2013-06-27,107.41,109.62,106.88,108.55,37775.0
2013-06-26,107.27,107.68,105.61,106.76,21500.0
2013-06-25,105.95,106.88,104.54,106.48,56451.0
2013-06-24,105.35,109.7,105.35,107.42,97775.0
2013-06-21,109.18,109.18,100.75,105.97,195487.0
2013-06-20,109.59,109.7,107.7,108.95,59127.0
2013-06-19,110.0,111.49,108.97,110.14,89204.0
2013-06-18,109.18,111.2,108.89,109.96,55085.0
2013-06-17,111.95,112.0,109.01,109.5,54451.0
2013-06-14,113.68,113.93,111.17,111.36,28041.0
2013-06-13,110.02,114.07,109.72,113.53,32428.0
2013-06-12,111.41,112.05,109.66,110.33,23606.0
2013-06-11,111.67,113.17,110.08,111.47,40955.0
2013-06-10,112.9,113.74,112.18,112.65,63031.0
2013-06-07,114.55,114.55,110.88,113.14,54471.0
2013-06-06,111.95,113.73,109.76,113.72,26089.0
2013-06-05,114.52,114.52,109.78,111.74,45967.0
2013-06-04,114.53,115.92,114.12,115.1,73685.0
2013-06-03,114.01,115.13,113.28,115.06,73644.0
2013-05-31,113.83,114.99,111.78,113.86,63147.0
2013-05-30,112.08,114.95,112.08,114.12,45904.0
2013-05-29,113.77,114.39,111.4,111.99,78460.0
2013-05-28,112.81,114.92,112.81,113.96,62782.0
2013-05-24,108.85,114.26,108.78,111.01,117715.0
2013-05-23,104.6,108.31,103.17,108.21,69624.0
2013-05-22,108.16,108.59,104.75,105.38,51707.0
2013-05-21,108.37,109.2,108.06,108.16,29930.0
2013-05-20,108.97,109.06,108.45,108.69,36942.0
2013-05-17,106.28,108.83,105.92,108.75,48989.0
2013-05-16,107.93,107.99,105.22,106.15,114306.0
2013-05-15,105.57,108.15,105.49,107.87,80974.0
