Date,Open,High,Low,Close,Volume
2014-04-07,47.16,47.36,46.37,46.64,732371.0
2014-04-04,48.5,48.61,47.1,47.13,785547.0
2014-04-03,48.71,49.1,48.16,48.19,411176.0
2014-04-02,48.87,49.02,48.51,48.71,630629.0
2014-04-01,47.82,48.87,47.67,48.8,860066.0
2014-03-31,46.87,47.72,46.66,47.63,676998.0
2014-03-28,46.65,47.36,46.51,46.56,620952.0
2014-03-27,46.72,47.23,46.48,46.65,402983.0
2014-03-26,47.81,47.9,46.86,46.87,402845.0
2014-03-25,47.81,48.07,47.36,47.49,455128.0
2014-03-24,48.32,48.63,47.41,47.55,452329.0
2014-03-21,48.97,49.29,48.35,48.38,698568.0
2014-03-20,48.14,48.73,48.01,48.73,521789.0
2014-03-19,48.6,48.79,47.81,48.13,393587.0
2014-03-18,48.72,48.97,48.52,48.66,399237.0
2014-03-17,49.0,49.1,48.53,48.6,490488.0
2014-03-14,47.67,48.84,47.55,48.78,939372.0
2014-03-13,49.17,49.21,47.5,47.81,779328.0
2014-03-12,48.08,49.13,48.02,48.98,920485.0
2014-03-11,48.68,49.14,48.24,48.4,572432.0
2014-03-10,48.65,48.89,48.31,48.54,528958.0
2014-03-07,48.44,48.61,47.83,48.58,603802.0
2014-03-06,47.93,48.42,47.85,48.19,744829.0
2014-03-05,48.29,48.43,47.51,47.69,978813.0
2014-03-04,47.52,48.45,47.5,48.33,1321235.0
2014-03-03,47.1,47.36,46.72,46.99,663759.0
2014-02-28,47.05,47.98,47.05,47.52,834406.0
2014-02-27,47.01,47.48,46.9,47.0,701673.0
2014-02-26,47.37,47.75,47.02,47.25,756155.0
2014-02-25,46.73,47.75,46.73,47.32,854675.0
2014-02-24,46.46,46.94,46.26,46.62,528579.0
2014-02-21,46.61,46.85,46.23,46.46,605601.0
2014-02-20,46.11,46.71,46.11,46.39,710187.0
2014-02-19,45.77,46.45,45.77,46.14,535983.0
2014-02-18,45.79,46.27,45.79,45.99,621740.0
2014-02-14,45.3,45.97,45.01,45.87,876530.0
2014-02-13,45.05,45.75,44.19,45.49,1528663.0
2014-02-12,45.58,46.0,45.04,45.33,1240604.0
2014-02-11,44.99,45.69,44.82,45.59,888257.0
2014-02-10,44.7,45.54,44.64,44.92,1004747.0
2014-02-07,44.43,44.87,44.01,44.69,662267.0
2014-02-06,43.52,44.65,43.36,44.36,689926.0
2014-02-05,43.36,43.74,42.73,43.49,698518.0
2014-02-04,43.38,43.82,43.18,43.46,840258.0
2014-02-03,44.51,44.78,42.87,43.04,1577393.0
2014-01-31,43.93,44.86,43.48,44.54,903693.0
2014-01-30,44.5,44.88,44.2,44.6,471861.0
2014-01-29,44.33,44.9,44.07,44.07,712295.0
2014-01-28,44.64,45.07,44.47,44.89,536749.0
2014-01-27,45.5,45.5,44.4,44.48,998632.0
2014-01-24,45.1,45.43,44.64,44.71,1007257.0
2014-01-23,46.15,46.6,45.37,45.4,897869.0
2014-01-22,45.6,46.56,45.33,46.47,1722477.0
2014-01-21,45.21,45.5,44.26,45.1,1613651.0
2014-01-17,45.9,46.18,44.97,45.15,1935283.0
2014-01-16,47.22,47.89,46.78,46.98,742759.0
2014-01-15,47.51,48.0,47.31,47.51,281841.0
2014-01-14,47.05,47.7,46.93,47.47,483974.0
2014-01-13,47.43,47.66,46.69,46.89,503678.0
2014-01-10,47.82,48.01,47.26,47.47,383848.0
2014-01-09,47.24,47.62,47.1,47.45,416028.0
2014-01-08,47.83,48.01,47.09,47.23,821057.0
2014-01-07,47.26,47.88,47.26,47.54,296267.0
2014-01-06,47.73,47.86,47.12,47.15,337322.0
2014-01-03,47.79,48.19,47.55,47.7,324661.0
2014-01-02,48.3,48.3,47.53,47.77,391216.0
2013-12-31,48.36,48.62,48.25,48.27,374818.0
2013-12-30,48.44,48.68,48.27,48.43,356768.0
2013-12-27,48.8,48.8,48.43,48.59,413881.0
2013-12-26,48.79,48.93,48.56,48.62,352693.0
2013-12-24,48.85,48.85,48.42,48.55,341605.0
2013-12-23,48.7,48.85,48.39,48.85,484535.0
2013-12-20,47.59,48.45,47.3,48.37,1217797.0
2013-12-19,48.58,48.6,47.34,47.6,677500.0
2013-12-18,47.87,48.56,47.41,48.54,666682.0
2013-12-17,47.86,48.21,47.31,47.78,553345.0
2013-12-16,47.43,48.05,47.41,47.99,429003.0
2013-12-13,47.66,47.81,47.27,47.33,481855.0
2013-12-12,48.03,48.18,47.56,47.65,640148.0
2013-12-11,47.87,48.14,47.48,47.99,562226.0
2013-12-10,48.75,48.84,47.95,47.95,588607.0
2013-12-09,48.5,48.84,48.5,48.74,524028.0
2013-12-06,48.51,49.0,48.32,48.49,399294.0
2013-12-05,47.69,48.34,47.56,48.0,382181.0
2013-12-04,47.75,48.23,47.49,47.83,345977.0
2013-12-03,47.97,48.21,47.58,47.86,799733.0
2013-12-02,48.5,48.57,47.98,48.06,529550.0
2013-11-29,49.2,49.29,48.57,48.75,140491.0
2013-11-27,48.89,49.1,48.6,48.98,293800.0
2013-11-26,49.3,49.3,48.5,48.74,379148.0
2013-11-25,49.55,49.73,49.11,49.17,480406.0
2013-11-22,49.49,49.74,49.28,49.44,509521.0
2013-11-21,48.4,49.48,48.35,49.43,695213.0
2013-11-20,47.81,48.48,47.81,48.05,449969.0
2013-11-19,47.89,48.06,47.5,47.83,437025.0
