Date,Open,High,Low,Close,Volume
2014-04-07,61.53,62.05,61.17,61.25,123125.0
2014-04-04,63.13,63.25,61.48,61.67,140982.0
2014-04-03,62.89,63.35,62.57,62.81,86443.0
2014-04-02,64.0,64.0,62.64,62.81,152418.0
2014-04-01,63.02,64.0,62.52,63.85,158752.0
2014-03-31,61.0,64.22,59.7,62.78,458271.0
2014-03-28,57.12,58.49,57.0,57.51,276888.0
2014-03-27,57.83,57.83,56.68,56.91,97098.0
2014-03-26,58.67,58.73,57.76,57.78,76920.0
2014-03-25,59.11,59.11,58.08,58.54,94882.0
2014-03-24,58.88,59.28,58.26,58.99,44565.0
2014-03-21,59.19,59.59,58.35,58.96,127445.0
2014-03-20,59.48,60.98,58.99,59.0,137595.0
2014-03-19,60.47,60.65,59.35,59.8,61424.0
2014-03-18,59.95,60.8,59.55,60.71,93915.0
2014-03-17,59.46,60.09,59.46,59.69,60697.0
2014-03-14,57.82,59.53,57.82,59.26,85078.0
2014-03-13,58.34,58.68,57.89,58.25,71831.0
2014-03-12,57.24,58.23,57.24,58.0,105818.0
2014-03-11,58.2,58.5,56.73,57.64,101469.0
2014-03-10,58.2,58.4,57.68,58.3,57380.0
2014-03-07,58.96,58.96,57.65,58.21,63837.0
2014-03-06,57.67,58.74,57.42,58.48,86469.0
2014-03-05,56.91,57.88,56.7,57.76,89292.0
2014-03-04,55.95,57.54,55.93,57.22,424751.0
2014-03-03,53.09,55.74,52.58,55.47,177723.0
2014-02-28,52.39,53.69,52.33,52.57,115015.0
2014-02-27,52.1,52.64,52.02,52.3,45620.0
2014-02-26,52.03,53.02,52.01,52.43,41312.0
2014-02-25,52.67,53.02,52.01,52.13,56688.0
2014-02-24,52.37,53.49,52.11,52.85,88038.0
2014-02-21,52.98,53.12,52.29,52.45,100254.0
2014-02-20,52.07,53.15,51.69,52.66,84206.0
2014-02-19,52.08,52.81,51.81,52.01,77884.0
2014-02-18,51.85,52.68,51.69,52.39,79935.0
2014-02-14,51.5,52.2,51.2,51.83,46026.0
2014-02-13,50.39,51.8,50.24,51.41,72433.0
2014-02-12,50.91,51.39,50.3,50.76,57431.0
2014-02-11,50.18,51.53,49.96,51.01,73000.0
2014-02-10,49.9,50.45,49.62,50.28,61240.0
2014-02-07,49.95,50.44,49.51,50.05,76991.0
2014-02-06,49.99,50.74,49.69,50.06,71719.0
2014-02-05,49.55,50.32,48.9,49.85,99870.0
2014-02-04,49.52,50.35,49.52,49.91,101050.0
2014-02-03,50.09,51.78,49.2,49.47,201778.0
2014-01-31,49.34,50.82,48.9,50.38,213431.0
2014-01-30,49.86,50.8,49.6,50.3,51664.0
2014-01-29,50.0,50.21,49.24,49.42,114007.0
2014-01-28,51.06,51.13,50.46,50.64,89924.0
2014-01-27,51.36,51.7,51.0,51.0,114677.0
2014-01-24,52.36,52.36,51.4,51.47,89560.0
2014-01-23,53.21,53.26,52.38,52.61,91573.0
2014-01-22,53.53,53.73,52.98,53.29,92386.0
2014-01-21,53.26,53.64,52.96,53.36,82512.0
2014-01-17,53.33,54.01,52.99,53.13,70377.0
2014-01-16,53.65,54.17,53.01,53.16,112469.0
2014-01-15,54.1,54.24,53.43,53.53,80745.0
2014-01-14,53.99,54.42,52.0,54.14,101924.0
2014-01-13,55.11,55.57,53.55,53.99,129161.0
2014-01-10,55.26,56.13,55.01,55.42,69209.0
2014-01-09,56.16,56.16,54.7,55.05,121965.0
2014-01-08,56.58,57.04,55.53,55.83,110877.0
2014-01-07,57.32,57.32,56.65,56.8,60376.0
2014-01-06,58.09,58.09,56.91,56.98,85925.0
2014-01-03,57.25,58.01,56.27,57.87,122908.0
2014-01-02,59.95,60.14,56.2,57.4,124978.0
2013-12-31,60.47,61.3,60.09,60.23,68475.0
2013-12-30,60.5,61.33,60.03,60.37,102506.0
2013-12-27,60.38,60.6,60.0,60.25,87422.0
2013-12-26,60.75,61.34,60.32,60.61,73528.0
2013-12-24,59.96,61.26,59.64,60.37,92899.0
2013-12-23,56.94,60.16,56.93,60.09,140391.0
2013-12-20,53.58,56.69,53.58,56.56,196605.0
2013-12-19,54.53,54.61,53.16,53.34,73106.0
2013-12-18,54.31,54.96,53.6,54.74,70916.0
2013-12-17,54.55,54.91,53.73,54.18,83837.0
2013-12-16,55.06,55.3,54.24,54.72,85364.0
2013-12-13,54.72,55.29,54.41,54.79,61593.0
2013-12-12,54.5,55.01,54.45,54.59,55369.0
2013-12-11,54.87,55.42,54.52,54.63,59803.0
2013-12-10,55.93,55.93,54.69,54.83,67094.0
2013-12-09,56.07,56.35,55.44,56.11,70503.0
2013-12-06,55.43,56.53,54.46,56.11,55167.0
2013-12-05,55.01,55.59,54.71,54.94,38401.0
2013-12-04,55.08,55.87,54.59,55.06,57296.0
2013-12-03,54.85,55.6,54.76,55.31,45743.0
2013-12-02,55.1,55.57,54.76,55.04,60542.0
2013-11-29,55.0,55.62,54.74,54.95,46846.0
2013-11-27,54.5,55.0,53.83,54.93,70777.0
2013-11-26,53.37,54.85,53.37,54.46,66675.0
2013-11-25,53.88,53.99,53.05,53.43,64854.0
2013-11-22,53.1,53.86,52.8,53.55,36048.0
2013-11-21,52.25,53.02,51.9,52.86,36567.0
2013-11-20,52.02,52.31,51.55,51.92,23558.0
2013-11-19,51.83,52.33,51.75,52.01,42960.0
2013-11-18,51.61,52.48,51.25,51.82,48799.0
2013-11-15,51.69,51.88,50.89,51.65,60228.0
2013-11-14,51.58,52.11,51.34,51.77,26035.0
2013-11-13,51.46,51.87,51.01,51.75,63755.0
2013-11-12,52.0,52.44,50.97,51.94,51960.0
2013-11-11,52.15,52.56,51.72,52.26,71048.0
2013-11-08,51.32,52.4,51.32,52.09,45608.0
2013-11-07,52.19,52.46,51.29,51.38,55269.0
2013-11-06,52.04,52.99,52.04,52.21,89205.0
2013-11-05,50.97,51.99,50.54,51.82,45415.0
2013-11-04,50.18,51.34,50.18,51.13,89544.0
2013-11-01,50.57,50.95,49.77,50.04,111751.0
2013-10-31,51.51,51.99,49.9,50.73,135080.0
2013-10-30,52.22,52.3,51.35,51.57,39847.0
2013-10-29,52.31,52.49,52.04,52.18,39517.0
2013-10-28,52.75,52.91,51.78,52.38,78410.0
2013-10-25,52.1,52.75,51.64,52.75,70686.0
