Date,Open,High,Low,Close,Volume
2014-04-07,67.62,67.93,66.66,66.84,318254.0
2014-04-04,69.28,69.78,67.45,67.99,209642.0
2014-04-03,69.98,70.15,68.43,68.84,208560.0
2014-04-02,68.83,69.9,68.2,69.84,130339.0
2014-04-01,67.74,68.84,67.15,68.74,243034.0
2014-03-31,67.74,68.13,66.62,67.59,374729.0
2014-03-28,66.42,67.99,66.42,67.58,167055.0
2014-03-27,67.0,67.48,66.22,66.54,216781.0
2014-03-26,68.68,68.68,66.98,66.98,163473.0
2014-03-25,69.07,69.53,68.15,68.22,139943.0
2014-03-24,70.1,70.26,67.96,68.72,206120.0
2014-03-21,70.0,70.67,69.65,69.82,340411.0
2014-03-20,69.33,70.3,69.33,70.23,183829.0
2014-03-19,70.15,70.4,69.25,69.6,177878.0
2014-03-18,70.41,70.5,69.51,70.21,201001.0
2014-03-17,69.92,70.95,69.86,70.68,249309.0
2014-03-14,68.44,69.66,68.02,69.48,208560.0
2014-03-13,68.14,68.78,67.48,68.45,286911.0
2014-03-12,65.93,67.96,65.91,67.78,299353.0
2014-03-11,66.47,67.84,65.51,66.26,865418.0
2014-03-10,65.87,68.37,65.85,67.87,327643.0
2014-03-07,67.41,67.5,66.09,66.35,242341.0
2014-03-06,67.96,68.01,66.45,67.23,242268.0
2014-03-05,69.3,69.3,67.67,67.8,225595.0
2014-03-04,67.96,69.49,67.44,69.2,349932.0
2014-03-03,68.02,68.52,66.81,67.19,245400.0
2014-02-28,68.15,68.7,67.52,68.49,432779.0
2014-02-27,67.56,67.95,67.32,67.92,351152.0
2014-02-26,67.14,67.99,66.72,67.65,177870.0
2014-02-25,66.65,67.79,66.58,66.88,157096.0
2014-02-24,66.71,67.28,66.4,66.76,158095.0
2014-02-21,67.9,67.9,66.69,66.78,251516.0
2014-02-20,67.29,68.23,67.18,67.98,255267.0
2014-02-19,66.86,69.28,66.8,67.18,398723.0
2014-02-18,67.7,67.75,65.73,66.88,334050.0
2014-02-14,66.62,67.58,65.91,67.43,255882.0
2014-02-13,66.62,66.78,65.84,66.56,233540.0
2014-02-12,67.5,67.63,66.84,66.93,160199.0
2014-02-11,66.77,67.58,66.44,67.42,138543.0
2014-02-10,67.02,67.02,66.18,66.63,177571.0
2014-02-07,67.34,67.57,66.18,67.16,289255.0
2014-02-06,67.12,67.61,66.69,67.23,284497.0
2014-02-05,67.05,67.51,66.62,66.93,323263.0
2014-02-04,67.45,67.62,66.57,67.24,332757.0
2014-02-03,68.61,68.65,66.85,67.27,546890.0
2014-01-31,67.76,69.01,67.29,68.67,262767.0
2014-01-30,68.89,68.97,67.81,68.87,371070.0
2014-01-29,67.28,68.5,67.23,68.4,456351.0
2014-01-28,66.15,67.68,65.73,67.65,266814.0
2014-01-27,65.9,67.0,65.64,66.06,230991.0
2014-01-24,67.9,68.24,66.66,66.87,413201.0
2014-01-23,67.88,68.43,66.95,68.34,263404.0
2014-01-22,68.64,69.0,67.93,67.99,390170.0
2014-01-21,68.99,69.13,68.18,68.59,362387.0
2014-01-17,67.69,68.58,67.12,68.46,446506.0
2014-01-16,68.03,68.04,66.56,67.83,748736.0
2014-01-15,66.29,67.15,65.91,66.95,294864.0
2014-01-14,65.81,66.36,65.0,66.31,243492.0
2014-01-13,66.44,67.18,64.84,65.4,336358.0
2014-01-10,67.13,67.23,66.53,66.79,188248.0
2014-01-09,66.93,67.3,65.93,67.02,343664.0
2014-01-08,66.83,66.9,65.88,66.59,296461.0
2014-01-07,67.5,67.63,66.75,66.83,297059.0
2014-01-06,68.71,68.9,67.09,67.39,254434.0
2014-01-03,68.94,69.79,67.99,68.58,282923.0
2014-01-02,69.75,70.24,68.72,68.9,395035.0
2013-12-31,70.39,70.74,69.83,70.25,214927.0
2013-12-30,70.09,71.0,69.9,70.53,195043.0
2013-12-27,70.6,70.75,69.93,70.31,150835.0
2013-12-26,71.22,71.25,70.36,70.77,114762.0
2013-12-24,71.0,71.8,70.08,71.09,84856.0
2013-12-23,71.19,71.78,70.03,70.78,434870.0
2013-12-20,70.86,71.77,70.32,71.13,457348.0
2013-12-19,71.29,71.92,70.52,70.54,225628.0
2013-12-18,70.75,72.25,70.23,71.58,269907.0
2013-12-17,70.49,70.84,69.61,70.53,459679.0
2013-12-16,71.29,71.5,70.27,70.58,316117.0
2013-12-13,72.12,72.33,70.59,70.8,312580.0
2013-12-12,68.36,72.17,67.8,71.85,559184.0
2013-12-11,70.18,70.51,68.64,68.73,304961.0
2013-12-10,73.67,73.95,70.01,70.27,728290.0
2013-12-09,76.34,76.59,73.61,74.88,340231.0
2013-12-06,75.14,76.21,74.24,75.97,135980.0
2013-12-05,73.66,75.0,73.1,74.68,130978.0
2013-12-04,73.25,74.08,72.58,73.85,131586.0
2013-12-03,73.6,74.56,73.04,73.38,246970.0
2013-12-02,74.17,74.49,73.48,73.7,214617.0
2013-11-29,75.49,75.58,74.36,74.42,58045.0
2013-11-27,75.19,75.77,74.79,75.01,86241.0
2013-11-26,73.6,75.58,73.11,75.28,151248.0
2013-11-25,74.41,74.87,73.15,73.42,100079.0
2013-11-22,75.45,75.73,74.0,74.05,146482.0
2013-11-21,74.5,75.85,74.5,75.22,152501.0
2013-11-20,74.59,75.1,73.77,74.24,149934.0
2013-11-19,74.92,75.62,73.9,74.22,127380.0
2013-11-18,76.05,76.39,74.37,74.8,230080.0
2013-11-15,76.57,77.29,75.5,75.78,178779.0
2013-11-14,76.28,76.88,75.63,76.57,81046.0
2013-11-13,75.64,76.45,75.34,76.27,101453.0
2013-11-12,76.27,76.44,75.37,76.12,134412.0
2013-11-11,77.04,77.08,76.0,76.34,135922.0
2013-11-08,76.73,77.26,75.98,77.07,191817.0
2013-11-07,77.44,77.55,76.44,76.78,256322.0
2013-11-06,77.47,77.58,76.65,77.03,210366.0
2013-11-05,75.23,77.04,74.68,76.99,290648.0
2013-11-04,74.17,75.42,73.59,75.4,295082.0
2013-11-01,72.78,74.27,72.25,73.87,283726.0
2013-10-31,73.24,73.75,72.59,72.88,159897.0
2013-10-30,74.02,74.02,72.8,73.14,158837.0
2013-10-29,73.0,74.04,72.86,73.97,178255.0
2013-10-28,72.54,72.91,72.04,72.71,149060.0
2013-10-25,72.85,72.85,72.07,72.64,175815.0
2013-10-24,72.74,73.01,72.23,72.48,211598.0
2013-10-23,72.22,73.28,72.01,72.64,167805.0
2013-10-22,73.89,75.13,72.3,72.43,185975.0
2013-10-21,73.57,74.36,73.27,73.71,141527.0
2013-10-18,72.58,73.52,71.78,73.26,267300.0
2013-10-17,71.76,72.08,71.47,71.9,242593.0
2013-10-16,72.11,73.8,71.7,71.92,295034.0
2013-10-15,73.0,73.08,71.67,71.89,241243.0
2013-10-14,72.94,73.45,72.18,73.06,313491.0
2013-10-11,73.17,74.4,72.82,73.41,227266.0
2013-10-10,72.87,73.98,71.71,73.47,146368.0
2013-10-09,72.09,72.96,71.41,72.09,194353.0
2013-10-08,71.26,72.33,71.26,71.87,250105.0
2013-10-07,71.63,71.97,71.11,71.32,154073.0
2013-10-04,71.0,72.74,70.71,72.12,181994.0
2013-10-03,72.3,73.03,70.67,71.13,158889.0
2013-10-02,73.28,73.66,72.17,72.64,166225.0
2013-10-01,73.5,74.6,73.11,73.67,188736.0
2013-09-30,72.72,74.08,72.72,73.39,184945.0
2013-09-27,72.87,73.85,72.41,73.3,176214.0
2013-09-26,72.28,74.02,72.28,73.48,98787.0
2013-09-25,73.16,73.8,72.54,72.67,166697.0
2013-09-24,72.95,73.66,72.39,73.18,117491.0
2013-09-23,72.21,73.51,71.83,72.67,131029.0
2013-09-20,73.07,73.12,72.2,72.45,331823.0
2013-09-19,72.75,74.0,72.58,73.02,131100.0
2013-09-18,70.99,73.0,70.87,72.68,128204.0
2013-09-17,71.11,71.56,70.61,71.02,421149.0
2013-09-16,71.65,71.73,70.83,70.93,228742.0
2013-09-13,71.53,71.88,70.86,71.02,155244.0
2013-09-12,71.76,72.0,70.83,71.06,165121.0
2013-09-11,70.54,72.81,70.54,71.79,232305.0
2013-09-10,69.97,70.96,69.1,70.35,288914.0
2013-09-09,71.46,69.14,67.8,68.83,116819.0
2013-09-06,67.36,68.3,65.76,67.82,106594.0
2013-09-05,66.77,67.34,66.41,67.23,87015.0
2013-09-04,65.73,66.85,65.01,66.59,124053.0
2013-09-03,66.76,66.9,65.48,65.89,116393.0
2013-08-30,66.62,66.75,65.7,65.94,140514.0
2013-08-29,65.72,67.16,65.55,66.85,121834.0
2013-08-28,65.83,66.37,65.58,65.66,130467.0
2013-08-27,67.18,67.54,65.79,65.79,189063.0
2013-08-26,68.87,69.06,67.97,67.98,127787.0
2013-08-23,68.75,69.07,67.8,68.91,131267.0
2013-08-22,69.21,69.21,68.44,68.71,84413.0
2013-08-21,68.49,69.57,68.38,69.04,228476.0
2013-08-20,67.3,69.26,66.87,68.82,216653.0
2013-08-19,66.13,68.06,66.04,67.37,171768.0
2013-08-16,64.25,66.38,64.25,66.07,291748.0
2013-08-15,67.0,67.04,64.42,64.5,248265.0
2013-08-14,67.78,68.05,66.97,67.68,170295.0
2013-08-13,67.38,67.94,66.4,67.8,121779.0
2013-08-12,66.4,67.22,66.4,67.15,135258.0
2013-08-09,66.47,66.96,65.67,66.85,170728.0
2013-08-08,65.9,66.7,65.61,66.61,116037.0
2013-08-07,66.15,66.44,64.84,65.47,179040.0
2013-08-06,67.24,67.24,65.99,66.48,149972.0
2013-08-05,66.46,67.61,66.4,67.34,161407.0
2013-08-02,65.89,66.67,65.72,66.43,143404.0
2013-08-01,66.8,66.98,66.01,66.25,202915.0
2013-07-31,66.31,66.98,65.81,66.23,205248.0
2013-07-30,67.52,67.58,65.7,66.21,182071.0
2013-07-29,67.0,67.86,66.81,67.37,145117.0
2013-07-26,66.91,67.32,66.36,67.13,131654.0
2013-07-25,66.94,67.55,66.53,67.37,257691.0
2013-07-24,67.5,68.0,66.09,66.91,275878.0
2013-07-23,68.78,68.78,66.54,67.17,387664.0
2013-07-22,68.97,69.16,68.11,68.43,383131.0
2013-07-19,69.45,69.55,68.74,69.33,165588.0
2013-07-18,68.72,70.01,68.72,69.57,255379.0
2013-07-17,68.42,69.91,67.8,68.48,269293.0
2013-07-16,65.46,68.15,65.05,67.99,361026.0
2013-07-15,65.5,65.78,64.53,65.72,150737.0
2013-07-12,65.0,65.43,64.64,64.95,259757.0
2013-07-11,64.8,66.06,64.63,65.04,325185.0
2013-07-10,64.54,64.87,64.25,64.43,159246.0
2013-07-09,64.27,64.66,64.18,64.54,215715.0
2013-07-08,63.8,64.1,63.39,63.88,251116.0
2013-07-05,64.23,64.23,63.09,63.58,203813.0
2013-07-03,62.39,63.75,62.21,63.28,133464.0
2013-07-02,61.57,62.8,61.31,62.77,206822.0
2013-07-01,60.79,61.85,60.46,61.56,253175.0
2013-06-28,60.53,60.9,59.77,60.16,475118.0
2013-06-27,59.51,60.98,59.51,60.72,252411.0
2013-06-26,59.15,59.66,58.89,59.18,159935.0
2013-06-25,58.4,58.8,57.56,58.68,253023.0
2013-06-24,57.69,58.67,57.22,58.02,320815.0
2013-06-21,59.2,59.7,57.87,58.05,526128.0
2013-06-20,60.0,60.0,58.35,59.02,284711.0
2013-06-19,61.34,61.34,60.45,60.47,127580.0
2013-06-18,61.24,61.94,61.03,61.27,301007.0
2013-06-17,61.71,62.63,60.91,61.35,526705.0
2013-06-14,62.26,63.89,60.17,60.69,476933.0
2013-06-13,61.75,63.66,61.75,63.29,335823.0
2013-06-12,63.47,63.47,61.49,61.54,171982.0
2013-06-11,63.51,63.51,62.86,62.94,247440.0
2013-06-10,62.3,63.72,62.06,63.4,336493.0
