Date,Open,High,Low,Close,Volume
2014-04-07,25.13,25.39,24.67,24.87,490764.0
2014-04-04,26.22,26.43,25.23,25.25,369552.0
2014-04-03,26.16,26.41,26.02,26.15,316362.0
2014-04-02,26.3,26.68,25.88,26.07,334750.0
2014-04-01,25.3,26.51,25.17,26.28,708630.0
2014-03-31,24.74,25.26,24.74,25.19,380985.0
2014-03-28,24.79,25.4,24.51,24.52,341630.0
2014-03-27,25.26,25.34,24.72,24.78,369765.0
2014-03-26,25.98,26.06,25.28,25.28,309817.0
2014-03-25,25.94,26.04,25.63,25.73,458329.0
2014-03-24,26.19,26.42,25.81,25.82,473206.0
2014-03-21,26.25,26.49,26.01,26.07,1081363.0
2014-03-20,25.8,26.26,25.8,26.23,329785.0
2014-03-19,25.99,26.14,25.74,25.89,268387.0
2014-03-18,25.96,26.2,25.85,26.02,266310.0
2014-03-17,25.68,26.03,25.68,25.87,327111.0
2014-03-14,25.4,25.65,25.16,25.44,299402.0
2014-03-13,25.82,25.98,25.43,25.55,233277.0
2014-03-12,25.45,25.9,25.15,25.84,294942.0
2014-03-11,25.78,25.78,25.32,25.64,218558.0
2014-03-10,25.67,25.96,25.62,25.78,163336.0
2014-03-07,25.61,25.94,25.48,25.81,334266.0
2014-03-06,25.34,25.64,25.31,25.41,519709.0
2014-03-05,25.72,25.97,25.17,25.29,479113.0
2014-03-04,25.4,26.31,25.4,25.8,617236.0
2014-03-03,25.1,25.58,24.72,24.99,338347.0
2014-02-28,25.35,25.73,25.14,25.41,505336.0
2014-02-27,24.68,25.24,24.5,25.24,300598.0
2014-02-26,24.69,24.95,24.52,24.77,197302.0
2014-02-25,24.77,24.97,24.46,24.57,371597.0
2014-02-24,24.09,24.79,23.96,24.75,332714.0
2014-02-21,23.89,24.34,23.83,24.11,423505.0
2014-02-20,23.94,24.18,23.5,23.76,538546.0
2014-02-19,24.29,24.51,23.84,23.9,643474.0
2014-02-18,24.24,24.61,24.12,24.45,282438.0
2014-02-14,24.07,24.3,23.97,24.27,250027.0
2014-02-13,23.65,24.19,23.53,24.15,419041.0
2014-02-12,23.59,24.15,23.5,23.91,504628.0
2014-02-11,23.29,23.68,23.22,23.61,310373.0
2014-02-10,23.58,23.79,23.31,23.35,387006.0
2014-02-07,23.59,23.88,23.3,23.61,414446.0
2014-02-06,23.35,23.54,23.15,23.51,399838.0
2014-02-05,23.24,23.43,22.95,23.33,515732.0
2014-02-04,23.47,23.97,23.13,23.41,835603.0
2014-02-03,23.39,23.58,22.7,22.76,1226831.0
2014-01-31,23.51,23.83,23.28,23.5,605340.0
2014-01-30,23.88,23.98,23.39,23.84,608113.0
2014-01-29,23.28,23.46,22.89,22.98,471373.0
2014-01-28,23.83,23.86,23.41,23.59,473249.0
2014-01-27,24.55,24.55,23.69,23.72,379543.0
2014-01-24,24.97,25.26,24.0,24.46,821127.0
2014-01-23,25.94,25.94,24.94,25.09,598411.0
2014-01-22,25.94,26.08,25.84,25.94,302661.0
2014-01-21,25.73,26.02,25.5,25.96,425357.0
2014-01-17,25.4,25.69,25.38,25.48,347754.0
2014-01-16,25.99,26.17,25.32,25.36,514327.0
2014-01-15,26.28,26.51,25.88,26.1,654149.0
2014-01-14,26.11,26.41,25.91,26.11,415017.0
2014-01-13,26.06,26.46,25.7,25.92,329292.0
2014-01-10,26.36,26.36,25.9,26.2,214817.0
2014-01-09,26.45,26.54,26.15,26.37,204595.0
2014-01-08,26.11,26.34,26.01,26.32,223228.0
2014-01-07,26.12,26.51,25.95,26.21,277576.0
2014-01-06,26.23,26.44,25.86,25.91,352699.0
2014-01-03,26.18,26.43,25.9,26.14,346559.0
2014-01-02,26.71,26.71,26.0,26.14,362358.0
2013-12-31,26.96,27.11,26.71,26.73,192707.0
2013-12-30,26.88,27.12,26.74,26.92,284357.0
2013-12-27,27.08,27.24,26.81,26.97,161194.0
2013-12-26,27.11,27.2,26.89,26.93,335284.0
2013-12-24,26.96,27.26,26.96,27.0,94711.0
2013-12-23,26.59,27.04,26.2,27.0,373228.0
2013-12-20,25.96,26.54,25.79,26.42,991329.0
2013-12-19,26.23,26.45,25.76,25.86,264861.0
2013-12-18,25.71,26.25,25.44,26.25,304604.0
2013-12-17,25.8,25.8,25.33,25.59,206994.0
2013-12-16,25.42,25.82,25.25,25.78,344269.0
2013-12-13,25.38,25.55,25.0,25.23,274631.0
2013-12-12,25.19,25.47,25.07,25.26,403547.0
2013-12-11,25.88,25.94,25.08,25.14,373935.0
2013-12-10,26.01,26.18,25.68,25.75,304858.0
2013-12-09,26.34,26.46,26.09,26.14,386153.0
2013-12-06,26.27,26.55,26.2,26.34,334244.0
2013-12-05,25.89,26.14,25.89,26.07,307427.0
2013-12-04,26.0,26.4,25.81,26.05,443990.0
2013-12-03,27.04,27.07,26.25,26.4,298824.0
2013-12-02,27.57,27.94,27.12,27.19,318103.0
2013-11-29,27.78,27.82,27.29,27.63,176492.0
2013-11-27,27.22,27.59,26.99,27.59,239590.0
2013-11-26,27.01,27.23,26.74,27.17,363738.0
2013-11-25,26.41,26.79,26.41,26.53,216364.0
2013-11-22,25.98,26.39,25.81,26.32,185664.0
2013-11-21,25.42,26.0,25.33,25.96,196205.0
2013-11-20,25.3,25.43,25.03,25.27,95651.0
2013-11-19,25.33,25.45,25.03,25.24,277949.0
2013-11-18,25.35,25.74,25.2,25.32,196431.0
2013-11-15,25.27,25.37,24.99,25.31,268972.0
2013-11-14,25.16,25.38,25.05,25.29,196142.0
2013-11-13,24.72,25.21,24.6,25.21,167094.0
2013-11-12,25.1,25.12,24.66,24.84,90887.0
2013-11-11,25.55,25.55,24.99,25.24,200077.0
2013-11-08,24.28,25.55,24.28,25.54,320455.0
2013-11-07,25.05,25.22,24.27,24.28,208476.0
2013-11-06,25.0,25.2,24.69,24.97,165288.0
2013-11-05,24.67,25.06,24.49,24.78,191455.0
2013-11-04,24.63,24.84,24.38,24.75,227775.0
2013-11-01,24.56,24.74,24.18,24.51,368533.0
2013-10-31,25.02,25.09,24.62,24.63,294744.0
2013-10-30,25.23,25.35,24.86,25.07,262785.0
2013-10-29,25.74,25.76,25.07,25.12,499885.0
2013-10-28,25.61,25.75,25.3,25.73,305271.0
2013-10-25,25.71,25.78,25.36,25.56,218075.0
2013-10-24,25.77,25.84,25.5,25.61,166234.0
2013-10-23,25.62,25.87,25.41,25.66,263254.0
2013-10-22,25.0,25.83,24.8,25.66,459115.0
2013-10-21,24.67,24.87,24.52,24.81,290671.0
2013-10-18,24.59,24.69,24.29,24.69,401505.0
2013-10-17,24.21,24.49,24.08,24.39,226552.0
2013-10-16,24.15,24.47,23.99,24.38,210296.0
2013-10-15,24.05,24.14,23.76,23.92,232782.0
2013-10-14,23.79,24.25,23.76,24.18,301316.0
2013-10-11,23.43,24.03,23.17,24.01,324962.0
2013-10-10,23.29,23.59,23.19,23.56,284028.0
2013-10-09,23.11,23.41,22.85,22.95,245544.0
2013-10-08,23.09,23.14,22.84,22.96,172280.0
2013-10-07,23.26,23.42,23.03,23.06,234393.0
2013-10-04,23.31,23.62,23.26,23.54,183387.0
2013-10-03,23.8,23.8,23.14,23.36,275506.0
2013-10-02,23.8,23.97,23.47,23.8,231015.0
2013-10-01,23.43,24.08,23.37,24.0,614353.0
2013-09-30,22.84,23.43,22.67,23.37,292434.0
