Date,Open,High,Low,Close,Volume
2014-04-07,95.75,96.33,94.0,94.86,247047.0
2014-04-04,98.95,98.95,95.88,96.0,142286.0
2014-04-03,98.95,99.18,98.0,98.41,139496.0
2014-04-02,98.61,99.06,98.09,98.49,177447.0
2014-04-01,97.85,98.89,97.25,98.63,137954.0
2014-03-31,98.17,98.25,96.67,97.24,213811.0
2014-03-28,96.17,97.97,96.09,97.22,172136.0
2014-03-27,97.0,97.32,96.0,96.47,168057.0
2014-03-26,97.7,97.7,96.91,96.95,185894.0
2014-03-25,98.0,98.0,96.69,97.37,170333.0
2014-03-24,98.34,98.97,96.41,97.6,253918.0
2014-03-21,100.19,100.88,97.73,98.04,473074.0
2014-03-20,100.37,101.75,99.26,100.41,224546.0
2014-03-19,102.02,102.57,100.17,100.6,200958.0
2014-03-18,101.78,102.84,101.72,102.16,183062.0
2014-03-17,101.3,102.65,101.27,101.79,162615.0
2014-03-14,100.69,101.6,100.1,100.68,198924.0
2014-03-13,103.3,103.3,100.71,101.43,150691.0
2014-03-12,100.28,102.83,99.68,102.79,227922.0
2014-03-11,100.36,101.18,99.31,100.46,136335.0
2014-03-10,99.63,101.06,99.51,100.7,158404.0
2014-03-07,99.4,100.19,98.58,99.93,137802.0
2014-03-06,99.47,99.87,98.56,98.72,183117.0
2014-03-05,101.17,101.17,98.6,99.14,283667.0
2014-03-04,101.05,101.97,100.3,100.92,593098.0
2014-03-03,98.44,100.01,97.41,99.97,256237.0
2014-02-28,99.93,101.05,98.79,99.45,296891.0
2014-02-27,97.64,99.87,96.75,99.82,260274.0
2014-02-26,100.48,100.48,96.99,97.96,362553.0
2014-02-25,99.0,100.79,98.85,100.05,232773.0
2014-02-24,98.47,100.37,98.08,99.4,284167.0
2014-02-21,98.48,99.31,97.26,98.11,195761.0
2014-02-20,97.18,98.24,97.18,97.93,161644.0
2014-02-19,98.03,99.69,97.47,97.56,182053.0
2014-02-18,99.5,100.63,98.6,98.67,183144.0
2014-02-14,99.98,100.31,99.07,99.21,105591.0
2014-02-13,97.33,100.24,97.05,100.08,261366.0
2014-02-12,99.34,99.78,97.7,97.81,205020.0
2014-02-11,98.11,99.36,97.62,98.94,205480.0
2014-02-10,97.04,98.17,96.8,98.05,144615.0
2014-02-07,96.25,97.66,94.6,97.13,144253.0
2014-02-06,94.67,96.37,94.6,95.86,145208.0
2014-02-05,95.41,96.32,93.59,94.63,153970.0
2014-02-04,95.36,96.41,95.0,95.74,188935.0
2014-02-03,99.12,99.62,94.12,95.11,313861.0
2014-01-31,98.17,99.81,97.97,99.01,342748.0
2014-01-30,97.76,98.39,96.55,97.78,220496.0
2014-01-29,97.26,98.79,96.41,96.73,314263.0
2014-01-28,99.83,100.56,98.43,98.99,292045.0
2014-01-27,101.86,102.03,99.21,99.92,230785.0
2014-01-24,101.87,102.86,101.04,101.37,236871.0
2014-01-23,103.27,103.32,101.98,102.8,177617.0
2014-01-22,103.2,103.71,102.77,103.44,182655.0
2014-01-21,103.5,103.58,101.57,102.81,325987.0
2014-01-17,102.63,103.46,100.88,103.21,314299.0
2014-01-16,103.65,105.14,102.43,102.63,291317.0
2014-01-15,106.16,106.73,103.94,104.16,291442.0
2014-01-14,107.7,108.13,106.02,106.79,250666.0
2014-01-13,109.85,110.43,106.0,107.04,197785.0
2014-01-10,110.53,111.1,109.32,110.43,127049.0
2014-01-09,111.55,111.57,109.54,110.38,165245.0
2014-01-08,111.46,112.0,110.3,110.89,155074.0
2014-01-07,109.95,111.82,109.25,111.06,183654.0
2014-01-06,110.8,111.51,109.18,109.29,149460.0
2014-01-03,109.38,110.94,109.14,110.59,159951.0
2014-01-02,109.5,109.75,108.14,109.36,163976.0
2013-12-31,110.4,111.04,109.56,110.07,117817.0
2013-12-30,111.0,111.0,109.17,110.2,162707.0
2013-12-27,112.32,112.66,111.15,111.26,89139.0
2013-12-26,112.39,113.64,111.7,111.87,128469.0
2013-12-24,111.0,112.48,110.65,112.31,139764.0
2013-12-23,109.26,110.5,109.15,110.39,199683.0
2013-12-20,107.74,109.33,106.77,108.63,364980.0
2013-12-19,109.73,110.0,106.82,107.38,132500.0
2013-12-18,107.49,109.81,107.4,109.73,208222.0
2013-12-17,108.35,108.44,106.7,107.09,175644.0
2013-12-16,105.05,108.17,105.05,108.04,185328.0
2013-12-13,105.46,106.08,105.01,105.53,86517.0
2013-12-12,106.0,107.21,105.2,105.24,187741.0
2013-12-11,107.59,107.72,106.02,106.07,207314.0
2013-12-10,106.99,108.3,106.5,107.42,205012.0
2013-12-09,107.54,107.93,107.03,107.46,113752.0
2013-12-06,107.48,108.14,106.5,107.57,75886.0
2013-12-05,105.28,106.87,105.28,106.31,113496.0
2013-12-04,105.54,106.37,105.03,105.58,307732.0
2013-12-03,108.16,108.7,106.23,106.57,228450.0
2013-12-02,108.49,109.54,107.15,108.05,260069.0
2013-11-29,109.08,109.74,108.05,108.49,84092.0
2013-11-27,109.92,109.92,108.28,108.82,330331.0
2013-11-26,114.27,114.32,109.27,109.58,529622.0
2013-11-25,117.77,118.63,117.14,118.12,239519.0
2013-11-22,116.3,117.61,116.0,116.87,187496.0
2013-11-21,113.35,117.3,113.16,116.3,286876.0
2013-11-20,111.49,113.07,111.31,112.2,136678.0
2013-11-19,110.63,111.51,109.5,110.93,146213.0
2013-11-18,110.9,111.43,109.97,110.34,138174.0
2013-11-15,110.61,110.99,109.72,110.37,241078.0
2013-11-14,111.27,111.55,110.65,110.77,169978.0
2013-11-13,111.76,111.96,110.45,111.06,161207.0
2013-11-12,111.41,112.17,110.57,111.24,76297.0
2013-11-11,112.35,112.55,110.51,111.92,84346.0
2013-11-08,110.24,113.19,110.08,112.2,148533.0
2013-11-07,113.46,113.64,109.74,110.21,151564.0
2013-11-06,115.0,115.0,112.62,112.68,135573.0
2013-11-05,111.63,114.32,111.14,113.92,114575.0
2013-11-04,110.47,111.87,109.82,111.7,128238.0
2013-11-01,110.25,110.65,108.94,110.17,252786.0
2013-10-31,109.31,111.46,108.54,109.87,144094.0
2013-10-30,110.52,110.63,108.22,109.71,137593.0
2013-10-29,109.7,111.7,108.51,109.96,194818.0
2013-10-28,108.8,109.11,108.16,109.07,165636.0
2013-10-25,107.93,108.91,107.1,108.43,124251.0
2013-10-24,106.5,107.8,106.07,107.3,136270.0
2013-10-23,106.45,106.54,105.17,105.86,65395.0
2013-10-22,105.9,106.88,105.21,106.65,106133.0
2013-10-21,106.93,106.98,105.16,105.68,120539.0
2013-10-18,106.39,106.39,105.33,106.28,148097.0
2013-10-17,105.01,105.61,104.1,105.51,156052.0
2013-10-16,104.98,105.42,104.25,105.0,120656.0
2013-10-15,105.6,106.24,104.8,105.2,136082.0
2013-10-14,104.87,106.65,104.87,106.19,150513.0
2013-10-11,104.5,105.77,104.17,105.66,129193.0
2013-10-10,103.48,105.15,102.37,104.55,131715.0
2013-10-09,102.67,103.98,101.63,102.33,169999.0
2013-10-08,103.3,104.39,102.5,102.64,137777.0
2013-10-07,103.77,103.95,102.68,102.99,115714.0
2013-10-04,102.44,104.47,102.4,104.24,163707.0
2013-10-03,104.04,104.27,101.84,102.58,127540.0
2013-10-02,103.7,104.35,102.2,103.98,129469.0
2013-10-01,103.36,104.24,102.84,104.24,101506.0
2013-09-30,102.49,103.3,102.27,103.18,178939.0
2013-09-27,103.74,103.84,102.78,103.07,261033.0
2013-09-26,103.91,104.46,101.79,103.9,225044.0
2013-09-25,102.87,103.31,101.51,102.37,227827.0
2013-09-24,103.0,103.77,102.03,102.08,237828.0
2013-09-23,102.21,103.41,101.59,102.88,300012.0
2013-09-20,104.0,104.53,102.07,102.44,389749.0
