Date,Open,High,Low,Close,Volume
2014-04-07,46.05,46.32,45.25,45.48,613989.0
2014-04-04,47.18,47.45,45.99,46.08,339552.0
2014-04-03,46.94,47.25,46.69,47.16,206934.0
2014-04-02,47.14,47.42,46.74,46.91,313600.0
2014-04-01,46.48,47.22,46.13,47.1,334265.0
2014-03-31,45.92,46.57,45.63,46.42,216194.0
2014-03-28,45.26,45.98,45.07,45.64,261414.0
2014-03-27,45.83,46.06,45.13,45.19,267080.0
2014-03-26,46.52,46.68,45.9,45.96,341224.0
2014-03-25,46.62,47.04,46.14,46.39,300690.0
2014-03-24,46.68,46.99,46.22,46.61,250866.0
2014-03-21,46.7,47.31,46.38,46.52,771701.0
2014-03-20,45.64,46.5,45.64,46.5,302987.0
2014-03-19,45.47,46.31,45.28,45.78,232657.0
2014-03-18,45.2,45.49,45.09,45.47,376005.0
2014-03-17,44.88,45.27,44.88,45.21,253912.0
2014-03-14,44.73,45.27,44.53,44.74,215630.0
2014-03-13,45.16,45.44,44.77,44.91,248121.0
2014-03-12,45.09,45.16,44.69,45.02,348569.0
2014-03-11,45.47,45.47,44.83,45.23,248076.0
2014-03-10,45.48,45.87,45.12,45.4,357561.0
2014-03-07,44.8,45.69,44.7,45.46,297452.0
2014-03-06,44.68,44.84,44.4,44.66,431138.0
2014-03-05,44.82,44.82,44.37,44.51,187978.0
2014-03-04,44.63,44.98,44.42,44.7,291564.0
2014-03-03,44.02,44.18,43.79,43.97,298504.0
2014-02-28,44.17,45.02,44.06,44.66,297133.0
2014-02-27,43.98,44.31,43.71,44.23,207662.0
2014-02-26,43.55,44.08,43.34,43.96,306159.0
2014-02-25,43.77,44.12,43.38,43.48,236676.0
2014-02-24,43.1,43.93,42.99,43.83,290396.0
2014-02-21,43.05,43.34,42.8,43.16,317448.0
2014-02-20,42.94,43.23,42.43,43.02,265266.0
2014-02-19,43.84,44.23,42.87,42.89,310833.0
2014-02-18,43.96,44.58,43.87,44.02,330404.0
2014-02-14,43.66,44.14,43.63,44.05,157983.0
2014-02-13,43.33,43.85,42.91,43.85,301479.0
2014-02-12,43.8,44.3,43.44,43.64,227118.0
2014-02-11,43.05,43.82,42.77,43.73,245978.0
2014-02-10,42.87,43.07,42.59,43.03,177541.0
2014-02-07,42.76,43.08,42.5,42.83,224524.0
2014-02-06,42.45,42.84,42.21,42.79,253651.0
2014-02-05,42.44,42.79,42.18,42.48,311110.0
2014-02-04,42.11,42.75,41.86,42.49,587219.0
2014-02-03,43.78,43.78,41.66,41.88,1028637.0
2014-01-31,43.79,44.27,43.45,43.47,364510.0
2014-01-30,44.41,44.58,44.05,44.42,246415.0
2014-01-29,44.52,44.89,44.13,44.15,515462.0
2014-01-28,44.59,45.1,44.44,44.91,348616.0
2014-01-27,44.58,45.26,44.49,44.52,272093.0
2014-01-24,45.75,45.76,44.93,44.95,332449.0
2014-01-23,46.25,46.25,45.65,45.96,356813.0
2014-01-22,45.92,46.49,45.78,46.39,355919.0
2014-01-21,45.59,46.28,45.56,46.04,466848.0
2014-01-17,45.41,45.61,45.0,45.35,1068263.0
2014-01-16,45.11,45.28,44.9,45.2,616157.0
2014-01-15,44.47,45.39,44.44,45.11,655488.0
2014-01-14,44.5,45.01,43.76,44.51,601033.0
2014-01-13,45.02,45.39,44.8,45.06,450881.0
2014-01-10,45.79,46.03,45.04,45.26,360019.0
2014-01-09,45.36,45.89,45.19,45.78,762911.0
2014-01-08,44.71,44.97,44.24,44.71,288350.0
2014-01-07,44.0,44.83,43.87,44.79,486114.0
2014-01-06,44.5,44.67,43.71,43.79,514921.0
2014-01-03,44.0,44.18,43.81,43.98,377834.0
2014-01-02,44.71,44.71,44.06,44.07,287775.0
2013-12-31,44.86,45.09,44.69,44.91,221995.0
2013-12-30,44.92,45.09,44.77,44.96,239906.0
2013-12-27,45.24,45.39,44.95,45.0,190951.0
2013-12-26,45.22,45.54,45.02,45.07,326386.0
2013-12-24,44.99,45.32,44.99,45.15,133589.0
2013-12-23,44.93,45.32,44.63,45.17,318475.0
2013-12-20,44.24,44.62,43.82,44.55,943777.0
2013-12-19,44.5,44.62,43.88,43.9,351881.0
2013-12-18,44.09,44.77,43.68,44.73,296228.0
2013-12-17,44.51,45.0,43.97,44.1,339277.0
