Date,Open,High,Low,Close,Volume
2014-04-07,43.25,43.61,42.54,43.07,98765.0
2014-04-04,45.65,45.65,43.27,43.4,84742.0
2014-04-03,45.55,45.84,44.95,45.29,69675.0
2014-04-02,45.06,45.48,44.6,45.45,51376.0
2014-04-01,44.19,45.08,44.02,45.0,129649.0
2014-03-31,43.61,44.27,43.5,44.0,149609.0
2014-03-28,43.69,44.46,43.22,43.31,72935.0
2014-03-27,43.81,44.32,43.2,43.73,67701.0
2014-03-26,45.34,45.34,43.81,43.84,113594.0
2014-03-25,45.52,45.93,44.83,44.99,72363.0
2014-03-24,45.63,45.63,44.69,45.37,66803.0
2014-03-21,45.85,46.46,45.32,45.63,276442.0
2014-03-20,44.83,45.78,44.8,45.7,105071.0
2014-03-19,45.38,45.65,44.47,44.99,71460.0
2014-03-18,44.83,45.55,44.49,45.54,129787.0
2014-03-17,44.45,45.26,44.42,44.94,108722.0
2014-03-14,43.92,44.67,43.92,44.26,113656.0
2014-03-13,44.8,44.88,43.77,44.07,131172.0
2014-03-12,44.25,44.85,44.1,44.7,85726.0
2014-03-11,44.93,45.07,44.44,44.58,110529.0
2014-03-10,44.79,45.38,44.65,44.98,142726.0
2014-03-07,45.07,45.27,44.56,44.91,113899.0
2014-03-06,44.84,45.2,44.58,45.0,157563.0
2014-03-05,44.68,44.95,44.12,44.69,101627.0
2014-03-04,43.85,45.02,43.7,44.88,203163.0
2014-03-03,43.59,43.99,43.34,43.48,155420.0
2014-02-28,44.26,44.84,43.76,44.17,194464.0
2014-02-27,43.15,44.2,43.11,44.18,122589.0
2014-02-26,43.14,43.82,42.84,43.3,170382.0
2014-02-25,42.64,43.33,42.4,42.97,131365.0
2014-02-24,42.56,43.03,42.21,42.69,93137.0
2014-02-21,43.25,43.47,42.34,42.43,167634.0
2014-02-20,42.62,43.28,42.36,43.04,125740.0
2014-02-19,43.03,43.6,42.29,42.49,215218.0
2014-02-18,41.45,42.29,41.26,41.39,153795.0
2014-02-14,40.87,41.43,40.54,41.29,183040.0
2014-02-13,40.01,41.24,40.01,40.93,152220.0
2014-02-12,40.5,41.37,40.43,40.48,154998.0
2014-02-11,40.3,40.65,39.88,40.44,182269.0
2014-02-10,40.41,40.57,39.76,40.19,116551.0
2014-02-07,40.22,40.82,40.09,40.48,165405.0
2014-02-06,40.41,40.77,39.91,40.14,250507.0
2014-02-05,40.43,40.96,39.6,40.34,157762.0
2014-02-04,39.6,40.9,39.6,40.38,280848.0
2014-02-03,40.32,40.38,38.68,39.11,244427.0
2014-01-31,40.05,40.88,40.05,40.32,207155.0
2014-01-30,40.92,41.0,40.56,40.77,240221.0
2014-01-29,40.95,41.35,40.22,40.43,184079.0
2014-01-28,40.71,41.62,40.31,41.36,246369.0
2014-01-27,41.16,41.25,40.39,40.78,257441.0
2014-01-24,42.34,42.35,40.35,41.02,327072.0
2014-01-23,46.45,47.35,42.38,43.0,480890.0
2014-01-22,46.92,47.35,46.46,47.28,189134.0
2014-01-21,47.27,47.49,46.72,46.92,131108.0
2014-01-17,47.32,47.99,47.12,47.27,160899.0
2014-01-16,47.44,47.72,46.56,47.23,135349.0
2014-01-15,47.09,47.83,46.56,47.73,156049.0
2014-01-14,46.16,47.09,45.92,47.05,122411.0
2014-01-13,45.98,46.12,45.66,45.93,129062.0
2014-01-10,46.05,46.21,45.44,46.12,142076.0
2014-01-09,46.11,46.24,45.48,45.81,186038.0
2014-01-08,45.76,46.25,45.43,46.18,154519.0
2014-01-07,45.94,46.34,45.54,46.01,154249.0
2014-01-06,46.27,46.45,45.45,45.89,195043.0
2014-01-03,45.16,46.17,45.12,46.16,209308.0
2014-01-02,45.37,45.71,44.68,45.22,195809.0
2013-12-31,45.39,45.85,45.03,45.7,112380.0
2013-12-30,45.12,45.74,45.09,45.41,93860.0
2013-12-27,45.19,45.4,44.89,45.12,114018.0
2013-12-26,45.21,45.63,44.96,45.01,99311.0
2013-12-24,44.72,45.2,44.54,45.05,90078.0
2013-12-23,44.94,45.26,44.42,44.81,188538.0
2013-12-20,44.58,44.86,44.15,44.63,381432.0
2013-12-19,44.1,44.88,43.92,44.39,234189.0
2013-12-18,45.37,45.75,43.86,44.01,283814.0
2013-12-17,44.86,45.63,44.25,45.44,264795.0
2013-12-16,43.37,44.55,43.04,44.08,131799.0
2013-12-13,43.24,43.52,42.86,43.11,157994.0
2013-12-12,43.25,43.41,42.79,43.1,135992.0
2013-12-11,43.95,44.07,43.11,43.34,167960.0
2013-12-10,43.97,44.62,43.69,43.88,176611.0
2013-12-09,44.21,44.94,44.02,44.32,192707.0
2013-12-06,44.64,45.09,43.66,44.22,151344.0
2013-12-05,43.92,45.21,43.39,44.42,273899.0
2013-12-04,43.63,44.69,43.26,43.39,142582.0
2013-12-03,44.58,45.23,43.67,44.1,237985.0
2013-12-02,45.07,45.24,44.63,44.77,118416.0
2013-11-29,45.16,45.41,44.93,45.07,72115.0
2013-11-27,44.64,45.08,44.55,45.0,184837.0
2013-11-26,44.7,45.47,44.31,44.55,248775.0
2013-11-25,43.97,45.14,43.96,44.78,244460.0
2013-11-22,43.71,44.5,43.6,43.96,171854.0
2013-11-21,44.17,44.38,42.91,43.88,195626.0
2013-11-20,43.22,44.25,43.03,43.92,170075.0
2013-11-19,42.53,43.64,42.49,43.03,240859.0
2013-11-18,42.72,43.32,42.54,42.79,156235.0
2013-11-15,42.36,42.76,42.12,42.53,199660.0
2013-11-14,42.5,42.86,42.15,42.42,180114.0
2013-11-13,42.07,42.77,42.07,42.52,163513.0
2013-11-12,42.62,42.81,42.26,42.43,201555.0
2013-11-11,42.86,43.48,42.54,42.74,218938.0
2013-11-08,43.72,43.72,42.68,43.06,330808.0
2013-11-07,43.8,44.29,42.64,42.78,325031.0
2013-11-06,43.76,44.61,43.76,43.8,369746.0
2013-11-05,41.96,43.85,41.59,43.39,187014.0
2013-11-04,40.73,42.91,40.44,42.28,325462.0
2013-11-01,40.84,41.71,39.65,40.24,633132.0
2013-10-31,42.09,42.4,40.26,40.89,604798.0
2013-10-30,42.64,42.98,41.88,42.02,207267.0
2013-10-29,39.44,44.59,39.44,42.5,504155.0
2013-10-28,38.9,39.44,37.8,39.12,100066.0
2013-10-25,39.28,39.28,38.33,38.97,59723.0
2013-10-24,38.96,39.58,38.78,39.13,81726.0
2013-10-23,39.24,39.71,38.62,38.77,67037.0
2013-10-22,39.47,39.7,39.22,39.49,74942.0
2013-10-21,40.12,40.43,39.34,39.45,114397.0
2013-10-18,40.07,40.88,39.68,40.54,158272.0
2013-10-17,39.37,39.84,39.07,39.79,94915.0
2013-10-16,39.43,39.69,39.0,39.59,57847.0
2013-10-15,39.02,39.9,39.02,39.3,112811.0
2013-10-14,40.28,40.28,39.65,39.99,119782.0
2013-10-11,39.45,40.7,39.45,40.41,182994.0
2013-10-10,38.99,39.63,38.83,39.38,57738.0
2013-10-09,38.76,39.43,38.48,38.61,87144.0
2013-10-08,38.5,39.15,38.46,38.75,145547.0
2013-10-07,38.36,38.87,38.14,38.62,123265.0
2013-10-04,37.88,38.88,37.85,38.79,66351.0
2013-10-03,38.27,38.5,37.6,37.98,137792.0
2013-10-02,38.35,38.77,37.88,38.32,62155.0
2013-10-01,38.42,39.16,38.37,38.7,89084.0
2013-09-30,38.28,38.7,38.02,38.51,103354.0
2013-09-27,38.04,38.84,37.93,38.53,60282.0
2013-09-26,38.38,38.66,38.09,38.34,98371.0
2013-09-25,38.74,38.84,38.13,38.32,84202.0
2013-09-24,38.7,39.16,37.97,38.74,136122.0
2013-09-23,39.0,39.35,38.65,38.68,55329.0
2013-09-20,38.57,39.68,38.57,39.1,224008.0
2013-09-19,38.58,39.14,38.22,38.52,80166.0
2013-09-18,38.0,38.71,37.7,38.38,99166.0
2013-09-17,38.05,38.38,37.62,38.11,95621.0
2013-09-16,38.45,38.92,37.94,38.01,107589.0
2013-09-13,38.13,38.34,37.73,38.02,92708.0
2013-09-12,37.77,38.45,37.68,37.96,153322.0
2013-09-11,37.36,37.8,37.36,37.74,132341.0
2013-09-10,37.55,38.0,37.38,37.5,150511.0
2013-09-09,37.01,37.63,36.68,37.29,87772.0
2013-09-06,37.24,37.72,36.32,37.06,95552.0
2013-09-05,36.81,37.93,36.74,37.19,117013.0
2013-09-04,35.99,36.93,35.96,36.77,87012.0
2013-09-03,36.5,36.93,35.72,36.0,86132.0
2013-08-30,36.77,36.95,36.04,36.12,53991.0
2013-08-29,36.47,37.19,36.47,36.9,50343.0
2013-08-28,36.51,37.08,36.49,36.56,47407.0
2013-08-27,36.63,36.96,36.31,36.52,62721.0
2013-08-26,37.17,37.74,37.02,37.22,57841.0
2013-08-23,37.58,37.93,36.98,37.2,88785.0
2013-08-22,36.84,37.98,36.84,37.58,54544.0
2013-08-21,36.59,37.18,36.37,36.8,80602.0
2013-08-20,36.81,36.86,36.33,36.74,67109.0
2013-08-19,36.82,36.99,36.59,36.77,81787.0
2013-08-16,36.82,37.23,36.77,36.86,65578.0
2013-08-15,37.47,37.53,36.8,36.99,134456.0
2013-08-14,37.08,38.22,36.8,37.91,206551.0
2013-08-13,36.77,36.83,36.23,36.36,107882.0
2013-08-12,36.03,36.97,36.03,36.75,107792.0
2013-08-09,36.34,36.63,36.0,36.43,57331.0
2013-08-08,36.83,36.98,36.25,36.46,94996.0
2013-08-07,36.45,36.82,36.11,36.57,68716.0
2013-08-06,36.19,36.75,36.14,36.62,73865.0
2013-08-05,36.16,36.8,36.0,36.77,93939.0
2013-08-02,37.41,37.41,35.91,36.17,165349.0
2013-08-01,37.09,37.92,37.09,37.68,135430.0
2013-07-31,37.05,37.3,34.91,36.98,321209.0
2013-07-30,36.1,38.0,36.1,37.13,392916.0
2013-07-29,36.24,36.4,35.89,35.97,160014.0
2013-07-26,36.55,36.74,36.38,36.4,211885.0
2013-07-25,36.77,37.07,36.62,36.85,358069.0
2013-07-24,37.19,37.24,36.41,36.92,238529.0
2013-07-23,37.24,37.29,36.96,37.11,162255.0
2013-07-22,37.22,37.32,37.03,37.21,64981.0
2013-07-19,36.96,37.21,36.12,37.11,123385.0
2013-07-18,37.44,37.44,36.75,37.18,66635.0
2013-07-17,37.3,37.49,37.01,37.41,73982.0
2013-07-16,37.12,37.36,36.87,37.25,118772.0
2013-07-15,36.67,37.13,35.88,37.08,136454.0
2013-07-12,36.29,36.71,36.12,36.56,105547.0
2013-07-11,36.13,36.32,35.81,36.28,72640.0
2013-07-10,34.49,35.83,34.49,35.76,93359.0
2013-07-09,34.4,34.75,34.11,34.57,396625.0
2013-07-08,34.61,34.84,34.31,34.35,95870.0
2013-07-05,34.73,34.9,34.25,34.64,76463.0
2013-07-03,33.87,34.5,33.78,34.33,56044.0
2013-07-02,33.29,34.18,33.06,33.93,194232.0
2013-07-01,33.17,33.64,32.93,33.38,185578.0
2013-06-28,32.9,33.31,32.53,33.01,503784.0
2013-06-27,33.55,33.8,32.97,33.02,160290.0
2013-06-26,33.68,33.68,33.26,33.29,384624.0
2013-06-25,33.45,33.7,33.18,33.35,390751.0
2013-06-24,33.23,33.86,33.19,33.2,217474.0
2013-06-21,33.86,34.2,33.15,33.63,200994.0
2013-06-20,34.24,34.24,33.55,33.76,72634.0
2013-06-19,35.3,35.51,34.59,34.66,152055.0
2013-06-18,34.26,35.42,34.24,35.22,97116.0
2013-06-17,34.57,34.72,33.77,34.11,52803.0
2013-06-14,34.43,34.43,33.95,34.2,36128.0
2013-06-13,34.03,34.59,33.85,34.48,64034.0
2013-06-12,35.13,35.44,33.9,34.09,72067.0
2013-06-11,35.31,35.89,34.91,35.0,56051.0
2013-06-10,35.46,36.0,35.26,35.73,59562.0
2013-06-07,35.35,35.66,35.03,35.26,81981.0
2013-06-06,35.29,35.7,34.92,35.04,95787.0
2013-06-05,35.16,35.59,34.93,35.2,58197.0
2013-06-04,35.75,36.02,35.15,35.3,108313.0
2013-06-03,35.8,36.19,35.48,35.77,175759.0
2013-05-31,35.56,36.21,35.56,35.75,113561.0
2013-05-30,36.55,37.15,35.54,35.78,276177.0
2013-05-29,36.25,36.9,36.15,36.54,56810.0
2013-05-28,36.15,36.74,35.98,36.41,92726.0
2013-05-24,35.75,36.08,35.23,35.61,83366.0
