Date,Open,High,Low,Close,Volume
2014-04-07,7.15,7.31,6.68,6.85,1088414.0
2014-04-04,7.37,7.64,6.87,7.24,1433881.0
2014-04-03,7.55,7.62,7.28,7.33,897036.0
2014-04-02,7.72,7.72,7.24,7.52,949763.0
2014-04-01,7.5,7.82,7.46,7.72,1290699.0
2014-03-31,7.27,7.51,7.26,7.46,1744431.0
2014-03-28,7.02,7.83,6.94,7.24,1599706.0
2014-03-27,7.05,7.34,6.96,7.03,826917.0
2014-03-26,7.17,7.39,7.03,7.05,1043662.0
2014-03-25,7.11,7.24,6.91,7.08,375636.0
2014-03-24,7.3,7.42,6.94,7.05,610239.0
2014-03-21,7.35,7.48,7.22,7.25,941470.0
2014-03-20,6.97,7.3,6.9,7.29,374468.0
2014-03-19,7.03,7.12,6.86,7.01,570527.0
2014-03-18,6.77,7.1,6.64,7.03,523562.0
2014-03-17,6.89,7.0,6.7,6.77,614910.0
2014-03-14,6.76,6.99,6.68,6.82,515641.0
2014-03-13,7.1,7.13,6.74,6.81,630225.0
2014-03-12,7.0,7.1,6.77,7.06,577600.0
2014-03-11,7.39,7.72,6.95,7.05,1356368.0
2014-03-10,7.14,7.27,7.02,7.2,843876.0
2014-03-07,7.2,7.33,7.12,7.18,695526.0
2014-03-06,7.11,7.32,7.1,7.14,773466.0
2014-03-05,7.29,7.37,7.06,7.1,1135676.0
2014-03-04,7.48,7.65,7.3,7.33,1378292.0
2014-03-03,7.27,7.72,7.18,7.35,1199329.0
2014-02-28,7.49,7.84,7.34,7.39,1584084.0
2014-02-27,7.0,7.93,6.89,7.81,2436321.0
2014-02-26,6.92,7.06,6.65,6.67,1019236.0
2014-02-25,6.58,6.95,6.53,6.88,737238.0
2014-02-24,6.39,6.69,6.3,6.58,784612.0
2014-02-21,5.98,6.5,5.98,6.4,1230324.0
2014-02-20,6.01,6.13,5.89,5.98,347064.0
2014-02-19,6.06,6.2,5.94,5.99,594163.0
2014-02-18,5.87,6.14,5.87,6.06,769185.0
2014-02-14,5.64,5.88,5.53,5.87,721635.0
2014-02-13,5.54,5.74,5.4,5.65,1138605.0
2014-02-12,5.86,5.89,5.62,5.68,945084.0
2014-02-11,5.59,5.92,5.58,5.83,894455.0
2014-02-10,5.7,5.99,5.53,5.59,597891.0
2014-02-07,5.53,5.75,5.48,5.73,518905.0
2014-02-06,5.51,5.66,5.48,5.5,493770.0
2014-02-05,5.5,5.68,5.47,5.5,996261.0
2014-02-04,5.46,5.69,5.33,5.67,883682.0
2014-02-03,5.4,5.51,5.28,5.42,1212954.0
2014-01-31,5.4,5.73,5.4,5.44,1436437.0
2014-01-30,5.65,5.71,5.43,5.5,1110086.0
2014-01-29,5.5,5.83,5.41,5.58,1081224.0
2014-01-28,5.73,6.01,5.73,5.92,1254454.0
2014-01-27,5.89,5.98,5.5,5.72,2104228.0
2014-01-24,6.29,6.33,5.91,6.07,1052871.0
2014-01-23,6.63,6.65,6.27,6.43,945469.0
2014-01-22,6.74,6.78,6.59,6.69,831820.0
2014-01-21,6.78,6.88,6.65,6.76,1195471.0
2014-01-17,6.71,6.9,6.65,6.72,750039.0
2014-01-16,6.59,6.76,6.5,6.71,757606.0
2014-01-15,6.27,6.74,6.23,6.62,1291623.0
2014-01-14,5.95,6.36,5.91,6.24,1001094.0
2014-01-13,6.29,6.38,5.88,5.94,1137814.0
2014-01-10,6.11,6.22,6.01,6.13,722196.0
2014-01-09,6.18,6.41,6.07,6.12,1617459.0
