Date,Open,High,Low,Close,Volume
2014-04-07,44.77,44.93,44.15,44.78,44734.0
2014-04-04,46.8,46.8,44.65,44.74,36538.0
2014-04-03,46.1,46.6,46.1,46.43,28091.0
2014-04-02,46.31,46.64,45.84,46.17,32425.0
2014-04-01,45.05,46.3,44.72,46.21,69009.0
2014-03-31,44.83,45.36,44.11,44.86,50121.0
2014-03-28,43.85,45.27,43.82,44.1,36246.0
2014-03-27,44.59,44.98,43.31,43.89,30927.0
2014-03-26,46.13,46.13,44.4,44.43,41984.0
2014-03-25,45.71,46.0,45.05,45.65,21243.0
2014-03-24,45.73,45.86,45.14,45.41,33555.0
2014-03-21,46.12,46.23,45.05,45.48,92447.0
2014-03-20,45.67,46.0,45.09,45.8,28401.0
2014-03-19,45.7,45.93,45.18,45.64,18913.0
2014-03-18,45.53,45.9,45.06,45.59,39864.0
2014-03-17,45.75,46.15,45.56,45.7,25262.0
2014-03-14,44.93,45.99,44.93,45.49,10219.0
2014-03-13,45.6,45.96,44.95,45.22,22307.0
2014-03-12,45.51,45.74,45.14,45.5,25177.0
2014-03-11,45.86,45.9,45.17,45.63,20399.0
2014-03-10,45.63,46.19,45.46,45.98,21998.0
2014-03-07,46.15,46.29,45.57,45.87,15419.0
2014-03-06,45.25,46.01,45.25,45.77,12638.0
2014-03-05,45.41,45.69,45.0,45.28,24617.0
2014-03-04,44.83,47.07,44.35,45.69,74478.0
2014-03-03,43.97,47.4,43.72,44.17,24939.0
2014-02-28,44.51,45.26,44.12,44.28,50162.0
2014-02-27,44.14,44.52,43.74,44.4,17380.0
2014-02-26,43.73,44.31,43.42,44.14,23863.0
2014-02-25,43.73,43.79,43.44,43.57,28910.0
2014-02-24,43.22,43.97,43.22,43.82,44406.0
2014-02-21,43.28,43.47,42.93,43.28,33812.0
2014-02-20,42.2,43.2,42.2,42.99,31740.0
2014-02-19,43.05,43.56,41.73,42.15,41346.0
2014-02-18,43.45,44.47,43.03,43.28,31758.0
2014-02-14,43.05,43.61,42.97,43.33,32909.0
2014-02-13,42.94,43.26,42.69,43.05,55950.0
2014-02-12,43.31,44.41,43.1,43.41,30205.0
