Date,Open,High,Low,Close,Volume
2014-04-07,88.0,88.2,87.25,87.32,43091.0
2014-04-04,91.34,91.34,88.14,88.29,91244.0
2014-04-03,91.57,91.7,90.0,90.73,39864.0
2014-04-02,91.86,91.86,90.7,91.42,51444.0
2014-04-01,91.11,92.58,91.11,91.93,52408.0
2014-03-31,90.5,91.87,90.46,91.3,69082.0
2014-03-28,90.77,91.95,90.1,90.36,35693.0
2014-03-27,91.06,91.13,90.49,90.87,60138.0
2014-03-26,92.92,92.92,90.58,91.25,53580.0
2014-03-25,93.07,93.09,91.54,92.08,33567.0
2014-03-24,94.58,94.58,91.68,92.29,30873.0
2014-03-21,93.45,94.5,92.58,92.87,67425.0
2014-03-20,92.73,93.17,92.44,92.82,16263.0
2014-03-19,93.17,93.6,92.3,92.63,15333.0
2014-03-18,94.21,94.21,93.07,93.48,36573.0
2014-03-17,93.71,94.38,93.27,93.8,44912.0
2014-03-14,93.35,93.85,92.57,93.06,24420.0
2014-03-13,93.54,93.74,92.08,93.17,67560.0
2014-03-12,92.05,93.28,91.71,93.28,53669.0
2014-03-11,93.6,94.48,92.65,92.76,34543.0
2014-03-10,93.39,94.59,93.16,94.23,29588.0
2014-03-07,94.0,95.0,93.42,93.99,24882.0
2014-03-06,93.0,93.58,92.09,93.47,33131.0
2014-03-05,93.0,93.0,92.08,92.65,126035.0
2014-03-04,92.06,94.2,91.86,93.48,100233.0
2014-03-03,92.5,92.65,90.29,92.06,39226.0
2014-02-28,92.81,93.78,92.55,93.0,61228.0
2014-02-27,89.72,93.26,85.07,92.97,148443.0
2014-02-26,93.96,95.82,93.82,95.14,27042.0
2014-02-25,95.63,96.0,93.64,94.31,28961.0
2014-02-24,93.6,96.74,93.58,95.84,31741.0
2014-02-21,93.0,93.4,91.74,93.21,33856.0
2014-02-20,90.78,92.71,90.68,92.5,28102.0
2014-02-19,91.17,91.75,90.6,91.25,30057.0
2014-02-18,91.73,92.56,91.15,91.73,30309.0
2014-02-14,90.77,91.98,90.18,91.98,26708.0
2014-02-13,90.9,90.91,89.02,90.74,110657.0
2014-02-12,90.93,92.34,89.71,90.05,45068.0
2014-02-11,89.05,91.71,88.88,90.92,66909.0
2014-02-10,88.67,90.52,87.42,90.5,61413.0
2014-02-07,88.43,89.0,87.57,88.61,56887.0
2014-02-06,88.25,89.69,88.08,88.49,51669.0
