Date,Open,High,Low,Close,Volume
2014-04-07,52.45,52.59,52.02,52.04,1231258.0
2014-04-04,53.25,53.27,52.28,52.41,1190000.0
2014-04-03,52.99,53.31,52.82,53.03,1721943.0
2014-04-02,52.14,53.03,52.07,52.97,1702262.0
2014-04-01,52.71,52.72,51.1,52.16,2969892.0
2014-03-31,51.75,52.71,51.41,52.39,2681042.0
2014-03-28,51.13,51.59,50.75,50.89,1439064.0
2014-03-27,50.62,51.08,50.38,51.0,1835432.0
2014-03-26,51.26,51.4,50.64,50.65,1213572.0
2014-03-25,51.22,51.55,51.07,51.1,1480096.0
2014-03-24,51.07,51.35,50.39,50.9,1429881.0
2014-03-21,50.33,51.16,50.33,51.03,3075230.0
2014-03-20,50.47,50.71,50.21,50.63,1260285.0
2014-03-19,50.83,50.9,50.22,50.54,2591016.0
2014-03-18,51.34,51.34,50.9,50.96,1755350.0
2014-03-17,51.49,51.56,50.98,51.07,1727840.0
2014-03-14,51.85,52.22,51.02,51.14,2377893.0
2014-03-13,52.71,52.81,51.86,52.08,1799276.0
2014-03-12,52.24,52.54,51.95,52.45,1804451.0
2014-03-11,52.65,52.74,52.19,52.38,1189044.0
2014-03-10,52.35,52.67,52.04,52.57,1005013.0
2014-03-07,52.67,52.81,52.08,52.27,1244719.0
2014-03-06,52.04,52.54,51.77,52.45,1408076.0
2014-03-05,51.69,51.92,51.39,51.76,1620460.0
2014-03-04,52.1,52.42,51.97,52.18,1613582.0
2014-03-03,51.67,51.99,51.32,51.75,1867679.0
2014-02-28,52.37,52.4,51.62,51.86,1823057.0
2014-02-27,52.41,52.55,52.04,52.36,1491290.0
2014-02-26,52.47,52.77,52.25,52.52,1460504.0
2014-02-25,53.11,53.53,52.2,52.42,2605593.0
2014-02-24,54.19,54.48,53.33,53.34,1957501.0
2014-02-21,54.27,54.67,54.1,54.12,1539271.0
2014-02-20,53.72,54.36,53.44,54.16,1463720.0
2014-02-19,54.4,54.86,53.69,53.77,1641099.0
2014-02-18,54.72,55.17,54.33,54.42,1735969.0
2014-02-14,53.89,54.68,53.84,54.64,1367426.0
2014-02-13,53.59,54.08,53.5,54.03,1572829.0
2014-02-12,53.94,54.54,53.67,53.79,1666048.0
2014-02-11,52.84,54.01,52.73,53.87,2225282.0
2014-02-10,52.38,53.43,52.3,52.93,2233725.0
2014-02-07,52.91,53.15,52.01,52.39,2923141.0
2014-02-06,53.06,53.15,52.04,52.48,3896109.0
2014-02-05,53.47,54.5,52.5,53.16,10199977.0
2014-02-04,58.11,58.88,57.46,58.64,3265078.0
2014-02-03,57.91,58.54,57.11,57.73,2807438.0
2014-01-31,57.53,58.91,57.53,58.54,2069180.0
2014-01-30,57.94,58.68,57.69,58.28,1655132.0
2014-01-29,56.96,58.43,56.86,57.63,2240837.0
2014-01-28,56.92,57.49,56.84,57.45,1784480.0
2014-01-27,57.36,57.86,56.52,57.0,1431944.0
2014-01-24,58.87,58.92,57.18,57.21,2049549.0
2014-01-23,59.27,59.73,58.21,59.05,2290031.0
2014-01-22,59.84,60.31,59.73,60.23,1738193.0
2014-01-21,59.49,59.7,58.8,59.66,1728587.0
2014-01-17,59.11,59.49,58.74,59.13,1448898.0
2014-01-16,58.35,59.69,58.35,59.52,1566975.0
2014-01-15,57.97,59.45,57.74,59.34,3266586.0
2014-01-14,57.67,57.99,57.03,57.74,1013348.0
2014-01-13,57.45,58.14,57.35,57.45,1770975.0
2014-01-10,56.62,58.27,56.6,57.7,2561461.0
2014-01-09,56.47,56.7,56.12,56.55,1133349.0
2014-01-08,56.69,56.74,56.1,56.27,1516868.0
2014-01-07,56.64,57.0,56.39,56.68,1309774.0
2014-01-06,57.65,57.76,56.52,56.61,2063916.0
2014-01-03,58.01,58.05,57.07,57.28,1319582.0
2014-01-02,58.21,58.48,57.61,57.82,1503287.0
2013-12-31,58.24,58.55,58.08,58.35,953917.0
2013-12-30,57.18,58.43,57.18,58.22,1267515.0
2013-12-27,57.1,57.78,56.92,57.72,1412752.0
2013-12-26,57.26,57.32,56.91,57.13,1938389.0
2013-12-24,57.22,57.27,56.8,57.04,999549.0
2013-12-23,56.87,57.16,56.5,57.04,2337828.0
2013-12-20,56.4,57.1,56.35,56.54,5227498.0
2013-12-19,56.47,56.73,56.28,56.48,1625574.0
2013-12-18,56.38,56.61,55.93,56.49,2085894.0
2013-12-17,56.19,56.49,55.95,56.37,1795966.0
2013-12-16,56.72,56.76,55.92,56.2,1995874.0
2013-12-13,56.93,57.14,56.1,56.4,2896833.0
2013-12-12,57.34,57.56,57.01,57.13,2123109.0
2013-12-11,57.56,57.82,57.13,57.37,1872986.0
2013-12-10,57.94,58.12,57.52,57.72,1464782.0
2013-12-09,58.24,58.36,57.75,57.91,1365304.0
2013-12-06,58.48,58.48,57.34,57.89,2457349.0
2013-12-05,58.19,58.45,58.05,58.27,1264425.0
2013-12-04,57.87,58.38,57.47,58.25,2175472.0
2013-12-03,58.22,58.47,57.86,58.14,1639615.0
2013-12-02,58.81,59.11,58.27,58.48,1614015.0
2013-11-29,58.78,59.16,58.59,58.65,569482.0
2013-11-27,58.71,58.94,58.48,58.7,1153727.0
2013-11-26,58.8,59.09,58.45,58.53,1961356.0
2013-11-25,58.94,59.01,58.52,58.79,1072908.0
2013-11-22,58.24,58.89,58.16,58.68,1345849.0
2013-11-21,57.72,58.29,57.39,58.11,1417160.0
