Date,Open,High,Low,Close,Volume
2014-04-07,21.45,21.48,19.63,20.3,11950592.0
2014-04-04,23.49,23.57,21.12,21.63,10526072.0
2014-04-03,24.04,24.21,23.04,23.28,3844372.0
2014-04-02,23.6,24.06,23.51,23.94,3692023.0
2014-04-01,22.87,23.49,22.86,23.48,3387393.0
2014-03-31,22.35,22.89,22.35,22.74,3737330.0
2014-03-28,22.11,22.5,21.9,22.24,4630397.0
2014-03-27,22.58,22.8,22.25,22.42,3033352.0
2014-03-26,23.54,23.76,22.6,22.68,3985008.0
2014-03-25,23.66,24.09,23.09,23.46,3420204.0
2014-03-24,24.36,24.42,22.9,23.6,5151296.0
2014-03-21,24.34,24.6,23.73,24.15,5999654.0
2014-03-20,23.38,24.8,23.37,24.1,5382259.0
2014-03-19,23.76,23.84,23.24,23.47,3508510.0
2014-03-18,23.64,23.94,23.48,23.76,2718428.0
2014-03-17,23.99,24.19,23.59,23.66,2915291.0
2014-03-14,23.32,24.26,23.32,23.79,4153488.0
2014-03-13,24.08,24.4,23.27,23.39,4478958.0
2014-03-12,22.84,23.97,22.83,23.88,4823438.0
2014-03-11,23.38,23.78,22.94,23.01,4037662.0
2014-03-10,23.97,23.99,23.14,23.32,4891721.0
2014-03-07,24.91,25.0,23.96,24.05,4512134.0
2014-03-06,26.09,27.16,23.8,24.46,13849732.0
2014-03-05,24.63,25.38,24.63,25.36,5198983.0
2014-03-04,25.0,25.18,24.5,24.7,5163340.0
2014-03-03,24.34,24.75,24.05,24.54,2482995.0
2014-02-28,25.07,25.19,24.47,24.57,2647779.0
2014-02-27,25.0,25.21,24.7,25.12,1713122.0
2014-02-26,24.85,25.19,24.61,25.06,2350871.0
2014-02-25,25.15,25.18,24.73,24.84,3563201.0
2014-02-24,25.5,25.5,25.02,25.18,2897834.0
2014-02-21,26.36,26.49,25.31,25.5,4327129.0
2014-02-20,26.12,26.35,25.76,26.2,2489234.0
2014-02-19,25.86,26.36,25.78,26.01,3609040.0
2014-02-18,25.06,26.43,24.85,26.02,7670970.0
2014-02-14,24.34,25.28,24.34,25.0,8958261.0
2014-02-13,22.75,23.37,22.61,23.29,2157319.0
2014-02-12,22.75,23.15,22.74,22.95,2290499.0
2014-02-11,22.82,22.99,22.64,22.75,1835980.0
2014-02-10,22.74,23.13,22.67,22.75,2928514.0
2014-02-07,22.46,22.75,22.3,22.73,2482813.0
2014-02-06,22.07,22.64,21.99,22.32,3000430.0
2014-02-05,21.98,22.26,21.5,21.93,2902543.0
