Date,Open,High,Low,Close,Volume
2014-04-07,42.27,42.62,41.99,42.32,165674.0
2014-04-04,43.73,43.73,42.09,42.43,154035.0
2014-04-03,44.0,44.06,43.33,43.4,80180.0
2014-04-02,43.63,44.06,43.34,43.88,136004.0
2014-04-01,43.6,44.04,43.13,43.46,102385.0
2014-03-31,42.59,43.62,42.49,43.45,169231.0
2014-03-28,42.9,43.35,42.2,42.49,113381.0
2014-03-27,42.9,43.33,42.49,42.96,89156.0
2014-03-26,43.74,43.74,42.9,42.97,150796.0
2014-03-25,43.94,44.57,43.39,43.42,123528.0
2014-03-24,44.76,45.12,43.68,43.84,124895.0
2014-03-21,45.45,45.56,44.74,44.75,273835.0
2014-03-20,45.41,45.63,44.88,45.13,133822.0
2014-03-19,46.0,46.07,45.3,45.57,83010.0
2014-03-18,45.06,45.95,44.86,45.95,259640.0
2014-03-17,44.95,45.4,44.82,44.95,232296.0
2014-03-14,45.28,45.94,44.81,44.83,216137.0
2014-03-13,46.46,47.58,45.27,45.29,233948.0
2014-03-12,46.08,46.38,45.42,45.5,126044.0
2014-03-11,47.0,47.4,46.25,46.33,138825.0
2014-03-10,46.49,46.95,46.49,46.8,99233.0
2014-03-07,47.0,47.0,46.39,46.68,117043.0
2014-03-06,46.86,47.07,46.42,46.9,99668.0
2014-03-05,47.02,47.02,46.15,46.59,172869.0
2014-03-04,46.75,47.49,46.75,46.99,280403.0
2014-03-03,46.3,47.06,46.07,46.55,127761.0
2014-02-28,46.88,48.81,45.08,46.62,152914.0
2014-02-27,46.54,47.06,46.47,46.71,163778.0
2014-02-26,47.41,47.41,46.52,46.79,249152.0
2014-02-25,47.55,48.0,46.99,47.28,274282.0
2014-02-24,47.94,48.27,47.67,47.7,145644.0
2014-02-21,48.59,49.05,47.71,47.77,188974.0
2014-02-20,48.5,48.51,47.19,48.4,248011.0
2014-02-19,48.2,49.1,48.2,48.54,290703.0
2014-02-18,47.63,48.51,47.57,48.26,366921.0
2014-02-14,47.69,48.16,46.64,47.54,295699.0
2014-02-13,45.5,47.97,45.27,47.87,375692.0
2014-02-12,44.49,45.72,44.24,45.62,338517.0
2014-02-11,43.84,45.2,43.78,44.6,241091.0
2014-02-10,42.57,43.65,42.36,43.61,162109.0
2014-02-07,41.5,42.8,41.5,42.72,138565.0
2014-02-06,41.61,42.16,41.26,41.33,178030.0
2014-02-05,41.26,41.76,41.18,41.46,124407.0
2014-02-04,41.7,41.9,41.35,41.48,138244.0
2014-02-03,42.18,42.55,41.4,41.59,215428.0
2014-01-31,41.04,42.04,40.67,41.95,203123.0
2014-01-30,41.98,42.1,41.63,41.69,200398.0
2014-01-29,41.74,42.17,41.47,41.73,174416.0
2014-01-28,42.21,42.45,41.93,42.03,281836.0
2014-01-27,42.96,44.61,42.19,42.21,188737.0
2014-01-24,42.9,43.36,42.25,42.64,271324.0
2014-01-23,43.48,43.48,43.0,43.23,268030.0
