Date,Open,High,Low,Close,Volume
2014-04-07,91.17,92.76,89.42,91.06,1192132.0
2014-04-04,95.47,95.79,90.44,91.37,1414497.0
2014-04-03,101.7,101.99,94.15,94.42,1156106.0
2014-04-02,100.97,101.97,100.6,101.67,643057.0
2014-04-01,99.3,101.38,99.29,100.88,798876.0
2014-03-31,98.23,99.56,96.76,99.07,694674.0
2014-03-28,99.0,100.7,96.53,96.96,845087.0
2014-03-27,98.06,99.2,95.08,98.55,835030.0
2014-03-26,101.16,101.92,97.76,98.42,1121310.0
2014-03-25,101.69,102.85,99.25,100.33,958765.0
2014-03-24,104.29,104.77,100.66,101.04,750479.0
2014-03-21,108.2,108.2,103.15,103.47,1720611.0
2014-03-20,107.21,108.41,106.55,107.01,331691.0
2014-03-19,107.92,110.16,107.43,107.82,584625.0
2014-03-18,106.1,109.7,105.91,108.35,628164.0
2014-03-17,106.39,108.16,105.45,105.83,523575.0
2014-03-14,105.56,107.56,105.07,105.82,459655.0
2014-03-13,111.7,114.04,106.4,106.68,727853.0
2014-03-12,108.68,112.02,106.45,111.62,617790.0
2014-03-11,113.01,113.34,109.06,109.63,807387.0
2014-03-10,115.39,116.47,112.01,112.8,735445.0
2014-03-07,118.62,119.41,114.59,115.51,780763.0
2014-03-06,121.61,122.41,117.79,117.88,497166.0
2014-03-05,122.48,122.48,120.72,120.97,567115.0
2014-03-04,121.18,123.67,121.02,122.49,430583.0
2014-03-03,121.73,122.73,118.71,119.7,914554.0
2014-02-28,128.03,129.33,122.14,123.45,664684.0
2014-02-27,127.82,129.24,127.37,127.99,528768.0
2014-02-26,127.18,128.88,126.43,127.83,695646.0
2014-02-25,126.26,127.15,125.62,126.83,347453.0
2014-02-24,127.31,128.11,125.64,126.13,608307.0
2014-02-21,126.83,127.8,125.92,127.01,358056.0
2014-02-20,126.87,127.11,123.94,126.78,499309.0
2014-02-19,127.57,129.17,126.45,126.66,662578.0
2014-02-18,124.77,129.91,124.23,128.08,831307.0
2014-02-14,124.22,125.79,123.2,124.4,896956.0
2014-02-13,120.92,125.42,120.79,124.84,764905.0
2014-02-12,121.96,123.56,121.58,122.29,733981.0
2014-02-11,117.11,121.89,117.11,121.83,942258.0
2014-02-10,116.21,117.78,114.78,117.61,596552.0
2014-02-07,112.7,116.42,112.03,115.97,678738.0
2014-02-06,114.0,114.87,110.92,113.17,610363.0
2014-02-05,113.9,114.8,110.32,113.7,759807.0
2014-02-04,115.68,116.71,113.47,114.43,874339.0
2014-02-03,119.36,122.0,114.86,115.18,2087794.0
2014-01-31,125.99,128.0,121.09,121.34,1361449.0
2014-01-30,118.66,130.39,117.3,127.45,3002440.0
2014-01-29,110.56,112.35,108.67,108.86,757966.0
2014-01-28,109.5,111.63,109.5,111.57,577420.0
2014-01-27,112.78,113.02,109.14,109.14,655184.0
2014-01-24,113.38,113.99,111.89,112.34,737072.0
2014-01-23,113.48,115.68,112.57,114.44,641572.0
2014-01-22,111.85,113.63,111.02,112.55,453386.0
2014-01-21,111.8,112.52,109.77,111.43,715762.0
2014-01-17,111.38,112.59,110.49,111.61,399501.0
