Date,Open,High,Low,Close,Volume
2014-04-07,110.73,111.13,110.36,110.79,3119749.0
2014-04-04,111.95,112.0,110.63,110.65,2722053.0
2014-04-03,111.74,112.15,111.28,111.7,2329649.0
2014-04-02,111.9,112.01,110.94,111.55,3296836.0
2014-04-01,112.21,112.55,111.51,111.86,2566752.0
2014-03-31,111.94,112.28,111.57,111.68,2119603.0
2014-03-28,112.35,112.78,111.15,111.66,2795496.0
2014-03-27,112.5,112.94,111.82,112.03,2042713.0
2014-03-26,114.28,114.47,112.46,112.49,1912278.0
2014-03-25,113.82,114.46,113.79,113.93,2202127.0
2014-03-24,113.99,114.0,112.89,113.37,2501669.0
2014-03-21,114.41,114.58,113.3,113.83,4442274.0
2014-03-20,112.56,113.22,112.13,113.16,1408202.0
2014-03-19,113.54,114.25,112.46,112.85,1635636.0
2014-03-18,113.9,114.12,113.02,113.85,2501020.0
2014-03-17,114.14,114.46,113.39,113.46,2190456.0
2014-03-14,114.95,114.95,113.32,113.45,2293362.0
2014-03-13,115.66,115.79,114.19,114.41,2519618.0
2014-03-12,114.39,115.62,114.25,115.21,2177956.0
2014-03-11,114.56,114.75,113.92,114.71,2201836.0
2014-03-10,113.21,114.59,113.0,114.59,2325219.0
2014-03-07,113.8,114.01,113.14,113.5,2906694.0
2014-03-06,113.15,114.64,112.27,113.26,8925347.0
2014-03-05,116.57,116.95,115.81,116.47,2320202.0
2014-03-04,116.61,116.91,115.85,116.65,1810584.0
2014-03-03,116.22,117.07,115.11,115.75,1672811.0
2014-02-28,116.5,117.47,115.89,116.8,2106177.0
2014-02-27,116.03,116.42,115.28,116.22,1374462.0
2014-02-26,115.5,116.83,115.37,115.88,1926823.0
2014-02-25,114.0,115.89,114.0,115.46,1935430.0
2014-02-24,113.46,114.81,113.2,113.94,2285392.0
2014-02-21,115.4,115.49,112.92,113.19,3659545.0
2014-02-20,114.57,115.55,113.88,115.06,1837090.0
2014-02-19,115.11,115.3,114.27,114.91,1804724.0
2014-02-18,116.3,116.41,114.92,115.36,2062002.0
2014-02-14,115.16,116.49,114.5,116.1,1520003.0
2014-02-13,114.14,115.93,114.14,115.81,1587102.0
2014-02-12,114.88,115.43,114.3,114.81,1737694.0
2014-02-11,113.91,115.15,113.5,114.99,1778347.0
2014-02-10,114.04,114.1,112.58,113.85,1871796.0
2014-02-07,114.08,114.61,113.38,114.04,2198514.0
2014-02-06,113.01,114.58,113.0,114.26,3755143.0
2014-02-05,110.22,110.8,109.8,110.51,2374212.0
2014-02-04,110.73,111.33,109.5,110.89,2529624.0
2014-02-03,112.96,113.0,110.05,110.18,3121170.0
2014-01-31,111.29,113.28,111.13,112.36,2146024.0
2014-01-30,112.75,113.49,112.09,112.73,1629387.0
2014-01-29,114.05,114.19,112.11,112.23,2356365.0
2014-01-28,113.53,114.76,113.44,114.38,2367521.0
2014-01-27,112.56,113.73,112.03,113.08,3790471.0
2014-01-24,112.69,112.87,111.92,112.13,3203790.0
2014-01-23,113.5,113.53,112.4,112.8,2168058.0
2014-01-22,115.01,115.16,113.69,113.75,2507507.0
2014-01-21,115.61,116.11,114.84,114.93,2110841.0
2014-01-17,115.6,116.61,115.43,116.29,2708082.0
2014-01-16,116.44,116.47,115.3,115.56,1938349.0
2014-01-15,116.07,116.69,115.25,116.24,1847624.0
2014-01-14,115.2,116.83,115.12,116.23,2320831.0
2014-01-13,117.06,117.53,114.58,114.77,3168867.0
2014-01-10,118.2,118.65,116.66,117.85,2790333.0
2014-01-09,116.2,119.1,114.05,118.51,5763123.0
2014-01-08,116.04,116.04,113.92,114.05,4602924.0
2014-01-07,116.39,116.56,115.38,115.86,2292582.0
2014-01-06,117.49,117.75,115.89,116.4,2120218.0
2014-01-03,118.21,118.36,117.13,117.29,1293522.0
2014-01-02,118.71,119.3,117.74,117.81,1618678.0
2013-12-31,119.19,119.71,118.71,119.02,1181876.0
2013-12-30,118.95,119.37,118.57,118.77,812878.0
2013-12-27,118.87,119.31,118.25,118.53,995231.0
2013-12-26,118.68,119.11,118.59,118.63,1169900.0
2013-12-24,118.69,118.85,118.18,118.69,612519.0
2013-12-23,119.1,119.13,118.13,118.69,1181616.0
2013-12-20,117.94,119.05,117.69,118.53,3007216.0
2013-12-19,117.97,118.44,117.25,117.99,2339343.0
2013-12-18,117.82,118.6,115.85,118.5,3168050.0
2013-12-17,118.17,118.36,117.02,117.55,1724393.0
2013-12-16,118.0,118.9,117.53,118.0,2069632.0
2013-12-13,119.05,119.05,117.41,117.91,1722740.0
2013-12-12,118.22,119.4,118.1,118.22,2023730.0
2013-12-11,118.06,120.3,116.97,118.57,6113552.0
2013-12-10,121.46,121.48,119.97,120.04,3170567.0
2013-12-09,122.63,122.84,121.38,121.66,2193212.0
2013-12-06,122.0,122.15,121.02,122.06,1736801.0
2013-12-05,121.5,122.35,120.5,120.95,3329382.0
2013-12-04,123.26,124.46,122.36,122.97,1644123.0
2013-12-03,123.72,123.97,122.97,123.82,1768018.0
2013-12-02,125.66,125.69,123.45,123.69,1444905.0
2013-11-29,125.7,126.03,125.14,125.43,725417.0
2013-11-27,125.65,125.89,125.2,125.38,873630.0
2013-11-26,125.21,126.12,125.04,125.18,1598019.0
2013-11-25,125.67,126.12,124.9,125.17,1391904.0
2013-11-22,124.26,125.35,124.0,125.21,1502250.0
2013-11-21,122.95,124.2,122.31,123.89,1164216.0
2013-11-20,124.0,124.21,122.43,122.76,1135897.0
2013-11-19,123.54,124.1,123.12,123.63,1233576.0
2013-11-18,124.66,124.66,122.92,123.31,1327685.0
2013-11-15,123.66,124.69,123.39,124.29,1784164.0
2013-11-14,123.39,124.06,122.85,123.74,1488015.0
2013-11-13,121.91,123.17,121.6,123.17,1679297.0
2013-11-12,121.61,122.73,121.52,122.45,1587965.0
2013-11-11,122.74,123.67,122.1,123.02,1275660.0
2013-11-08,122.21,122.89,121.12,122.78,2314755.0
2013-11-07,124.74,124.74,122.51,122.78,2459632.0
2013-11-06,120.44,124.56,120.32,124.07,3065872.0
2013-11-05,120.15,120.43,119.1,120.13,1419737.0
2013-11-04,120.0,120.4,119.26,120.34,1589212.0
2013-11-01,118.71,119.8,118.55,119.62,2187706.0
